Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,EDUC,310,,108,TEACh PRINC,"Lamonde, Anne-Marie;MCLAUGHLIN, PAULA",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,EDUC,316,,108,COMM SKILLS,"Lamonde, Anne-Marie;MCLAUGHLIN, PAULA",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,MUED,320,,101,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,MUED,320,,103,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,MUED,320,,109,C & I MUSIC ELEM,"AUERBACH, STANLEY;MCLAUGHLIN, PAULA",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,MUED,320,,204,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,NURS,410,E,005,EXPL AVE NURS PR,"Tognazzini, Paula",12,79.67,8.32,88,58,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,5,0
UBC,2003,W,EDUC,310,,108,TEACh PRINC,"MCLAUGHLIN, PAULA",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,EDUC,316,,108,COMM SKILLS,"MCLAUGHLIN, PAULA",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,MUED,320,,101,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,MUED,320,,106,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,MUED,320,,107,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,MUED,320,,109,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",26,,,,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,NURS,410,E,005,EXPL AVE NURS PR,"Tognazzini, Paula",12,81.33,5.68,92,75,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,1,2
UBC,2003,W,NURS,413,,001,FOSTERG POP HLTH,"Ricci, Joanne;Tognazzini, Paula",62,81.18,6.23,93,65,61,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,8,12,17,18,3
UBC,2003,W,NURS,430,,001,POP-FC NR PR I,"Bouthillette, France;Tognazzini, Paula",54,81.06,4.83,89,70,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,24,13,0
UBC,2005,W,MUED,320,,103,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,MUED,320,,106,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",36,,,,,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,MUED,320,,107,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,MUED,320,,109,C & I MUSIC ELEM,"MCLAUGHLIN, PAULA",20,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,NURS,312,,002,SUPT ENV HLTH FM,"Osborne, Margaret;Tognazzini, Paula",54,78.96,4.28,90,69,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,24,3,1
UBC,2005,W,NURS,312,,99A,SUPT ENV HLTH FM,"Tognazzini, Paula",21,81.28,9.37,91,52,18,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,2,7,2
UBC,2005,W,NURS,411,E,002,EXPL AVE NURS PR,"Tognazzini, Paula",12,85.33,6.57,96,72,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,3
UBC,2005,W,NURS,413,,001,FOSTERG POP HLTH,"Bassingthwaighte, Carol;Ebbehoj, Catherine;Marshall, Helga;Ricci, Joanne;Tognazzini, Paula",59,82.71,7.18,93,63,59,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,8,11,19,11
