Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,FRST,201,,001,For Ecol & Silv,"Prescott, Cindy;Simard, Suzanne",51,75.83,8.99,95,59,48,0,2,0,1,0,0,0,0,0,0,0,1,3,5,7,7,6,12,3,4
UBC,2002,W,FRST,444,,101,Agroforestry,"Prescott, Cindy",6,84.33,12.6,94,60,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3
UBC,2003,W,FRST,201,,001,For Ecol & Silv,"Prescott, Cindy;Simard, Suzanne",48,75.26,10.2,91,54,46,0,2,0,0,0,0,0,0,0,0,3,2,0,5,6,5,7,7,9,2
UBC,2003,W,FRST,444,,101,Agroforestry,"Prescott, Cindy",6,72.17,14.58,89,54,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
UBC,2005,W,FRST,201,,001,FOR ECOL SILV,"Prescott, Cindy;Simard, Suzanne",84,76.59,12.09,97,26,80,1,2,0,1,0,0,1,0,0,1,2,4,4,6,7,11,5,13,23,5
UBC,2014,W,FRST,505,C,201,DS FRST SCIENCE,"Prescott, Cindy",5,86,1.41,88,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
UBC,2015,W,CONS,504,C,101,DIR STD CONSERV,"Prescott, Cindy",7,86.5,1.29,88,85,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
UBC,2015,W,FRST,505,C,201,DS FRST SCIENCE,"Prescott, Cindy",5,93.6,4.98,98,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
UBC,2015,W,UFOR,403,,201,ECOLGCL RESTORTN,"Prescott, Cindy",13,84.08,9.57,97,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,4
UBC,2017,W,FRST,505,C,201,DS FRST SCIENCE,"Prescott, Cindy",8,92.38,2.97,95,89,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
UBC,2017,W,UFOR,403,,201,ECOLGCL RESTORTN,"Prescott, Cindy",49,82.27,8.75,99,63,49,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,8,15,5,11
UBC,2018,W,APBI,444,,001,AGROFORESTRY,"Prescott, Cindy",15,87.8,6.48,97,76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7
UBC,2018,W,CONS,504,C,201,DIR STD CONSERV,"Prescott, Cindy",10,85.9,4.46,92,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
UBC,2018,W,FRST,444,,101,Agroforestry,"Prescott, Cindy",21,85.81,7.55,97,73,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,8
UBC,2018,W,UFOR,403,,201,ECOLGCL RESTORTN,"Prescott, Cindy",39,80.62,9.14,98,62,39,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,6,5,14,4
