Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,ANTH,201,A,001,Ethnic Relations,David C Ryniker;David Ryniker,33,72.12121212,10.15430197,86.0,35.0,,,,,4,7,3,5,7,,0
UBCV,2014,W,ANTH,201,A,002,Ethnic Relations,David C Ryniker;David Ryniker;Marie-Elise Laforest,20,69.8,15.96245595,86.0,12.0,,,,,5,0,6,3,3,,0
UBCV,2014,W,ANTH,202,A,002,Contemporary Social Problems,David C Ryniker;David Ryniker,38,71.13157895,12.37733555,90.0,25.0,,,,,5,6,4,8,6,1,
UBCV,2014,W,ANTH,332,,001,Oral Tradition,David C Ryniker;David Ryniker,28,70.60714286,17.47026953,92.0,0.0,,,,,,,,8,,,
UBCV,2014,W,SOCI,201,A,001,Ethnic Relations,David C Ryniker;David Ryniker;Sharlie Eicker,46,71.65217391,6.700638083,87.0,60.0,0,0,0,7,6,11,7,8,5,2,0
UBCV,2014,W,SOCI,201,A,002,Ethnic Relations,David C Ryniker;David Ryniker;Marie-Elise Laforest,23,68.2173913,19.22819077,95.0,0.0,,,,3,4,4,1,1,3,3,
UBCV,2014,W,SOCI,301,A,001,Sociology of Development and Underdevelopment,David C Ryniker;David Ryniker;Lily Ivanova,55,70.50909091,14.45538824,87.0,0.0,,,,,8,10,8,5,11,5,0
UBCV,2014,W,SOCI,302,A,003,Ethnic and Racial Inequality,David C Ryniker;David Ryniker,38,76.34210526,7.847452042,91.0,60.0,0,0,0,,6,5,4,8,7,5,
UBCV,2015,S,SOCI,301,A,001,Sociology of Development and Underdevelopment,David C Ryniker;David Ryniker;Rafael Wainer,67,73.13432836,8.621494496,88.0,33.0,,,,,10,10,16,10,13,,0
UBCV,2015,W,ANTH,201,A,001,Ethnic Relations,David C Ryniker;David Ryniker,51,70.31372549,13.803608508,92.0,0.0,,,,6,,10,9,6,6,,
UBCV,2015,W,ANTH,201,A,002,Ethnic Relations,David C Ryniker;David Ryniker;Ma. Ledda Docot,33,73.060606061,9.075858754,86.0,55.0,0,0,,3,,3,3,6,8,,0
UBCV,2015,W,ANTH,300,A,004,Contemporary Anthropological Theory,David C Ryniker;David Ryniker,10,70.0,25.385910353,85.0,0.0,,,,,,,,3,2,,0
UBCV,2015,W,SOCI,201,A,001,Ethnic Relations,David C Ryniker;David Ryniker;Lauren Elizabeth Harding;Lauren Harding,39,71.205128205,8.790483752,91.0,50.0,0,,,,6,11,8,1,4,,
UBCV,2015,W,SOCI,201,A,002,Ethnic Relations,David C Ryniker;David Ryniker,43,69.348837209,17.429973801,90.0,0.0,,,,,9,2,9,5,6,,
UBCV,2015,W,SOCI,301,A,001,Sociology of Development and Underdevelopment,Dana Lowi-Merri;David C Ryniker;David Ryniker,63,73.650793651,9.003867861,95.0,39.0,,,,,8,7,12,16,8,3,
UBCV,2015,W,SOCI,302,A,003,Ethnic and Racial Inequality,David C Ryniker;David Ryniker;Lauren Elizabeth Harding;Lauren Harding,42,74.380952381,14.055555938,90.0,0.0,,,,,6,1,10,6,9,6,
UBCV,2016,S,ANTH,378,,002,Anthropology of Media,David C Ryniker;David Ryniker,45,73.77777778,7.591529038,87.0,50.0,0,1,1,0,6,8,7,9,10,3,0
UBCV,2016,S,SOCI,201,A,921,Ethnic Relations,David C Ryniker;David Ryniker;Lauren Elizabeth Harding;Lauren Harding,25,73.16,8.979977728,88.0,55.0,0,0,2,3,1,3,6,4,3,3,0
UBCV,2016,W,ANTH,100,A,005,Introduction to Cultural Anthropology,David C Ryniker;David Ryniker,34,72.64705882,9.531073115,90.0,55.0,0,0,4,4,3,3,6,5,4,4,1
UBCV,2016,W,ANTH,201,A,001,Ethnic Relations,David C Ryniker;David Ryniker,40,73.9,8.61662079,91.0,56.0,0,0,1,3,7,5,6,7,5,4,2
UBCV,2016,W,ANTH,201,A,002,Ethnic Relations,David C Ryniker;David Ryniker,38,68.63157895,20.90056388,87.0,0.0,4,0,1,1,6,4,5,3,10,4,0
UBCV,2016,W,SOCI,201,A,002,Ethnic Relations,David C Ryniker;David Ryniker;Zhiming Wu,67,69.01492537,11.24855888,86.0,12.0,2,1,4,10,8,7,15,11,8,1,0
UBCV,2016,W,SOCI,301,A,001,Sociology of Development and Underdevelopment,David C Ryniker;David Ryniker,46,71.97826087,14.97626141,90.0,0.0,2,2,3,0,4,5,9,5,10,5,1
UBCV,2016,W,SOCI,301,A,002,Sociology of Development and Underdevelopment,David C Ryniker;David Ryniker;Laura Barroso,53,72.0754717,11.68801006,85.0,20.0,2,2,0,0,9,5,13,9,11,2,0
UBCV,2017,W,ANTH,100,A,005,Introduction to Cultural Anthropology,Caris Windhausen;David C Ryniker;David Ryniker,99,69.393939394,11.687965363,90.0,12.0,4,3,3,5,20,12,28,8,12,2,2
UBCV,2017,W,ANTH,202,B,002,Contemporary Social Problems,David C Ryniker;David Ryniker,32,68.21875,19.904180749,91.0,0.0,2,0,3,2,5,3,5,4,5,2,1
UBCV,2017,W,ANTH,300,A,001,Contemporary Anthropological Theory,David C Ryniker;David Ryniker;John Barker,44,68.068181818,22.751844011,95.0,0.0,5,0,1,2,5,5,5,8,7,4,2
UBCV,2017,W,SOCI,301,A,002,Sociology of Development and Underdevelopment,David C Ryniker;David Ryniker;Zahra Lakhdhir,59,69.762711864,17.87151363,87.0,0.0,5,0,2,0,12,4,5,17,10,4,0
UBCV,2017,W,SOCI,302,A,004,Ethnic and Racial Inequality,David C Ryniker;David Ryniker,15,75.6,7.83581521,85.0,62.0,0,0,0,1,3,0,2,2,6,1,0
UBCV,2018,W,ANTH,100,A,004,Introduction to Cultural Anthropology,Amanda Sorensen;Charles Menzies;David C Ryniker;David Ryniker;Kendra Jewell;Kendra Leigh Jewell,103,69.155339806,15.334030642,90.0,0.0,5,4,4,14,9,14,14,13,18,6,2
UBCV,2018,W,ANTH,378,,002,Anthropology of Media,Christopher Smith;David C Ryniker;David Ryniker;Sabina Magliocco,41,74.682926829,9.487989841,88.0,55.0,0,0,3,1,8,4,2,5,13,5,0
UBCV,2018,W,SOCI,302,,101,Ethnic and Racial Inequality,David C Ryniker;David Ryniker,42,73.5,6.220540326,85.0,61.0,0,0,0,3,5,8,6,12,7,1,0
UBCV,2019,S,ANTH,100,,922,Introduction to Cultural Anthropology,David C Ryniker;David Ryniker;Jennifer Kramer,26,72.538461538,12.59914527,92.0,32.0,1,0,1,3,5,1,2,6,2,3,2
UBCV,2019,W,ANTH,100,A,400,Introduction to Cultural Anthropology,Cailin O'Hern;David C Ryniker;David Ryniker;Yujie Ji,96,74.604166667,13.949894674,95.0,0.0,4,0,0,4,8,6,19,17,23,10,5
UBCV,2019,W,ANTH,202,B,001,Contemporary Social Problems,David C Ryniker;David Ryniker,31,73.064516129,16.504414528,92.0,0.0,2,0,1,2,0,3,7,7,5,1,3
UBCV,2019,W,ANTH,360,,100,Introduction to Ecological Anthropology,David C Ryniker;David Ryniker,28,74.571428571,9.825999417,88.0,43.0,1,1,0,0,3,1,6,5,9,2,0
UBCV,2019,W,SOCI,302,,204,Ethnic and Racial Inequality,David C Ryniker;David Ryniker,10,69.2,15.017027373,83.0,30.0,1,0,0,0,2,2,1,2,2,0,0
UBCV,2020,S,SOCI,302,,901,Ethnic and Racial Inequality,David C Ryniker;David Ryniker;Holly Benna;Lily Ivanova,42,72.238095238,15.518375455,88.0,0.0,2,0,1,1,4,6,9,7,7,5,0
UBCV,2020,S,SOCI,302,,902,Ethnic and Racial Inequality,David C Ryniker;David Ryniker;Holly Benna;Lily Ivanova,37,70.081081081,15.670883082,87.0,0.0,2,0,0,2,1,9,12,6,3,2,0
UBCV,2020,S,SOCI,303,,901,Sociology of Migration,Amira Halperin;David C Ryniker;David Ryniker;Ece Unlu;Nichole Goh;Zachary Hyde,42,70.880952381,16.38441017,87.0,3.0,2,1,1,2,8,3,2,10,8,5,0
UBCV,2020,S,SOCI,303,,902,Sociology of Migration,David C Ryniker;David Ryniker;Ece Unlu;Nichole Goh;Zachary Hyde,22,73.090909091,6.639772593,83.0,55.0,0,0,1,1,1,4,5,7,3,0,0
UBCV,2020,W,ANTH,100,A,001,Introduction to Cultural Anthropology,Cailin O'Hern;Danielle Gendron;David C Ryniker;David Ryniker;Leigh Elizabeth Doyle,124,74.169354839,10.844594603,91.0,30.0,4,3,5,1,18,9,19,16,30,17,2
UBCV,2020,W,ANTH,351,A,100,Ethnography of the Pacific Islands: Melanesia,David C Ryniker;David Ryniker,31,70.64516129,15.706789163,86.0,4.0,2,0,2,0,3,7,5,2,7,3,0
UBCV,2020,W,SOCI,302,,101,Ethnic and Racial Inequality,David C Ryniker;David Ryniker;Elic Chan,29,73.724137931,11.445200341,89.0,46.0,1,2,1,1,1,2,6,5,5,5,0
