Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,ASTR,404,,101,ASTR&ASTRPHY MEA,"Fahlman, Gregory;Matthews, Jaymie Mark;Richer, Harvey",6,71.67,12.42,85,53,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
UBC,2003,W,ASTR,303,,101,EXTRAGALACTIC,"Hickson, Paul;Richer, Harvey;Scott, Douglas",29,72.84,13.55,95,50,25,0,3,0,1,0,0,0,0,0,0,4,3,0,1,2,2,3,6,2,2
UBC,2003,W,ASTR,310,,201,EXPLRING UNIV I,"Richer, Harvey",262,74.44,10.84,97,30,246,1,13,0,2,0,0,0,1,0,1,12,7,18,22,32,37,23,56,20,19
UBC,2003,W,ASTR,310,,T2A,EXPLRING UNIV I,"Richer, Harvey",5,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,ASTR,310,,T2B,EXPLRING UNIV I,"Richer, Harvey",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,ASTR,201,,101,STELLAR ASTRPHYS,"Richer, Harvey",49,69.43,13.49,96,37,42,2,3,0,2,0,0,0,1,1,2,2,7,3,6,5,5,3,4,4,3
UBC,2006,W,ASTR,310,,201,EXPLRING UNIV I,"Richer, Harvey",258,75.49,12.14,98,18,251,2,5,0,0,0,1,1,0,0,2,13,13,14,21,16,24,37,49,41,23
UBC,2006,W,ASTR,520,,001,ASTR/APHYS R SEM,"Richer, Harvey",5,85.8,2.59,89,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
UBC,2007,W,ASTR,201,,101,STELLAR ASTRPHYS,"Richer, Harvey",52,70.63,13.68,93,30,45,4,1,0,2,0,0,0,2,2,4,2,3,2,5,6,5,7,12,1,2
UBC,2007,W,ASTR,310,,201,EXPLRING UNIV I,"Richer, Harvey",237,73.13,11.84,97,30,222,6,6,0,3,0,0,0,2,4,6,12,10,18,19,20,32,37,38,23,13
UBC,2009,W,ASTR,310,,101,EXPLRING UNIV I,"Richer, Harvey",187,71.18,11.65,91,20,177,3,7,0,0,0,0,2,1,0,3,12,17,10,11,29,25,26,27,17,3
UBC,2009,W,ASTR,520,,001,ASTR/APHYS R SEM,"Richer, Harvey",8,82.63,6.21,90,72,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1
UBC,2010,W,ASTR,310,,201,EXPLRING UNIV I,"Richer, Harvey",215,70.63,13.01,96,23,195,5,7,0,0,0,0,1,3,1,5,20,14,15,24,21,24,22,24,20,11
UBC,2010,W,ASTR,310,,T2F,EXPLRING UNIV I,"Richer, Harvey",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,ASTR,304,,201,RSRCH TPCS ASTR,"Richer, Harvey",8,80.63,5.68,90,71,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,1
UBC,2011,W,ASTR,310,,201,EXPLRING UNIV I,"Richer, Harvey",65,77.13,9.46,95,61,61,0,2,0,0,0,0,0,0,0,0,0,0,2,12,8,5,9,8,8,9
UBC,2012,W,ASTR,202,,201,GALACTIC ASTR,"Richer, Harvey;Stairs, Ingrid",24,71.81,16.67,98,30,20,1,1,2,0,0,0,0,1,0,1,2,2,2,1,1,1,3,4,2,2
UBC,2012,W,ASTR,310,,101,EXPLRING UNIV I,"Richer, Harvey",187,74.56,12.08,98,40,175,3,4,0,0,0,0,0,0,3,3,8,10,12,14,22,21,20,25,23,20
UBC,2013,W,ASTR,205,,201,STRS & STLLR POP,"Richer, Harvey",12,68.42,18.93,92,39,10,2,0,0,0,0,0,0,1,1,2,2,0,1,1,0,0,1,2,2,1
UBC,2014,W,ASTR,101,,101,INT ASTRONOMY I,"Richer, Harvey;Samra, Raminder",120,70.12,15.27,97,20,108,7,3,0,2,0,0,2,5,0,7,10,10,6,9,17,8,10,22,8,8
UBC,2014,W,ASTR,205,,201,STRS & STLLR POP,"Richer, Harvey",13,76.23,8.52,93,57,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,4,0,1
UBC,2015,W,ASTR,205,,201,STRS & STLLR POP,"Richer, Harvey",27,71.56,11.9,97,50,27,0,0,0,0,0,0,0,0,0,0,1,4,3,2,5,3,1,4,2,2
UBC,2015,W,ASTR,310,,101,EXPLRING UNIV I,"Richer, Harvey",148,70.43,12.22,95,21,136,3,6,0,0,0,0,1,0,2,3,11,11,15,16,14,14,13,28,9,5
UBC,2016,W,ASTR,205,,201,STRS & STLLR POP,"Richer, Harvey",24,72.38,12.13,90,51,24,0,0,0,0,0,0,0,0,0,0,2,3,3,0,1,3,2,6,2,2
UBC,2016,W,ASTR,310,,101,EXPLRING SLR SYS,"Richer, Harvey",113,70.35,12.19,92,35,106,2,3,0,0,0,0,0,1,1,2,12,3,11,15,19,8,9,13,9,7
UBC,2017,W,ASTR,205,,201,STRS & STLLR POP,"Richer, Harvey",33,74.53,9.5,88,40,29,1,3,0,0,0,0,0,0,1,1,0,0,2,2,4,6,5,8,2,0
UBC,2018,W,ASTR,205,,201,STRS & STLLR POP,"Richer, Harvey",12,74.92,13.28,94,50,12,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,2,3,1
UBCV,2014,W,ASTR,101,,101,Introduction to the Solar System,Harvey Richer;Raminder Samra,117,69.54700855,15.79529378,97.0,20.0,,,,,,,,,,,9,10,10,6,9,17,8,10,22,8,8
UBCV,2014,W,ASTR,205,,201,Stars and Stellar Populations,Harvey Richer,13,76.23076923,8.516198743,93.0,57.0,,,,,,,,,,,0,0,,,,,,,,,
UBCV,2015,W,ASTR,205,,201,Stars and Stellar Populations,Harvey Richer;Javiera Parada Torres,27,71.555555556,11.904534796,97.0,50.0,,,,,,,,,,,0,,,,,5,,,,,
UBCV,2015,W,ASTR,310,,101,Exploring the Universe I: The Solar System,Ali Narimani;Anna Gwen Hughes;Anna Hughes;Carolin Janet Hofer;Harvey Richer;Todd Mackenzie,142,70.422535211,12.264417738,95.0,21.0,,,,,,,,,,,3,12,11,15,16,15,14,13,28,10,5
UBCV,2016,W,ASTR,205,,201,Stars and Stellar Populations,Harvey Richer;Javiera Parada Torres,24,72.375,12.12547623,90.0,51.0,,,,,,,,,,,0,2,3,3,0,1,3,2,6,2,2
UBCV,2016,W,ASTR,310,,101,Exploring the Universe: The Solar System,Harvey Richer,110,70.19090909,12.17795832,92.0,35.0,,,,,,,,,,,2,13,3,11,15,20,8,9,13,9,7
UBCV,2017,W,ASTR,205,,201,Stars and Stellar Populations,Christopher Mann;Harvey Richer,30,74.533333333,9.496762909,88.0,40.0,,,,,,,,,,,1,0,0,2,2,4,6,5,8,2,0
UBCV,2017,W,ASTR,310,,101,Exploring the Universe: The Solar System,Agueda Paula Granados Contreras;Harvey Richer;Javiera Parada Torres;Jaymie Mark Matthews;Joschua Andrea Hellemeier;Joschua Hellemeier,99,73.464646465,11.376051762,98.0,20.0,,,,,,,,,,,1,2,6,10,8,11,13,14,17,12,5
UBCV,2018,W,ASTR,205,,201,Stars and Stellar Populations,Harvey Richer,12,74.916666667,13.276488674,94.0,50.0,,,,,,,,,,,0,1,1,1,0,1,2,0,2,3,1
UBCV,2019,W,ASTR,205,,201,Stars and Stellar Populations,Edward Ashton;Harvey Richer;Paul Hickson,20,89.75,5.408326913,96.0,77.0,,,,,,,,,,,0,0,0,0,0,0,0,2,0,5,13
