Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2020,W,COHR,486,D,201,Special Topics in Organizational Behaviour and Human Resources,Patrick Reilly;Smruthi Rangarajan,16,78.875,6.662081757,88.0,64.0,0,0,0,0,1,2,0,3,6,4,0,,,
UBCV,2020,W,COMM,292,,213,Management and Organizational Behaviour,Larry Chen;Melayna Beaudin;Patrick Reilly,58,76.431034483,10.988210698,88.0,10.0,1,0,1,2,1,4,10,15,17,7,0,,,
UBCV,2020,W,COMR,329,,203,Principles of Organizational Behaviour,Christopher Rowell;Dhiraj Hariramani;Larry Chen;Patrick Reilly,18,77.111111111,7.011661621,86.0,62.0,0,0,0,2,0,1,2,4,6,3,0,,,
UBCV,2021,W,BA,502,,301,Professional Residency II Business Development and Negotiations,Mehmud Iqbal;Nathanael Arney;Nathanael Christopher Arney;Patrick Reilly,52,82.903846154,1.740628863,87.0,80.0,0,0,0,0,0,0,0,0,37,15,0,,,
UBCV,2021,W,BAHR,550,,001,Organizational Behavior,Kai Min Chan;Lingtao Yu;Patrick Reilly,50,83.52,1.752432711,87.0,80.0,0,0,0,0,0,0,0,0,30,20,0,,,
UBCV,2021,W,BAHR,550,,002,Organizational Behavior,Kai Min Chan;Patrick Reilly,51,83.509803922,1.541071692,86.0,80.0,0,0,0,0,0,0,0,0,32,19,0,,,
UBCV,2021,W,COHR,486,D,201,Special Topics in Organizational Behaviour and Human Resources,Patrick Reilly;Ritesh Tota Suresh,32,80.46875,6.87203015,88.0,60.0,0,0,0,1,1,0,4,6,4,16,0,,,
UBCV,2021,W,COMR,329,,203,Principles of Organizational Behaviour,Christopher Rowell;Faheem Saeed;Min Beom Kay;Patrick Reilly;Tirth Choksey,20,76.75,4.447056981,86.0,70.0,0,0,0,0,0,2,6,8,2,2,0,,,
UBCV,2021,W,BAHR,550,,001,Organizational Behavior,Patrick Reilly,50,83.5,,87.0,80.0,0,0,0,0,0,0,0,0,30,20,0,83.5,85.0,82.0
UBCV,2021,W,BAHR,550,,002,Organizational Behavior,Patrick Reilly,51,83.5,,86.0,80.0,0,0,0,0,0,0,0,0,32,19,0,83.0,85.0,83.0
UBCV,2021,W,COHR,486,D,201,Special Topics in Organizational Behaviour and Human Resources,Patrick Reilly,32,80.5,,88.0,60.0,,,,,,,,6,,16,,83.0,85.0,76.8
UBCV,2022,W,BA,502,,301,Professional Residency II Business Development and Negotiations,Darren Mahaffy;Patrick Reilly,56,83.6,,97.0,76.0,0,0,0,0,0,0,0,7,25,22,2,83.0,86.0,81.0
UBCV,2022,W,BAHR,580,B,302,Topics in Human Resources,Patrick Reilly,35,84.1,,88.0,78.0,0,0,0,0,0,0,0,1,14,20,0,85.0,85.0,82.5
UBCV,2022,W,COHR,486,D,201,Special Topics in Organizational Behaviour and Human Resources,Patrick Reilly,21,80.8,,88.0,70.0,0,0,0,0,0,1,1,3,11,5,0,81.0,83.0,80.0
UBCV,2023,W,BAHR,580,B,302,Topics in Human Resources,Patrick Reilly,57,83.96,,90.0,80.0,0,0,0,0,0,0,0,0,28,26,2,84.5,85.0,82.0
UBCV,2023,W,COMM,412,,101,Negotiation,Patrick Reilly,35,81.06,,87.0,75.0,0,0,0,0,0,0,1,7,21,6,0,81.0,83.0,80.0
UBCV,2023,W,COMM,412,,102,Negotiation,Patrick Reilly,35,81.57,,88.0,69.0,0,0,0,0,0,1,2,5,12,15,0,83.0,85.0,80.0
