Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,POLI,240,,001,CUR POLI THOUGHT,"Resnick, Philip",140,71.18,9.88,88,30,133,3,4,0,0,0,0,0,3,0,3,2,5,14,20,18,21,23,24,6,0
UBC,2003,W,POLI,346,,001,DEMOCRATIC THRY,"Resnick, Philip",55,70.6,11.72,88,42,51,2,2,0,0,0,0,0,0,2,2,6,1,5,1,10,9,6,7,6,0
UBC,2006,W,POLI,307,,001,QUEBEC POLITICS,"Resnick, Philip",47,67.86,11.56,87,44,39,3,5,0,0,0,0,0,0,3,3,3,7,0,6,6,4,5,6,2,0
UBC,2006,W,POLI,346,,001,DEMOCRATIC THRY,"Resnick, Philip",56,72.17,8.3,87,51,54,0,2,0,0,0,0,0,0,0,0,2,2,4,8,10,5,12,7,4,0
UBC,2006,W,POLI,405,A,001,TPC CANADA POLI,"Resnick, Philip",9,78.14,8.01,86,66,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0
UBC,2006,W,POLI,501,A,001,CNDN GOVT&POLTCS,"Resnick, Philip",10,84.3,3.65,90,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
UBC,2006,W,POLI,504,A,001,TOPS CDN POLITCS,"Resnick, Philip",4,86.75,0.96,88,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
UBC,2007,W,POLI,240,,001,CUR POLI THOUGHT,"Resnick, Philip",149,67.82,11.32,87,13,136,6,3,0,4,0,1,1,1,3,6,8,11,19,14,21,30,16,12,5,0
UBC,2007,W,POLI,307,,001,QUEBEC POLITICS,"Resnick, Philip",45,66.43,13.29,87,28,39,3,2,0,1,0,0,1,0,2,3,6,3,3,5,5,4,6,4,3,0
UBC,2007,W,POLI,346,,001,DEMOCRATIC THRY,"Resnick, Philip",50,71.41,8.48,88,55,46,0,3,0,1,0,0,0,0,0,0,0,4,4,7,12,5,5,4,5,0
UBC,2007,W,POLI,390,B,002,HONOURS SEMINAR,"Resnick, Philip",11,84.36,2.94,88,78,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0
UBC,2009,W,POLI,304,,001,BC GOVERNMT&POLI,"Resnick, Philip",61,71.36,11.96,86,14,57,2,1,0,1,0,1,1,0,0,2,0,1,6,9,6,11,11,12,1,0
UBC,2009,W,POLI,504,B,001,TOPS CDN POLITCS,"Resnick, Philip",7,84.71,3.15,87,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0
UBC,2010,W,POLI,304,,001,BC GOVERNMT&POLI,"Resnick, Philip",51,69.79,13.72,90,21,46,2,2,0,1,0,0,2,0,0,2,2,3,6,7,4,4,10,5,4,1
UBC,2010,W,POLI,405,A,001,TPC CANADA POLI,"Resnick, Philip",7,83.71,2.5,88,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
UBC,2011,W,POLI,346,,001,DEMOCRATIC THRY,"Resnick, Philip",49,72.82,10.79,88,40,48,1,0,0,0,0,0,0,0,1,1,3,2,2,3,6,9,8,9,6,0
UBC,2011,W,POLI,405,A,001,TPC CANADA POLI,"Resnick, Philip",6,81.5,5.82,85,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0
UBC,2012,W,POLI,346,,001,DEMOCRATIC THRY,"Resnick, Philip",45,68.82,19.2,89,6,40,4,1,0,0,2,1,0,1,0,4,2,2,0,5,5,6,8,8,4,0
UBC,2012,W,POLI,405,A,001,TPC CANADA POLI,"Resnick, Philip",4,80.25,6.02,86,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
UBC,2012,W,POLI,504,A,001,TOPS CDN POLITCS,"Resnick, Philip",7,86.57,2.15,88,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
UBC,2013,W,POLI,304,,001,BC GOVERNMT&POLI,"Resnick, Philip",57,69.58,16.58,88,0,52,3,1,1,0,2,0,0,0,1,3,3,1,4,5,10,9,7,8,5,0
