Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2006,W,EECE,411,,101,DIST SFTWARE APP,"Ripeanu, Radu",20,78.89,15.01,96,31,18,1,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,2,1,6,4,,,
UBC,2006,W,EECE,571,R,204,ELEC SEM&SP PROB,"Ripeanu, Radu",4,87.5,5,90,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,,
UBC,2007,W,EECE,310,,201,SOFT ENGIN,"Ripeanu, Radu",41,80.12,8.07,93,58,41,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,10,12,9,3,,,
UBC,2007,W,EECE,320,,201,DISCT STRU&ALGTH,"Ripeanu, Radu",39,73.74,15.88,99,35,35,3,1,0,0,0,0,0,3,0,3,2,0,3,3,5,2,1,9,6,4,,,
UBC,2007,W,EECE,411,,101,DIST SFTWARE APP,"Ripeanu, Radu",28,79.39,11.54,97,58,28,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,4,4,7,5,,,
UBC,2007,W,EECE,571,R,205,ELEC SEM&SP PROB,"Ripeanu, Radu",10,83.2,6.58,91,71,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,2,,,
UBC,2009,W,EECE,411,,101,DIST SFTWARE APP,"Ripeanu, Radu",32,73.19,10.05,96,52,31,0,0,1,0,0,0,0,0,0,0,2,2,1,2,6,6,4,5,2,1,,,
UBC,2009,W,EECE,417,,201,SOFT ARCH,"Ripeanu, Radu",22,75.32,7.55,93,59,22,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,6,1,0,2,,,
UBC,2009,W,EECE,571,R,205,ELEC SEM&SP PROB,"Ripeanu, Radu",8,84.86,3.89,90,81,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,,,
UBC,2010,S,EECE,400,,941,NANTEC & MICRSYS,"Ripeanu, Radu",7,84.57,7.57,94,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,,,
UBC,2010,S,EECE,496,,941,ENGINEERING PROJ,"Ripeanu, Radu",49,81.69,14.28,96,0,48,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,7,6,10,9,14,,,
UBC,2010,W,EECE,411,,101,DIST SFTWARE APP,"Ripeanu, Radu",31,74.86,12.61,95,50,29,0,2,0,0,0,0,0,0,0,0,3,2,1,0,3,6,4,3,3,4,,,
UBC,2010,W,EECE,571,R,205,ELEC SEM&SP PROB,"Ripeanu, Radu",11,82.7,6.9,90,70,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,2,,,
UBC,2011,W,EECE,310,,101,SOFT ENGIN,"Ripeanu, Radu",49,75.46,18.83,96,10,45,3,1,0,0,0,2,1,0,0,3,1,0,2,0,8,4,6,8,9,7,,,
UBC,2011,W,EECE,411,,101,DIST SFTWARE APP,"Ripeanu, Radu",19,74.79,23.49,92,9,17,2,0,0,0,1,1,0,0,0,2,0,0,0,0,2,1,3,5,2,4,,,
UBC,2013,W,EECE,411,,201,DIST SFTWARE APP,"Ripeanu, Radu",30,74.03,13.85,96,50,30,0,0,0,0,0,0,0,0,0,0,5,1,0,1,4,3,7,2,3,4,,,
UBC,2013,W,EECE,417,,201,SOFT ARCH,"Ripeanu, Radu",45,74.42,11.89,98,50,45,0,0,0,0,0,0,0,0,0,0,3,3,3,4,2,6,6,7,10,1,,,
UBC,2013,W,EECE,571,E,101,ELEC SEM&SP PROB,"Ripeanu, Radu",4,81.75,7.46,88,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,
UBC,2014,W,EECE,411,,201,DIST SFTWARE APP,"Ripeanu, Radu",42,70.64,12.67,91,28,40,2,0,0,0,0,0,1,0,1,2,2,0,5,5,8,5,4,6,3,2,,,
UBC,2014,W,EECE,571,E,101,ELEC SEM&SP PROB,"Ripeanu, Radu",6,87.5,2.26,90,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,,,
UBC,2015,W,CPEN,431,,201,DIST SFTWARE APP,"Ripeanu, Radu",48,77.13,18.4,100,20,46,2,0,0,0,0,0,2,0,0,2,2,2,4,6,0,4,3,2,10,13,,,
UBC,2015,W,EECE,571,E,102,ELEC SEM&SP PROB,"Ripeanu, Radu",8,78.63,12.76,94,62,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,2,,,
UBC,2016,W,CPEN,221,,101,PRIN SFTWR CONST,"Gopalakrishnan, Sathish;Ripeanu, Radu",191,73.97,10.05,98,40,183,2,5,1,0,0,0,0,0,2,2,5,11,9,22,36,24,22,36,12,6,,,
UBC,2016,W,CPEN,221,,T1A,PRIN SFTWR CONST,"Gopalakrishnan, Sathish;Ripeanu, Radu",5,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2016,W,CPEN,431,,201,DIST SFTWARE APP,"Ripeanu, Radu",32,80.87,18.78,99,17,28,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,3,5,6,6,8,,,
UBC,2016,W,EECE,571,E,102,ELEC SEM&SP PROB,"Ripeanu, Radu",7,83.71,7.67,91,72,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,,,
UBC,2017,W,CPEN,431,,201,DIST SFTWARE APP,"Ripeanu, Radu",46,79.27,12.49,99,50,45,0,1,0,0,0,0,0,0,0,0,4,0,1,2,2,4,6,7,13,6,,,
UBC,2018,W,CPEN,431,,201,DIST SFTWARE APP,"Ripeanu, Radu",37,75.78,9.85,91,52,37,0,0,0,0,0,0,0,0,0,0,1,2,1,2,6,7,4,6,6,2,,,
UBC,2018,W,EECE,571,E,102,ELEC SEM&SP PROB,"Ripeanu, Radu",5,83.6,8.76,92,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,,,
UBCV,2014,W,EECE,411,,201,Design of Distributed Software Applications,Radu Ripeanu,42,70.64285714,12.67380904,91.0,28.0,,,,,,,,,,,,,,5,5,8,5,,6,,,,,
UBCV,2014,W,EECE,571,E,101,Electrical Engineering Seminar and Special Problems,Radu Ripeanu,6,87.5,2.258317958,90.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,
UBCV,2015,W,CPEN,431,,201,Design of Distributed Software Applications,Hassan Halawa;Hassan Hesham Mohamed Halawa;Radu Ripeanu;Scott Sallinen;Tahsin Reza,48,77.125,18.400537689,100.0,20.0,,,,,,,,,,,,,,,6,,,,,10,13,,,
