Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,BAFI,511,,610,SECURITY PRICING,"Jagannathan, R",6,83.17,6.71,89,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0
UBC,2002,W,ENGL,301,,009,TECH&BUS WRITING,"*Montagnes, R;Montagnes, Ramona",25,73.76,6.33,85,63,25,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,8,2,5,1,0
UBC,2002,W,ENGL,301,,99C,TECH&BUS WRITING,"*Montagnes, R",42,77.5,3.54,80,75,2,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
UBC,2002,W,ENGL,301,,99M,TECH&BUS WRITING,"*Montagnes, R",22,70.5,17.81,87,0,19,1,1,0,1,1,0,0,0,0,1,0,0,1,3,1,6,3,4,1,0
UBC,2002,W,ENGL,301,,GIS,TECH&BUS WRITING,"*Montagnes, R;DENHOLM, JULIA;Nelson-McDermott, Catherine;Parkin, Christine",67,73.21,18.65,90,0,53,3,7,1,3,2,0,1,0,0,3,2,0,3,4,3,8,8,12,8,5
UBC,2003,W,BAFI,511,,610,SECURITY PRICING,"Jagannathan, R",9,80.78,8.06,90,62,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,1
UBC,2003,W,ENGL,301,,99A,TECH&BUS WRITING,"*Montagnes, R",25,75.05,7.37,86,57,21,0,2,0,2,0,0,0,0,0,0,0,1,1,1,3,3,5,6,1,0
UBC,2003,W,ENGL,301,,99C,TECH&BUS WRITING,"*Montagnes, R",24,,,,,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,ENGL,301,,GIS,TECH&BUS WRITING,"*Montagnes, R;DENHOLM, JULIA;Parkin, Christine;SLEMON, JANE C;Somerville, Christine",75,66.64,23.06,92,0,58,9,6,0,2,4,2,1,2,0,9,0,2,5,2,8,12,8,13,5,3
UBC,2005,W,ENGL,301,,99A,TECH WRITING,"*Montagnes, R",16,75.06,8.02,86,55,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,3,5,1,0
UBC,2005,W,ENGL,301,,99C,TECH WRITING,"*Montagnes, R",20,77.12,6.01,86,65,17,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,5,4,4,2,0
