Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,PSYC,100,,004,INTRO PSYCHOLOGY,"Graf, Peter;Rawn, Catherine",178,67.99,14.42,95,3,152,14,12,0,0,1,0,2,2,9,14,10,19,17,18,16,16,14,20,18,4
UBC,2009,W,PSYC,101,,002,BIO COG PSYCH,"Rawn, Catherine",497,68.69,12.96,93,0,456,31,9,0,1,1,1,3,9,17,31,24,43,49,51,72,66,59,51,30,11
UBC,2009,W,PSYC,208,,001,"SOC, DEV, CLIN","Rawn, Catherine",150,68.17,11.7,90,0,146,4,0,0,0,1,0,0,2,1,4,10,12,16,20,30,16,22,14,5,1
UBC,2009,W,PSYC,217,,008,THINK CLR PSYCH,"Rawn, Catherine",56,65.39,13.85,90,10,53,3,0,0,0,0,2,0,0,1,3,2,7,6,10,13,8,1,3,2,1
UBC,2009,W,PSYC,217,,901,THINK CLR PSYCH,"Rawn, Catherine",31,69.23,10.13,84,51,30,0,1,0,0,0,0,0,0,0,0,3,2,4,5,4,3,2,7,0,0
UBC,2010,W,PSYC,100,,006,INTRO PSYCHOLOGY,"Rawn, Catherine",267,68.19,13.3,94,0,239,18,10,0,0,1,1,0,4,12,18,15,28,26,28,26,35,37,21,16,7
UBC,2010,W,PSYC,208,,002,"SOC, DEV, CLIN","Rawn, Catherine",132,67.45,12.57,86,0,121,7,2,0,0,2,0,0,2,3,7,2,15,10,20,26,19,15,13,1,0
UBC,2010,W,PSYC,217,,001,RSRCH MTHDS,"Rawn, Catherine",96,69.88,12.12,90,31,93,2,1,0,0,0,0,0,2,0,2,8,5,14,13,11,8,10,13,8,3
UBC,2010,W,PSYC,217,,901,RSRCH MTHDS,"Rawn, Catherine",64,65.65,11.77,89,42,60,2,2,0,0,0,0,0,0,2,2,9,10,10,5,6,5,5,7,3,0
UBC,2011,W,PSYC,100,,002,INTRO PSYCHOLOGY,"Rawn, Catherine",385,66.26,13.87,93,15,325,42,17,0,0,0,4,1,10,27,42,25,40,34,44,37,45,37,33,21,9
UBC,2011,W,PSYC,208,,002,"SOC, DEV, CLIN","Rawn, Catherine",107,68.05,11.41,90,23,96,7,4,0,0,0,0,1,1,5,7,4,10,9,12,15,22,12,7,4,1
UBC,2011,W,PSYC,217,,001,RSRCH MTHDS,"Rawn, Catherine",86,67.39,9.34,88,44,81,3,1,1,0,0,0,0,0,3,3,6,8,7,17,14,15,5,8,1,0
UBC,2011,W,PSYC,217,,002,RSRCH MTHDS,"Rawn, Catherine",89,70.51,8.83,85,40,88,1,0,0,0,0,0,0,0,1,1,3,8,5,10,18,14,14,15,1,0
UBC,2011,W,PSYC,218,,004,ANALYS BEH DATA,"Rawn, Catherine",99,66.99,15.12,93,10,84,11,3,1,0,0,1,0,3,7,11,6,10,10,9,10,3,13,14,6,3
UBC,2012,W,PSYC,100,,002,INTRO PSYCHOLOGY,"Rawn, Catherine",259,68.92,12.12,93,29,235,17,7,0,0,0,0,1,2,14,17,12,28,22,22,40,26,32,27,24,2
UBC,2012,W,PSYC,208,,002,"SOC, DEV, CLIN","Rawn, Catherine",119,67.64,10.07,86,41,108,5,3,0,0,0,0,0,0,5,5,5,16,7,21,14,17,13,13,2,0
UBC,2012,W,PSYC,217,,001,RSRCH MTHDS,"Rawn, Catherine",71,68.94,9.11,84,46,66,1,4,0,0,0,0,0,0,1,1,4,7,5,12,5,17,7,9,0,0
UBC,2012,W,PSYC,217,,002,RSRCH MTHDS,"Rawn, Catherine",89,69.48,8.65,88,44,88,1,0,0,0,0,0,0,0,1,1,3,12,6,9,15,19,15,8,1,0
UBC,2012,W,PSYC,508,,001,TEACHING OF PSYC,"Rawn, Catherine",5,87.4,1.95,90,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
UBC,2013,W,PSYC,101,,005,BIO COG PSYCH,"Rawn, Catherine",347,70.31,13.75,99,29,310,26,8,0,0,0,0,1,9,16,26,23,23,25,31,36,33,38,52,33,16
UBC,2013,W,PSYC,102,,004,DEV SOC CLI PSY,"Rawn, Catherine",272,70.93,12.45,94,29,250,18,2,0,0,0,0,1,4,13,18,9,20,20,26,31,31,39,45,24,5
UBC,2013,W,PSYC,208,,002,"SOC, DEV, CLIN","Rawn, Catherine",136,68.98,12.09,90,9,123,9,3,0,0,1,0,0,1,7,9,6,8,15,10,18,25,20,15,5,1
UBC,2013,W,PSYC,217,,001,RSRCH MTHDS,"Rawn, Catherine",91,67.94,11.56,88,45,83,6,1,1,0,0,0,0,0,6,6,5,13,10,11,8,13,3,12,8,0
UBC,2013,W,PSYC,217,,002,RSRCH MTHDS,"Rawn, Catherine",91,68.35,10.5,87,28,85,4,2,0,0,0,0,1,0,3,4,4,8,11,8,19,12,10,11,2,0
UBC,2013,W,PSYC,218,,001,ANALYS BEH DATA,"Rawn, Catherine",95,66.72,17.47,96,21,78,14,1,2,0,0,0,3,5,6,14,10,9,5,4,8,8,6,13,11,4
UBC,2014,W,PSYC,101,,005,BIO COG PSYCH,"Rawn, Catherine",353,70.63,14.81,96,1,324,23,6,0,0,2,1,3,5,12,23,19,31,24,29,46,32,36,52,28,27
UBC,2014,W,PSYC,102,,004,DEV SOC CLI PSY,"Rawn, Catherine",264,71.33,14.6,100,14,245,16,2,0,0,0,2,0,4,10,16,16,20,24,27,22,28,26,32,19,31
UBC,2014,W,PSYC,208,,002,"SOC, DEV, CLIN","Rawn, Catherine",119,70.2,9.94,88,30,110,2,4,0,0,0,0,0,1,1,2,8,6,9,12,19,21,16,13,6,0
UBC,2014,W,PSYC,217,,001,RSRCH MTHDS,"Rawn, Catherine",88,66.56,11.5,87,17,81,7,0,0,0,0,1,0,1,5,7,3,11,9,10,13,20,8,4,3,0
UBC,2014,W,PSYC,217,,002,RSRCH MTHDS,"Rawn, Catherine",88,72.05,9.12,92,52,87,0,1,0,0,0,0,0,0,0,0,1,8,7,12,11,13,15,12,7,1
UBC,2014,W,PSYC,508,,002,TEACHING OF PSYC,"Rawn, Catherine",6,88.5,6.09,94,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
UBC,2015,W,PSYC,101,,005,BIO COG PSYCH,"Rawn, Catherine",368,69.49,13.43,97,8,346,20,2,0,0,1,1,1,4,13,20,29,31,38,33,42,47,42,37,26,21
UBC,2015,W,PSYC,102,,004,DEV SOC CLI PSY,"Rawn, Catherine",284,68.64,14.8,98,12,252,26,3,0,0,0,2,2,5,17,26,22,21,28,27,26,28,28,30,28,14
UBC,2015,W,PSYC,217,,001,RSRCH MTHDS,"Rawn, Catherine",90,66.26,8.98,88,48,86,1,3,0,0,0,0,0,0,1,1,6,14,15,17,9,12,6,4,3,0
UBC,2015,W,PSYC,217,,002,RSRCH MTHDS,"Rawn, Catherine",90,69.64,8.02,86,54,87,0,3,0,0,0,0,0,0,0,0,1,13,8,11,15,18,9,11,1,0
UBC,2015,W,PSYC,218,,003,ANALYS BEH DATA,"Rawn, Catherine",98,68.82,13.85,92,30,85,9,4,0,0,0,0,0,4,5,9,6,5,7,12,8,12,16,8,9,2
UBC,2015,W,PSYC,325,,003,SOCI:MEDIA CONT,"Rawn, Catherine",102,68.98,10.27,90,5,99,2,0,0,0,1,0,0,0,1,2,4,6,10,14,21,19,16,8,0,1
UBC,2017,W,PSYC,101,,005,BIO COG PSYCH,"Rawn, Catherine",338,69.35,14.35,97,0,307,22,6,0,0,2,0,2,6,12,22,15,38,35,28,30,49,32,30,34,16
UBC,2017,W,PSYC,102,,006,DEV SOC CLI PSY,"Rawn, Catherine",313,68.44,15.5,96,0,279,24,7,0,0,4,1,2,4,13,24,23,19,35,29,25,42,33,37,19,17
UBC,2017,W,PSYC,217,,001,RSRCH MTHDS,"Rawn, Catherine",95,65.57,12.68,90,4,87,5,3,0,0,1,0,0,1,3,5,8,14,9,15,14,7,8,5,6,1
UBC,2017,W,PSYC,217,,002,RSRCH MTHDS,"Rawn, Catherine",96,68.57,10.47,89,19,93,2,1,0,0,0,1,0,0,1,2,3,11,12,14,17,11,13,5,7,0
UBC,2017,W,PSYC,218,,001,ANALYS BEH DATA,"Rawn, Catherine",75,63.72,15.47,95,27,61,13,1,0,0,0,0,1,3,9,13,11,6,7,9,3,5,5,8,5,2
UBC,2017,W,PSYC,218,,002,ANALYS BEH DATA,"Rawn, Catherine",98,67.97,16.57,96,0,87,8,3,0,0,2,1,0,0,5,8,3,7,13,10,12,15,7,7,7,6
UBC,2018,W,PSYC,217,,001,RSRCH MTHDS,"Rawn, Catherine",93,66.99,9.96,88,40,88,3,1,0,1,0,0,0,0,3,3,5,15,14,11,9,17,5,8,4,0
UBC,2018,W,PSYC,217,,002,RSRCH MTHDS,"Rawn, Catherine",93,73.5,8.76,93,45,90,2,0,0,1,0,0,0,0,2,2,0,4,3,12,12,18,19,15,4,3
UBC,2018,W,PSYC,218,,001,ANALYS BEH DATA,"Rawn, Catherine",79,63.58,15.72,91,11,67,10,1,0,1,0,1,2,0,7,10,15,7,3,10,7,5,6,7,6,1
UBC,2018,W,PSYC,218,,002,ANALYS BEH DATA,"Rawn, Catherine",99,68.03,14.27,96,17,90,7,1,0,1,0,1,1,1,4,7,7,10,14,11,6,10,5,15,10,2
