Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,ENGL,110,,020,INTRO LITERATURE,"Rymhs, Deena",145,75.77,8.15,88,24,143,1,1,0,0,0,0,1,0,0,1,3,1,2,6,16,34,33,34,14,0
UBC,2009,W,ENGL,470,D,003,Canadian Studies,"Rymhs, Deena",27,75.67,6.61,88,60,27,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,4,8,2,0
UBC,2009,W,WMST,301,,001,Rol Ab Wom Can,"Rymhs, Deena",39,77.32,5.93,88,60,38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,6,9,12,4,0
UBC,2010,W,ENGL,110,,020,INTRO LITERATURE,"Rymhs, Deena",128,72,9.34,88,20,126,2,0,0,0,0,0,2,0,0,2,1,1,8,18,24,26,24,19,5,0
UBC,2010,W,WMST,301,,001,Rol Ab Wom Can,"Rymhs, Deena",36,74.54,8.48,86,40,34,1,1,0,0,0,0,0,0,1,1,0,0,2,1,3,9,10,7,2,0
UBC,2010,W,WMST,401,,001,"BDY, GEN, SOC","Rymhs, Deena",22,72.41,21.63,90,0,20,2,0,0,0,1,1,0,0,0,2,0,0,0,0,1,6,4,5,3,1
UBC,2011,W,ENGL,470,D,003,Canadian Studies,"Rymhs, Deena",44,76.16,14.54,95,27,41,3,0,0,0,0,0,2,1,0,3,0,1,0,0,2,4,16,10,4,4
UBC,2011,W,ENGL,545,A,001,STUDIES CAN LIT,"Rymhs, Deena",11,89.9,3.73,95,82,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
UBC,2011,W,WMST,502,,001,,"Rymhs, Deena",11,88.6,4.06,94,80,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3
UBC,2012,W,ENGL,476,A,001,INDIGENOUS STD,"Rymhs, Deena",39,79.42,8.76,90,41,37,1,1,0,0,0,0,0,0,1,1,0,0,0,1,3,5,6,11,10,1
UBC,2012,W,ENGL,492,D,004,SR HONORS SEMNR2,"Rymhs, Deena",11,82.82,4.67,89,75,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,0
UBC,2012,W,WMST,301,,001,GNDR&INDG CAN,"Rymhs, Deena",32,77.97,7.64,94,63,31,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,6,5,8,4,2
UBC,2012,W,WMST,401,,001,"BDY, GEN, SOC","Rymhs, Deena",24,67.62,26,87,0,17,4,2,0,0,1,1,1,1,0,4,1,0,0,0,1,3,1,6,5,0
UBC,2013,W,ENGL,490,,013,MAJOR SEMINR LIT,"Rymhs, Deena",15,77.73,4.95,84,64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,6,0,0
UBC,2013,W,ENGL,545,A,001,STUDIES CAN LIT,"Rymhs, Deena",13,84.83,3.79,93,81,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1
UBC,2013,W,GRSJ,301,,001,GNDR&INDG CAN,"Rymhs, Deena",36,75.97,10.04,91,41,34,1,1,0,0,0,0,0,0,1,1,1,0,1,1,4,7,6,7,6,1
UBC,2014,W,ENGL,476,K,002,INDIGENOUS LITS,"Rymhs, Deena",42,78.1,8.95,90,46,39,1,2,0,0,0,0,0,0,1,1,0,0,1,2,4,3,9,9,10,1
UBC,2014,W,ENGL,491,C,003,SR HONORS SEMNR1,"Rymhs, Deena",16,85,4.29,91,75,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5,3
UBC,2014,W,GRSJ,224,B,002,GRSJ IN LIT,"Rymhs, Deena",14,74.64,14.47,91,41,12,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,2,4,2,1
UBC,2014,W,GRSJ,301,,001,GNDR&INDG CAN,"Rymhs, Deena",36,76.97,7.09,90,52,34,0,2,0,0,0,0,0,0,0,0,1,0,0,0,6,6,10,6,4,1
UBC,2015,W,ENGL,110,,006,INTRO LITERATURE,"Rymhs, Deena",137,76.68,7.94,92,39,132,2,3,0,0,0,0,0,1,1,2,0,3,1,2,16,27,30,34,17,2
UBC,2015,W,ENGL,545,A,001,STUDIES CAN LIT,"Rymhs, Deena",9,84.22,4.58,91,74,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1
UBC,2016,W,ENGL,231,,001,INDIGENOUS LITS,"Rymhs, Deena",41,75.88,8.57,89,50,40,0,0,1,0,0,0,0,0,0,0,2,1,0,2,4,6,9,11,5,0
UBC,2016,W,ENGL,491,B,002,SR HONORS SEMNR1,"Rymhs, Deena",14,82.64,4.07,88,75,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,0
UBC,2017,W,ENGL,100,,007,"READ, WRITE LIT","Rymhs, Deena",26,77.16,6.37,85,62,25,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,2,4,12,1,0
UBC,2017,W,ENGL,409,K,002,CRITICAL THEORY,"Rymhs, Deena",43,73.38,19.15,91,0,39,3,1,0,0,2,0,0,1,0,3,1,2,1,2,1,2,6,17,5,2
UBC,2017,W,ENGL,470,D,004,CANADIAN STUDIES,"Rymhs, Deena",35,71.18,19.83,89,5,31,3,1,0,0,2,0,0,0,1,3,1,1,0,4,2,1,10,7,5,0
UBC,2017,W,ENGL,545,A,001,STUDIES CAN LIT,"Rymhs, Deena",10,85.3,3.68,91,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1
UBC,2018,W,ENGL,100,,007,"READ, WRITE LIT","Rymhs, Deena",25,70.48,18.95,88,7,23,2,0,0,0,1,0,1,0,0,2,1,0,0,3,4,3,3,7,2,0
UBC,2018,W,ENGL,110,,034,INTRO LITERATURE,"Rymhs, Deena",34,74.73,8.27,86,50,33,0,1,0,0,0,0,0,0,0,0,1,0,1,5,6,4,3,11,2,0
UBC,2018,W,ENGL,476,K,001,INDIGENOUS LITS,"Rymhs, Deena",41,74.36,10.95,92,50,39,0,2,0,0,0,0,0,0,0,0,3,1,2,3,4,6,3,12,4,1
UBC,2018,W,ENGL,492,D,004,SR HONORS SEMNR2,"Rymhs, Deena",11,85.18,3.37,91,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1
