Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2005,W,ASIA,308,,001,MYTH LIT A INDIA,"Sathaye, Adheesh",37,84.26,14.11,99,16,33,1,3,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,9,9,11,,,
UBC,2005,W,ASIA,398,,001,"CLS HND,BUD&JAIN","Sathaye, Adheesh",35,83,14.95,97,23,31,2,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2,2,6,12,9,,,
UBC,2006,W,ASIA,308,,001,MYTH LIT A INDIA,"Sathaye, Adheesh",51,84.61,14.46,100,14,44,2,5,0,0,0,1,0,0,1,2,0,0,0,0,0,3,2,9,14,16,,,
UBC,2006,W,ASIA,369,,001,ASIAN FOLKLORE,"Sathaye, Adheesh",67,80.55,17.44,97,2,59,3,3,1,1,1,1,1,0,0,3,0,0,0,2,2,4,6,15,13,17,,,
UBC,2006,W,SANS,200,,001,INTERMD SANSKRIT,"Sathaye, Adheesh",5,91.25,4.79,95,85,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,,
UBC,2007,W,ASIA,308,,001,MYTH LIT A INDIA,"Sathaye, Adheesh",50,83.6,5.69,94,69,47,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,14,13,9,,,
UBC,2007,W,ASIA,369,,001,ASIAN FOLKLORE,"Sathaye, Adheesh",78,79.44,9.68,96,35,74,1,3,0,0,0,0,0,1,0,1,0,2,1,3,5,5,14,21,16,7,,,
UBC,2007,W,SANS,102,,001,INTRO SANSKRIT,"Sathaye, Adheesh",15,79.38,15.09,92,34,12,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,6,1,,,
UBC,2009,W,ASIA,308,,001,MYTH LIT A INDIA,"Sathaye, Adheesh",49,78.2,16.43,96,0,45,1,1,2,0,1,0,0,0,0,1,0,4,1,1,5,4,4,7,6,13,,,
UBC,2009,W,ASIA,369,,001,ASIAN FOLKLORE,"Sathaye, Adheesh",90,77.4,13.19,97,0,88,1,0,1,0,1,0,0,0,0,1,4,0,4,5,5,11,14,22,14,9,,,
UBC,2009,W,ASIA,398,,001,"CLS HND,BUD&JAIN","Sathaye, Adheesh",23,80.36,15.19,95,31,21,1,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,3,9,5,,,
UBC,2010,W,ASIA,308,,001,MYTH RIT&EPIC,"Sathaye, Adheesh",46,81.48,8.76,96,61,44,0,2,0,0,0,0,0,0,0,0,0,0,2,2,1,5,6,9,12,7,,,
UBC,2010,W,ASIA,369,,001,ASIAN FOLKLORE,"Sathaye, Adheesh",89,76.22,16.29,95,0,83,3,2,0,0,2,0,0,1,0,3,3,2,5,1,7,10,8,16,21,10,,,
UBC,2010,W,ASIA,448,,001,NARR&PERF S ASIA,"Sathaye, Adheesh",7,82,10.33,93,61,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,,,
UBC,2010,W,ASIA,547,,023,NARR&S ASIAN LIT,"Sathaye, Adheesh",6,88.5,2.74,92,84,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,,,
UBC,2010,W,SANS,102,,001,INTRO SANSKRIT,"Sathaye, Adheesh",18,70.69,24.25,97,17,11,2,3,2,0,0,1,1,0,0,2,0,0,0,1,2,1,1,2,3,1,,,
UBC,2012,W,ASIA,308,,001,MYTH RIT&EPIC,"Sathaye, Adheesh",90,74.72,10.73,90,46,85,2,2,0,0,0,0,0,0,2,2,5,2,4,7,8,12,10,20,15,2,,,
UBC,2012,W,ASIA,369,,001,ASIAN FOLKLORE,"Sathaye, Adheesh",115,75.86,10.66,95,48,109,1,2,0,0,0,0,0,0,1,1,3,5,9,8,5,12,23,20,12,12,,,
UBC,2012,W,ASIA,398,,001,NAR LIT PRMD IND,"Sathaye, Adheesh",15,78.6,13.97,91,50,15,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,2,5,3,,,
UBC,2014,W,ASIA,258,,001,RELIGION S ASIA,"Sathaye, Adheesh",38,73.78,11.81,97,50,36,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,3,4,7,2,4,,,
UBC,2014,W,ASIA,308,,001,MYTH RIT&EPIC,"Sathaye, Adheesh",95,71.34,16.72,93,6,85,5,4,0,0,2,1,0,1,1,5,5,5,5,9,10,7,12,14,10,8,,,
UBC,2014,W,ASIA,398,,001,NAR LIT PRMD IND,"Sathaye, Adheesh",22,75.55,17.56,95,22,20,2,0,0,0,0,0,1,0,1,2,1,0,1,0,2,1,2,5,6,2,,,
UBC,2015,W,ASIA,308,,001,MYTH RIT&EPIC,"Sathaye, Adheesh",68,77.25,10.5,95,57,64,0,2,0,0,0,0,0,0,0,0,0,5,3,8,3,7,4,14,13,7,,,
UBC,2015,W,ASIA,360,B,001,SP ASIAN LIT TRN,"Sathaye, Adheesh",31,76.79,13.84,96,44,27,1,3,0,0,0,0,0,0,1,1,1,3,0,2,3,1,1,5,6,5,,,
UBC,2015,W,ASIA,369,,001,ASIAN FOLKLORE,"Sathaye, Adheesh",114,72.84,14.75,92,17,101,7,1,0,0,0,1,2,2,2,7,4,2,8,8,11,10,13,25,17,3,,,
UBC,2015,W,ASIA,398,,001,NAR LIT PRMD IND,"Sathaye, Adheesh",27,72.35,20.61,93,0,23,3,0,0,0,1,0,0,0,2,3,2,0,1,0,3,1,2,7,4,3,,,
UBC,2016,W,ASIA,308,,001,MYTH RIT&EPIC,"Sathaye, Adheesh",57,81.07,11.23,93,41,54,1,1,1,0,0,0,0,0,1,1,3,0,1,1,1,5,5,9,18,11,,,
UBC,2016,W,ASIA,369,,001,ASIAN FOLKLORE,"Sathaye, Adheesh",57,77.35,11.85,98,37,54,1,0,0,0,0,0,0,1,0,1,1,4,1,2,4,7,8,11,9,7,,,
UBC,2016,W,ASIA,395,,001,FLK CLTR ASN DSP,"Sathaye, Adheesh",14,86.57,9.27,97,63,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,7,,,
UBC,2016,W,ASIA,398,,002,NAR LIT PRMD IND,"Sathaye, Adheesh",36,79.6,19.12,98,0,33,2,1,0,0,1,0,0,1,0,2,0,1,0,1,0,6,4,6,4,11,,,
UBC,2017,W,ASIA,308,,001,MYTH RIT&EPIC,"Sathaye, Adheesh",58,81.68,8.81,98,63,57,0,1,0,0,0,0,0,0,0,0,0,0,1,6,2,5,5,11,15,12,,,
UBC,2017,W,ASIA,398,,002,NAR LIT PRMD IND,"Sathaye, Adheesh",32,85.16,12.33,95,25,31,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,5,12,12,,,
UBC,2017,W,ASIA,495,,001,FLK CLTR ASN DSP,"Sathaye, Adheesh",18,87.88,4.76,96,80,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,,,
UBC,2017,W,ASIA,541,A,023,S ASIA ST RESRCH,"Sathaye, Adheesh",7,89.6,4.93,95,86,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,,,
UBCV,2014,W,ASIA,258,,001,Religion in South Asia,Adheesh Sathaye,37,73.97297297,11.70585439,97.0,50.0,,,,,,,,,,,0,1,3,5,3,4,3,4,8,2,4,,,
UBCV,2014,W,ASIA,308,,001,"Myth, Ritual and Epic in Ancient India",Adheesh Sathaye,91,71.06593407,16.8422763,93.0,6.0,,,,,,,,,,,6,5,5,5,9,10,7,12,14,10,8,,,
UBCV,2014,W,ASIA,398,,001,Narrative Literature in Premodern India,Adheesh Sathaye,22,75.54545455,17.55732725,95.0,22.0,,,,,,,,,,,,,,,,,,,5,6,,,,
UBCV,2015,W,ASIA,308,,001,"Myth, Ritual and Epic in Ancient India",Adheesh Sathaye,66,77.0,10.454296136,95.0,57.0,,,,,,,,,,,0,0,5,,9,,8,,14,13,7,,,
