Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,MATH,102,,101,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Elyse Yeager;Eric Cytrynbaum;Kateryna Melnykova;Yuxuan Zhao,215,65.911627907,15.561352939,97.0,2.0,23,26,13,23,19,26,29,8,21,17,10
UBCV,2019,W,MATH,102,,102,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Elyse Yeager;Eric Wen;Kateryna Melnykova;Parham Hamidi,61,63.68852459,15.058265708,94.0,35.0,8,10,12,5,4,2,6,2,4,3,5
UBCV,2019,W,MATH,102,,103,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Elyse Yeager;Isis Ip;Kateryna Melnykova,138,61.217391304,16.386632941,94.0,0.0,22,18,20,17,11,14,10,8,8,7,3
UBCV,2019,W,MATH,102,,104,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Chuxin Xiao;Elyse Yeager;Kateryna Melnykova,108,67.268518519,14.456901131,95.0,11.0,9,8,10,16,5,12,13,14,10,8,3
UBCV,2019,W,MATH,102,,105,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Brian Freidin;Elyse Yeager;Kateryna Melnykova;Kittipod Pungcharoenkul,51,58.725490196,18.557023933,92.0,16.0,11,11,6,4,1,4,2,4,5,1,2
UBCV,2019,W,MATH,102,,106,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Elyse Yeager;Jun Wang;Kateryna Melnykova;Stephanie Wu,86,68.418604651,15.342723983,95.0,29.0,8,8,7,6,7,13,10,4,8,8,7
UBCV,2019,W,MATH,102,,107,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Elyse Yeager;Hye Won Yang;Kateryna Melnykova;Keegan Boyle,66,56.287878788,18.010907081,95.0,9.0,21,13,5,0,3,9,6,1,4,3,1
UBCV,2019,W,MATH,102,,108,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Elisabeth Rens;Elyse Yeager;Kateryna Melnykova;Ruoyu Zheng,85,65.0,17.533641134,94.0,0.0,10,10,6,8,5,14,11,3,9,4,5
UBCV,2019,W,MATH,102,,110,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Christoph Hauert;Elyse Yeager;Jinxian Yu;Kateryna Melnykova;William Thompson,128,68.1015625,16.944950166,98.0,24.0,17,13,6,6,5,19,16,10,15,9,12
UBCV,2019,W,MATH,102,,111,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Andreas Buttenschoen;Athena Mckown;Elyse Yeager;Kateryna Melnykova;Kian Soares Da Costa;Maria Tomaselli Crespo,42,57.619047619,18.831670756,93.0,0.0,9,6,6,4,4,4,4,0,3,1,1
UBCV,2019,W,MATH,102,,112,Differential Calculus with Applications to Life Sciences,Alejandra Herrera Reyes;Ananya Saraph;Elyse Yeager;Eric Cytrynbaum;Kateryna Melnykova;Shukan Yang,34,67.470588235,13.560717095,91.0,34.0,3,3,1,6,3,4,6,2,1,3,2
