Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2021,W,CENS,303,B,001,Representations of the Holocaust (in English),Ania Switzer,58,83.6,99.0,67.0,,,,,,,,16,12,,19,82.0,90.0,78.0
UBCV,2021,W,SLAV,307,A,001,Literature and Film in Eastern Europe,Ania Switzer,35,82.5,95.0,60.0,,,,,,,,,6,,13,82.0,90.0,75.0
UBCV,2022,S,CENS,303,B,921,Representations of the Holocaust (in English),Ania Switzer,36,84.1,98.0,71.0,0,0,0,0,0,1,6,6,7,3,13,83.0,90.0,77.8
UBCV,2022,W,CENS,303,B,001,Representations of the Holocaust (in English),Ania Switzer,53,84.3,95.0,60.0,0,0,0,1,0,0,5,7,13,12,15,85.0,90.0,80.0
UBCV,2022,W,HIST,490,C,101,Seminar for Majors in History,Ania Switzer,14,77.2,90.0,52.0,0,1,1,1,0,0,0,3,5,1,2,81.5,83.8,77.3
UBCV,2022,W,POLS,426,,001,The German Nazi Holocaust in Polish Literature and Film (in English),Ania Switzer,22,79.5,95.0,72.0,0,0,0,0,0,0,6,9,3,1,3,77.5,80.0,75.3
UBCV,2022,W,SLAV,307,A,001,Literature and Film in Eastern Europe,Ania Switzer,47,80.9,95.0,0.0,1,0,0,0,0,1,7,7,15,7,9,82.0,87.0,78.0
UBCV,2023,S,CENS,303,B,923,Representations of the Holocaust (in English),Ania Switzer,70,79.19,92.0,60.0,0,0,0,1,1,2,11,26,15,10,3,79.0,81.0,76.0
UBCV,2023,W,POLS,101,,101,Learning Polish: Foundations I,Ania Switzer,14,90.58,100.0,72.0,0,0,0,0,0,0,1,1,0,2,8,94.0,96.0,87.75
UBCV,2023,W,POLS,102,,201,Learning Polish: Foundations II,Ania Switzer,9,95.22,100.0,88.0,0,0,0,0,0,0,0,0,0,1,8,95.0,100.0,92.0
UBCV,2023,W,POLS,426,,201,The German Nazi Holocaust in Polish Literature and Film (in English),Ania Switzer,20,86.6,98.0,70.0,0,0,0,0,0,2,1,2,1,6,8,88.0,93.25,81.0
UBCV,2023,W,SLAV,307,A,101,Literature and Film in Eastern Europe,Ania Switzer,67,79.41,94.0,0.0,1,0,0,0,0,3,10,11,29,6,6,80.0,83.0,78.0
