Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,ANTH,100,A,002,Introduction to Cultural Anthropology,Christopher Smith;Danielle Gendron;Danielle Renee Gendron;Kendra Jewell;Paula Dorothy Pryce;Paula Pryce;Sara Shneiderman,89,69.808988764,15.290279447,88.0,0.0,4,6,2,7,2,16,16,14,14,8,0
UBCV,2017,W,ANTH,100,A,003,Introduction to Cultural Anthropology,Christopher Smith;Maia Wikler;Steffan Gordon;Sultan Ahmed;Wade Davis;Xueping Zeng;Yujie Ji,326,80.687116564,10.46725089,100.0,25.0,5,2,5,5,10,15,43,38,76,68,59
UBCV,2018,S,ANTH,100,,922,Introduction to Cultural Anthropology,Christopher Smith;Jennifer Kramer;Paula Dorothy Pryce,39,73.846153846,9.922166735,87.0,50.0,0,3,1,2,3,3,8,6,7,6,0
UBCV,2018,W,ANTH,220,,001,First Nations of British Columbia,Charles Menzies;Christopher Smith,102,87.049019608,8.976732797,98.0,37.0,2,0,0,0,1,1,2,4,15,31,46
UBCV,2018,W,ANTH,378,,002,Anthropology of Media,Christopher Smith;David C Ryniker;David Ryniker;Sabina Magliocco,41,74.682926829,9.487989841,88.0,55.0,0,0,3,1,8,4,2,5,13,5,0
UBCV,2019,S,ANTH,227,,921,Introduction to Medical Anthropology,Christopher Smith;Daniel Manson;Vinay Ramnath Kamat,46,72.782608696,14.511165117,93.0,0.0,1,2,2,2,4,3,9,11,6,3,3
UBCV,2019,W,ANTH,100,A,002,Introduction to Cultural Anthropology,Ana Vivaldi Pasqua;Christopher Smith;Emily Leischner;Jennifer Kramer,76,72.592105263,11.313917838,88.0,23.0,2,2,1,4,8,13,13,14,9,10,0
UBCV,2019,W,ANTH,431,C,100,Museum Practice and Curatorship,Christopher Smith;Jennifer Kramer;Susan Rowley,14,82.0,9.615692303,93.0,52.0,0,1,0,0,0,0,0,1,6,4,2
UBCV,2020,W,ANTH,210,,002,Eating Culture,Caitlin Gordon-Walker;Christopher Smith;Inbar Av-Shalom;Patrick Moore;Sarah Raven,90,71.366666667,15.912294731,90.0,0.0,6,0,2,4,8,8,21,19,17,4,1
UBCV,2020,W,ANTH,378,,001,Anthropology of Media,Amirpouyan Shiva;Christopher Smith,92,72.989130435,12.4622459,90.0,3.0,2,3,6,5,6,11,11,19,18,8,3
UBCV,2021,S,ANTH,100,,922,Introduction to Cultural Anthropology,Charles Menzies;Christopher Smith;David Ryniker;Leigh Elizabeth Doyle,97,71.773195876,10.528240945,90.0,33.0,2,3,6,10,8,12,19,14,15,6,2
UBCV,2021,W,ANTH,210,,001,Eating Culture,Caitlin Gordon-Walker;Christopher Smith;Gabriel Lee;Huabin Zhou;Tracey Heatherington,132,73.462121212,11.24019865,88.0,1.0,3,1,7,4,10,15,28,26,28,10,0
UBCV,2021,W,ANTH,315,,002,Japanese Culture and Society,Christopher Smith;Millie Creighton;Simon Nantais,48,72.791666667,14.445728712,89.0,0.0,2,1,0,3,2,8,7,13,6,6,0
