Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,ANAT,527,,001,MUSCLE BIOPHYSCS,"Bressler, Bernard;Seow, Chun Yong",6,94.67,1.75,97,92,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,
UBC,2003,W,ANAT,527,,001,MUSCLE BIOPHYSCS,"Bressler, Bernard;Seow, Chun Yong",7,93,3.37,98,89,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,,,
UBC,2005,W,ANAT,527,,001,MUSCLE BIOPHYSCS,"Bressler, Bernard;Seow, Chun Yong",6,92.83,2.79,96,89,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,,
UBC,2010,W,PATH,301,,001,BIOCHEM MED LAB,"Coulter-Mackie, Marion;Keller, Bernd;Kizhakkedathu, Jayachandran;Seow, Chun Yong;Young, Sean",19,78.42,7.37,91,63,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,3,4,2,2,,,
UBC,2011,W,PATH,301,,001,BIOCHEM MED LAB,"Coulter-Mackie, Marion;Keller, Bernd;Kizhakkedathu, Jayachandran;Seow, Chun Yong",16,81.81,6.15,89,68,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,6,0,,,
UBC,2012,W,PATH,301,,001,BIOCHEM MED LAB,"Coulter-Mackie, Marion;Keller, Bernd;Kizhakkedathu, Jayachandran;Seow, Chun Yong",24,80.58,6.44,90,61,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,9,5,1,,,
UBC,2013,W,PATH,301,,001,BIOCHEM MED LAB,"Keller, Bernd;Kizhakkedathu, Jayachandran;Seow, Chun Yong;Young, Sean;Zaph, Colby",24,80.79,8.81,94,62,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,7,4,4,,,
UBC,2014,W,PATH,438,E,005,MED LAB - DST,"Seow, Chun Yong",14,91.29,3,96,85,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,,,
UBC,2015,W,PATH,438,E,005,MED LAB - DST,"Seow, Chun Yong",7,89.86,5.21,97,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,,,
UBC,2016,W,PATH,438,E,005,MED LAB - DST,"Seow, Chun Yong",11,93.55,3.42,99,87,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,,,
UBC,2017,W,PATH,438,E,005,MED LAB - DST,"Seow, Chun Yong",5,96,2.24,99,93,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,
UBC,2018,W,PATH,438,E,005,MED LAB - DST,"Seow, Chun Yong",5,94.2,3.77,98,88,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,,
UBCV,2014,W,PATH,301,,001,Basic and Physical Biochemistry for Medical Laboratory Scientists,Bernd Keller;Chun Yong Seow;Graham Sinclair;Hermann Ziltener;Jayachandran Kizhakkedathu;Sean Young,21,76.85714286,9.188502132,89.0,59.0,,,,,,,,,,,0,0,,,,,,8,,,0,,,
UBCV,2014,W,PATH,438,E,005,Medical Laboratory Science: Directed Studies,Chun Yong Seow,14,91.28571429,2.998167939,96.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,10,,,
UBCV,2015,W,PATH,301,,001,Basic and Physical Biochemistry for Medical Laboratory Scientists,Amanda Bradley;Chun Yong Seow;Hermann Ziltener;Jayachandran Kizhakkedathu;Sean Young,22,76.454545455,7.10283158,90.0,64.0,,,,,,,,,,,0,0,0,0,,,6,,6,,,,,
UBCV,2015,W,PATH,438,E,005,Medical Laboratory Science: Directed Studies,Chun Yong Seow,7,89.857142857,5.209880723,97.0,82.0,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,
UBCV,2016,W,PATH,301,,001,Basic and Physical Biochemistry for Medical Laboratory Scientists,Chun Yong Seow;Hermann Ziltener;Jayachandran Kizhakkedathu;Philipp Lange;Sean Young,15,76.46666667,12.90551746,90.0,46.0,,,,,,,,,,,1,0,1,0,2,0,1,2,3,4,1,,,
UBCV,2016,W,PATH,438,E,005,Medical Laboratory Science: Directed Studies,Chun Yong Seow,11,93.54545455,3.416537322,99.0,87.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,10,,,
UBCV,2017,W,PATH,301,,001,Basic and Physical Biochemistry for Medical Laboratory Scientists,Bojana Rakic;Chun Yong Seow;Jayachandran Kizhakkedathu;Philipp Lange;Ramesh Saeedi;Sean Young,12,76.166666667,10.486643742,90.0,54.0,,,,,,,,,,,0,1,0,0,1,3,1,1,1,3,1,,,
UBCV,2018,W,PATH,301,,001,Basic and Physical Biochemistry for Medical Laboratory Scientists,Bojana Rakic;Chun Yong Seow;Jayachandran Kizhakkedathu;Jenny Tai;Juliana Li;Ka On Tai;Philipp Lange;Ramesh Saeedi;Sean Young,24,82.875,7.267033962,93.0,63.0,,,,,,,,,,,0,0,0,1,0,0,3,4,4,9,3,,,
UBCV,2019,W,PATH,301,,001,Basic and Physical Biochemistry for Medical Laboratory Scientists,Bojana Rakic;Bradley Coe;Chun Yong Seow;Jayachandran Kizhakkedathu;Jenny Tai;Juliana Li;Ka On Tai;Kendall Greening;Philipp Lange;Ramesh Saeedi;Sean Young,21,80.80952381,7.243059075,94.0,70.0,,,,,,,,,,,0,0,0,0,0,2,4,3,4,6,2,,,
UBCV,2019,W,PATH,438,E,005,Medical Laboratory Science: Directed Studies,Chun Yong Seow,13,95.692307692,3.70550526,100.0,87.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,12,,,
UBCV,2020,W,PATH,301,,001,Basic and Physical Biochemistry for Medical Laboratory Scientists,Amanda Bradley;Bojana Rakic;Bradley Coe;Chun Yong Seow;Jayachandran Kizhakkedathu;Jenny Tai;Juliana Li;Ka On Tai;Philipp Lange;Ramesh Saeedi,22,81.409090909,8.35896491,94.0,61.0,,,,,,,,,,,0,0,0,1,1,2,0,2,7,7,2,,,
UBCV,2021,W,PATH,301,,001,Basic and Physical Biochemistry for Medical Laboratory Scientists,Amanda Bradley;Bojana Rakic;Bradley Coe;Chun Yong Seow;Jayachandran Kizhakkedathu;Jennifer Xenakis;Jenny Tai;Joshua Dubland;Juliana Li;Ka On Tai;Lauren Forgrave;Philipp Lange;Ramesh Saeedi;William Yip,23,82.608695652,7.426850124,94.0,64.0,,,,,,,,,,,0,0,0,0,2,0,2,2,6,8,3,,,
UBCV,2021,W,PATH,438,E,005,Medical Laboratory Science: Directed Studies,Chun Yong Seow;Sukhbir Kaur,14,91.928571429,4.287087692,98.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,9,,,
