Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,PSYC,314,,99C,Health Psychology,Anita De Longis;Ellen Stephenson,99,71.18181818,10.98084012,91.0,9.0,,,8,7,9,24,19,8,12,7,
UBCV,2015,S,PSYC,314,,98A,Health Psychology,Anita De Longis;Ellen Stephenson,92,69.54347826,14.0269858,93.0,1.0,4,7,5,13,10,11,7,18,7,9,2
UBCV,2015,W,PSYC,314,,99A,Health Psychology,Anita De Longis;Ellen Stephenson,94,70.191489362,9.82675369,86.0,34.0,2,6,2,7,12,19,20,14,6,6,0
UBCV,2015,W,PSYC,314,,99C,Health Psychology,Anita De Longis;Ellen Stephenson,103,67.368932039,16.317914065,96.0,0.0,8,,9,9,14,16,16,8,13,4,
UBCV,2016,S,PSYC,314,,98A,Health Psychology,Anita De Longis;Ellen Stephenson,92,67.42391304,15.6726357,97.0,0.0,7,5,4,12,12,14,15,10,5,4,4
UBCV,2016,W,PSYC,314,,99A,Health Psychology,Anita De Longis;Ellen Stephenson,101,69.78217822,11.60913775,89.0,32.0,3,6,8,8,15,12,17,10,16,6,0
UBCV,2016,W,PSYC,314,,99C,Health Psychology,Anita De Longis;Ellen Stephenson,103,67.27184466,15.06534406,93.0,0.0,3,8,8,16,8,21,12,5,13,6,3
UBCV,2017,S,PSYC,314,,98A,Health Psychology,Anita De Longis;Anita Delongis;Ellen Stephenson,101,71.455445545,19.957717681,99.0,0.0,6,2,7,8,6,9,11,9,24,12,7
UBCV,2017,W,PSYC,314,,99A,Health Psychology,Anita De Longis;Anita Delongis;Ellen Stephenson,107,73.85046729,14.123313884,98.0,3.0,6,2,5,6,5,11,12,22,18,11,9
UBCV,2017,W,PSYC,314,,99C,Health Psychology,Anita De Longis;Anita Delongis;Ellen Stephenson,97,72.742268041,19.509227705,97.0,0.0,7,2,5,3,4,10,11,15,16,15,9
UBCV,2018,S,PSYC,314,,98A,Health Psychology,Anita De Longis;Anita Delongis;Ellen Stephenson,99,72.555555556,16.707093826,99.0,0.0,5,2,5,7,6,8,19,9,19,13,6
