Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,MUSC,300,,001,CMP&ANL AP P TON,"BOYLE, ANTARES LEAH;Sawatzky, Grant",61,72,14.85,98,37,54,3,1,2,1,0,0,0,1,2,3,4,6,7,4,2,2,7,9,6,7
UBC,2017,W,MUSC,106,,002,AURAL SKILLS II,"BOYLE, ANTARES LEAH;Paslawski, Gordon;Sawatzky, Grant",50,79.29,19.33,98,2,45,3,2,0,0,2,0,0,1,0,3,0,0,0,1,5,2,3,9,15,10
UBC,2017,W,MUSC,206,,002,AURAL SKILLS IV,"BOYLE, ANTARES LEAH;Paslawski, Gordon;Sawatzky, Grant",36,81.13,17.77,100,11,31,1,2,0,2,0,1,0,0,0,1,0,1,2,1,3,2,2,4,4,12
UBC,2017,W,MUSC,300,,001,CMP&ANL AP P TON,"BOYLE, ANTARES LEAH;Sawatzky, Grant",62,76.44,13.88,98,50,59,0,1,1,1,0,0,0,0,0,0,5,3,3,4,9,4,6,5,5,15
UBC,2018,W,MUSC,201,,001,MUSICAL FORMS,"Sawatzky, Grant",63,81.31,10.2,95,50,61,0,0,1,1,0,0,0,0,0,0,2,0,3,4,1,1,7,15,19,9
UBC,2018,W,MUSC,300,,001,CMP&ANL AP P TON,"Sawatzky, Grant",62,75.82,13.5,98,39,59,1,1,1,0,0,0,0,1,0,1,6,1,2,5,5,6,7,6,14,7
UBCV,2015,W,MUSC,201,,001,Musical Forms,David Dodson;Grant Sawatzky,56,72.839285714,11.518801683,92.0,39.0,,,,,,,,,,,,,,5,6,5,11,,15,5,
UBCV,2016,W,MUSC,200,,001,Chromatic Harmony and Voice Leading,Eve Poudrier;Grant Sawatzky,54,78.59259259,14.45294058,98.0,38.0,,,,,,,,,,,3,2,2,1,4,0,4,6,8,13,11
UBCV,2016,W,MUSC,201,,001,Musical Forms,David Dodson;Grant Sawatzky,48,74.79166667,13.38617631,94.0,43.0,,,,,,,,,,,2,2,3,2,4,5,5,2,9,8,6
UBCV,2016,W,MUSC,300,,001,Compositional and Analytical Approaches to Post-Tonal Music,Antares Boyle;Antares Leah Boyle;Grant Sawatzky,58,71.62068966,15.00155265,98.0,37.0,,,,,,,,,,,3,5,6,7,4,2,2,7,9,6,7
UBCV,2017,W,MUSC,106,,002,Aural Skills II,Antares Boyle;Antares Leah Boyle;Gordon P Paslawski;Gordon Paslawski;Grant Sawatzky;Walker Raymond Williams;Walker Williams,48,79.291666667,19.332431503,98.0,2.0,,,,,,,,,,,3,0,0,0,1,5,2,3,9,15,10
UBCV,2017,W,MUSC,206,,002,Aural Skills IV,Antares Boyle;Antares Leah Boyle;Gordon P Paslawski;Gordon Paslawski;Grant Sawatzky,34,78.529411765,20.289175042,100.0,11.0,,,,,,,,,,,3,0,1,2,1,3,2,2,4,4,12
UBCV,2017,W,MUSC,300,,001,Compositional and Analytical Approaches to Post-Tonal Music,Antares Leah Boyle;Grant Sawatzky,60,75.916666667,14.34713893,98.0,45.0,,,,,,,,,,,1,5,3,3,4,9,4,6,5,5,15
UBCV,2018,W,MUSC,201,,001,Musical Forms,David Dodson;Grant Sawatzky;Hei Yeung Lai,62,80.758064516,11.018145219,95.0,47.0,,,,,,,,,,,1,2,0,3,4,1,1,7,15,19,9
UBCV,2018,W,MUSC,300,,001,Compositional and Analytical Approaches to Post-Tonal Music,Grant Sawatzky;Ivan Salazar Gonzalez,60,75.816666667,13.498890936,98.0,39.0,,,,,,,,,,,1,6,1,2,5,5,6,7,6,14,7
UBCV,2019,W,MUSC,300,,001,Compositional and Analytical Approaches to Post-Tonal Music,Grant Sawatzky;Hei Yeung Lai,57,77.333333333,10.740998446,96.0,50.0,,,,,,,,,,,0,2,2,3,5,4,2,12,9,14,4
UBCV,2019,W,MUSC,300,,002,Compositional and Analytical Approaches to Post-Tonal Music,Grant Sawatzky;Hei Yeung Lai,77,80.12987013,12.859924131,98.0,35.0,,,,,,,,,,,1,5,0,2,5,4,6,6,13,15,20
UBCV,2021,W,MUSC,300,,001,Compositional and Analytical Approaches to Post-Tonal Music,Gabriella Vici;Grant Sawatzky,78,84.705128205,11.873914413,100.0,41.0,,,,,,,,,,,1,1,2,2,2,2,5,6,8,13,36
