Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2018,W,ELEC,415,,201,SEMICONDUCT DEVI,"Salfi, Joseph",22,75.43,9.95,86,52,21,0,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,5,5,0,,,
UBCV,2018,W,ELEC,415,,201,"Semiconductor Devices: Physics, Design and Analysis",Gabriel Rebello Guerreiro;Joseph Salfi,21,75.428571429,9.952745493,86.0,52.0,,,,,,,,,,,0,1,0,2,2,2,2,2,5,5,0,,,
UBCV,2019,W,EECE,571,S,102,Electrical Engineering Seminar and Special Problems,Joseph Salfi,13,82.0,9.991663192,97.0,60.0,,,,,,,,,,,0,0,0,1,0,0,2,1,5,1,3,,,
UBCV,2019,W,ELEC,415,,201,"Semiconductor Devices: Physics, Design and Analysis",Joseph Salfi;Karim Elkholy,13,74.307692308,11.033166782,90.0,44.0,,,,,,,,,,,1,0,0,0,0,3,2,3,2,1,1,,,
UBCV,2020,W,EECE,571,S,102,Electrical Engineering Seminar and Special Problems,Fatemeh Aghaee Rad;Joseph Salfi,26,85.846153846,6.472664414,96.0,73.0,,,,,,,,,,,0,0,0,0,0,0,2,2,6,9,7,,,
UBCV,2020,W,ELEC,415,,201,"Semiconductor Devices: Physics, Design and Analysis",Joseph Salfi;Zahra Shahriari,23,79.869565217,9.425807647,93.0,61.0,,,,,,,,,,,0,0,0,1,2,0,5,2,3,5,5,,,
UBCV,2021,W,EECE,571,S,102,Electrical Engineering Seminar and Special Problems,Antonia Ciocoiu;Joseph Salfi,15,89.8,7.213083351,100.0,70.0,,,,,,,,,,,0,0,0,0,0,1,0,0,2,2,10,,,
UBCV,2021,W,EECE,571,U,109,Electrical Engineering Seminar and Special Problems,Joseph Salfi,9,87.222222222,5.214829282,94.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,3,4,2,,,
UBCV,2021,W,ELEC,415,,201,"Semiconductor Devices: Physics, Design and Analysis",Antonia Ciocoiu;Joseph Salfi;Sina Azizmohseni,23,76.260869565,9.836007095,94.0,61.0,,,,,,,,,,,0,0,0,3,0,7,3,1,2,5,2,,,
UBCV,2021,W,EECE,571,S,102,Electrical Engineering Seminar and Special Problems,Joseph Salfi,15,89.8,,100.0,70.0,,,,,,,,,,,,,,,,,,,,,10,92.0,94.0,89.0
UBCV,2021,W,EECE,571,U,109,Electrical Engineering Seminar and Special Problems,Joseph Salfi,9,87.2,,94.0,81.0,,,,,,,,,,,,,,,,,,,,,,89.0,89.0,81.0
UBCV,2021,W,ELEC,415,,201,"Semiconductor Devices: Physics, Design and Analysis",Joseph Salfi,23,76.3,,94.0,61.0,,,,,,,,,,,,,,,,7,,,,,,73.0,86.5,69.5
UBCV,2022,W,EECE,571,S,102,Electrical Engineering Seminar and Special Problems,Joseph Salfi,12,83.8,,91.0,72.0,,,,,,,,,,,0,0,0,0,0,0,2,0,3,3,4,85.0,90.3,80.0
UBCV,2022,W,ELEC,415,,201,"Semiconductor Devices: Physics, Design and Analysis",Joseph Salfi,13,73.1,,88.0,60.0,,,,,,,,,,,0,0,0,2,3,1,1,1,3,2,0,72.0,80.0,65.0
UBCV,2023,W,CPEN,514,,109,Quantum Information and Computation,Joseph Salfi,22,87.06,,98.0,70.0,,,,,,,,,,,0,0,0,0,0,1,1,0,3,4,9,89.5,92.0,84.25
UBCV,2023,W,ELEC,204,,101,Linear Circuits,Shahriar Mirabbasi;Joseph Salfi,117,92.9,,100.0,43.0,,,,,,,,,,,1,0,0,2,2,0,2,3,5,10,91,96.0,99.0,91.0
UBCV,2023,W,ELEC,415,,201,"Semiconductor Devices: Physics, Design and Analysis",Joseph Salfi,30,78.4,,92.0,61.0,,,,,,,,,,,0,0,0,2,1,4,3,5,4,6,4,78.0,85.0,72.0
