Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2020,W,ASTU,101,,P01,Writing for Research in the Social Sciences and the Humanities,Anne Stewart;Krista Mary Smith Sigurdson;Krista Sigurdson;Love Mbakadi,25,79.96,6.241527591,88.0,63.0,0,0,0,1,1,1,0,6,10,6,0,,,
UBCV,2020,W,ASTU,101,,P02,Writing for Research in the Social Sciences and the Humanities,Evan Mauro;Krista Mary Smith Sigurdson;Krista Sigurdson;Love Mbakadi,25,78.36,5.794250023,86.0,62.0,0,0,0,1,1,2,3,2,14,2,0,,,
UBCV,2020,W,WRDS,150,A,313,Writing and Research in the Disciplines,Kevin Chan;Krista Sigurdson,25,77.2,8.149642119,87.0,62.0,0,0,0,2,3,1,1,6,6,6,0,,,
UBCV,2020,W,WRDS,150,B,835,Writing and Research in the Disciplines,Kevin Chan;Krista Sigurdson,27,72.037037037,15.890203759,87.0,0.0,1,0,0,2,2,3,4,8,5,2,0,,,
UBCV,2021,W,WRDS,150,A,401,Writing and Research in the Disciplines,Claire Sutherland;Krista Sigurdson,26,77.153846154,9.556954777,91.0,44.0,1,0,0,1,1,1,2,10,5,4,1,,,
UBCV,2021,W,WRDS,150,A,421,Writing and Research in the Disciplines,Claire Sutherland;Krista Sigurdson,29,76.448275862,11.882118038,90.0,46.0,2,1,0,1,1,1,4,3,8,6,2,,,
UBCV,2021,W,WRDS,150,B,712,Writing and Research in the Disciplines,Krista Sigurdson,29,80.586206897,9.868844343,90.0,44.0,1,0,0,1,1,1,1,2,12,8,2,,,
UBCV,2021,W,WRDS,150,B,723,Writing and Research in the Disciplines,Krista Sigurdson,29,83.827586207,5.11349032,92.0,74.0,0,0,0,0,0,0,2,5,5,16,1,,,
UBCV,2021,W,WRDS,150,A,401,Writing and Research in the Disciplines,Krista Sigurdson,27,75.0,,89.0,41.0,,,,,,,11,,,,,75.0,80.0,73.5
UBCV,2021,W,WRDS,150,A,421,Writing and Research in the Disciplines,Krista Sigurdson,30,74.3,,88.0,46.0,,,,,,,,8,,,,77.5,82.3,70.5
UBCV,2021,W,WRDS,150,B,723,Writing and Research in the Disciplines,Krista Sigurdson,29,83.8,,92.0,74.0,,,,,,,,,,16,,85.0,88.0,80.0
UBCV,2022,S,WRDS,150,A,007,Writing and Research in the Disciplines,Krista Sigurdson,29,71.0,,90.0,24.0,1,1,1,3,2,5,4,8,0,3,1,74.0,78.0,67.0
UBCV,2022,S,WRDS,150,B,500,Writing and Research in the Disciplines,Krista Sigurdson,28,80.8,,90.0,66.0,0,0,0,0,1,1,3,4,11,6,2,82.0,85.0,76.0
UBCV,2022,W,WRDS,150,A,442,Writing and Research in the Disciplines,Krista Sigurdson,30,73.6,,86.0,41.0,1,0,0,0,4,6,6,6,5,2,0,74.0,79.0,69.3
UBCV,2023,S,WRDS,150,B,510,Writing and Research in the Disciplines,Krista Sigurdson,30,78.4,,91.0,62.0,0,0,0,1,0,3,7,5,8,2,3,79.0,82.0,73.0
UBCV,2023,W,WRDS,150,B,631,Writing and Research in the Disciplines,Krista Sigurdson,32,83.5,,92.0,75.0,0,0,0,0,0,0,1,4,13,9,4,84.0,87.0,80.0
UBCV,2023,W,WRDS,150,B,652,Writing and Research in the Disciplines,Krista Sigurdson,32,76.9,,89.0,27.0,1,0,0,4,0,1,3,6,8,9,0,80.0,86.0,74.5
UBCV,2023,W,WRDS,150,B,661,Writing and Research in the Disciplines,Krista Sigurdson,31,74.3,,93.0,4.0,3,0,0,1,0,4,3,4,5,10,1,81.0,86.5,72.5
UBCV,2023,W,WRDS,150,B,923,Writing and Research in the Disciplines,Krista Sigurdson,30,74.9,,88.0,0.0,1,0,0,1,0,4,6,6,7,5,0,77.5,81.5,74.0
