Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,CRWR,406,,002,DRAMA SCREEN&TV,"Svendsen, Linda",5,87.2,6.69,93,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,,,
UBC,2002,W,CRWR,409,,003,WRITE SHORT STRY,"Svendsen, Linda",5,90.2,4.55,95,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,,,
UBC,2002,W,CRWR,409,,004,WRITE SHORT STRY,"Svendsen, Linda",12,91.17,3.79,95,85,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,,,
UBC,2002,W,CRWR,497,,003,FICTION TUTORIAL,"Svendsen, Linda",6,88.5,6.53,95,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,,,
UBC,2002,W,CRWR,506,,002,ADV DRAM SCRN&TV,"Svendsen, Linda",6,84.83,6.18,95,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,,,
UBC,2003,W,CRWR,406,,001,DRAMA SCREEN&TV,"Svendsen, Linda",5,90.8,1.1,92,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,
UBC,2003,W,CRWR,409,,003,WRITE SHORT STRY,"Svendsen, Linda",11,92.2,1.23,95,90,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,
UBC,2003,W,CRWR,494,,001,DRAM SCREEN & TV,"Svendsen, Linda",4,91.25,7.5,95,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,,
UBC,2005,W,CRWR,549,,005,THESIS,"Cadell, Meryn;Maillard, Keith;Svendsen, Linda;Tregebov, Rhea;Wade, Bryan",9,95.33,1.15,96,94,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,
UBC,2007,W,CRWR,409,,003,WRITE SHORT STRY,"Maillard, Keith;Svendsen, Linda;TBA",10,89.5,2,92,87,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,
UBC,2007,W,CRWR,506,,002,ADV DRAM SCRN&TV,"Svendsen, Linda",9,92.44,1.74,95,90,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,
UBC,2009,S,CRWR,549,,921,THESIS,"Svendsen, Linda",4,95,2.65,97,92,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,
UBC,2009,W,CRWR,403,A,001,WRIT CHILDRN I,"De Vries, Margaret;Svendsen, Linda",16,78.94,7.78,90,65,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,1,3,2,,,
UBC,2009,W,CRWR,409,,003,WRITING FICTION,"Lyon, Annabel;Svendsen, Linda",18,89,2.62,95,85,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,,,
UBC,2009,W,CRWR,439,H,001,SPECIAL PROJECTS,"Svendsen, Linda",16,88.2,3.47,92,82,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,9,,,
UBC,2009,W,CRWR,503,,001,ADV WRIT CHILD I,"De Vries, Margaret;Galloway, Steve;Svendsen, Linda",15,90.53,4.9,95,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,12,,,
UBC,2010,S,CRWR,549,,921,THESIS,"Svendsen, Linda",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
