Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2020,W,GRSJ,101,,002,Introduction to Social Justice,Cayley Burton;Cayley Nicole Burton;Minelle Mahtani;Rosanne Sia,73,84.821917808,12.983261089,98.0,27.0,2,1,0,1,2,1,3,5,10,21,27,,,
UBCV,2020,W,GRSJ,102,,002,Global Issues in Social Justice,Jessi Taylor;Johnson Adeerya;Leila Harris;Rosanne Sia,72,86.013888889,14.691660042,99.0,8.0,2,1,0,0,4,1,0,3,13,9,39,,,
UBCV,2020,W,GRSJ,300,,99C,Intersectional Approaches to Thinking Gender,A.J. Lowik;David Ng;Rosanne Sia,74,85.432432432,6.975654496,98.0,66.0,0,0,0,0,1,2,4,7,16,24,20,,,
UBCV,2020,W,GRSJ,316,,101,Queer and Trans of Colour Theorizing,John Paul Catungal;Rosanne Sia,35,84.342857143,16.84521726,96.0,0.0,1,0,1,1,0,0,1,1,4,8,18,,,
UBCV,2020,W,GRSJ,325,,001,Anti-colonial and Feminist Qualitative Methodologies,Pilar Riano-Alcala;Rosanne Sia,43,84.23255814,14.971142415,98.0,0.0,1,0,0,0,1,0,2,3,11,12,13,,,
UBCV,2021,W,GRSJ,101,,002,Introduction to Social Justice,Rosanne Sia;Zoe Brimacombe,74,83.594594595,13.824654291,99.0,6.0,1,0,1,2,6,3,3,3,8,18,29,,,
UBCV,2021,W,GRSJ,102,,002,Global Issues in Social Justice,Evangelia Chatzivasileiou;John Paul Catungal;Rosanne Sia;Viisha Souza,59,69.355932203,18.535857804,98.0,5.0,7,2,7,4,3,8,4,4,7,5,8,,,
UBCV,2021,W,GRSJ,300,,99C,Intersectional Approaches to Thinking Gender,Maj Jensen;Rosanne Sia,70,81.7,15.043270921,97.0,0.0,2,0,1,1,2,2,0,14,13,16,19,,,
UBCV,2021,W,GRSJ,316,,101,Queer and Trans of Colour Theorizing,Rosanne Sia,33,83.272727273,7.946196918,95.0,60.0,0,0,0,1,1,1,1,4,6,12,7,,,
UBCV,2021,W,GRSJ,325,,001,Anti-colonial and Feminist Qualitative Methodologies,Rosanne Sia,43,82.441860465,18.537352672,95.0,0.0,2,0,1,0,1,1,1,1,10,9,17,,,
UBCV,2021,W,GRSJ,101,,002,Introduction to Social Justice,Rosanne Sia,74,83.6,,99.0,6.0,,,,,6,,,,8,18,29,87.5,92.8,78.5
UBCV,2021,W,GRSJ,300,,99C,Intersectional Approaches to Thinking Gender,Rosanne Sia,70,81.7,,97.0,0.0,,,,,,,,14,13,16,19,84.5,90.0,78.3
UBCV,2021,W,GRSJ,316,,101,Queer and Trans of Colour Theorizing,Rosanne Sia,33,83.3,,95.0,60.0,,,,,,,,,6,12,7,85.0,88.0,81.0
UBCV,2021,W,GRSJ,325,,001,Anti-colonial and Feminist Qualitative Methodologies,Rosanne Sia,42,84.4,,95.0,17.0,,,,,,,,,10,9,17,88.0,92.0,82.0
UBCV,2022,W,CSIS,500,C,201,Critical Studies in Sexuality: Multi-disciplinary Approaches,Rosanne Sia,6,89.7,,92.0,86.0,0,0,0,0,0,0,0,0,0,2,4,90.0,91.5,88.5
UBCV,2022,W,GRSJ,316,,101,Queer and Trans of Colour Theorizing,Rosanne Sia,47,80.7,,97.0,0.0,1,1,1,0,1,2,5,1,10,17,8,85.0,88.5,78.5
UBCV,2022,W,GRSJ,325,,201,Anti-colonial and Feminist Qualitative Methodologies,Rosanne Sia,35,79.1,,94.0,38.0,1,1,0,1,0,5,3,4,5,10,5,82.0,87.5,73.0
UBCV,2023,W,GRSJ,325,,201,Anti-colonial and Feminist Qualitative Methodologies,Rosanne Sia,39,80.3,,96.0,26.0,2,1,0,1,1,0,1,6,9,7,11,84.0,90.0,78.5
