Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2017,W,MGMT,482,,101,International Business,Arjun Bhardwaj;Camilo Moreno Pena;Camilo Pena;Eric Zvaniga;Rui Jorge Basto Da Silva,39,72.230769231,14.274492411,91.0,0.0,1,0,3,1,2,8,9,2,10,2,1,,,
UBCV,2014,W,APSC,440,,201,Management Fundamentals for Technology-Based Product Marketing and Development,Rui Jorge Basto Da Silva,52,77.82692308,5.642003377,91.0,64.0,0,0,0,0,,,9,17,12,6,,,,
UBCV,2014,W,COMM,465,,101,Marketing Management,Rui Jorge Basto Da Silva,59,78.49152542,7.351689652,94.0,59.0,0,0,,,,5,9,14,16,8,,,,
UBCV,2014,W,COMM,465,,201,Marketing Management,Rui Jorge Basto Da Silva,62,78.59677419,7.83112679,91.0,55.0,0,0,,,,6,9,10,14,15,,,,
UBCV,2014,W,COMM,465,,202,Marketing Management,Rui Jorge Basto Da Silva,117,76.34188034,8.888351922,91.0,33.0,,,,,10,8,20,26,25,19,,,,
UBCV,2014,W,COMM,468,,203,Marketing Applications,Rui Jorge Basto Da Silva,35,77.71428571,6.98136776,87.0,63.0,0,0,0,,,7,5,,13,6,0,,,
UBCV,2015,W,APSC,440,,201,Management Fundamentals for Technology-Based Product Marketing and Development,Rui Jorge Basto Da Silva,41,75.926829268,7.954213487,93.0,63.0,0,0,0,,,10,7,5,7,5,,,,
UBCV,2015,W,COMM,465,,101,Marketing Management,Rebecca Kwong-Taylor;Rui Jorge Basto Da Silva,105,76.19047619,9.813741581,91.0,51.0,0,,7,,8,15,14,10,22,20,5,,,
UBCV,2015,W,COMM,465,,201,Marketing Management,Rebecca Kwong-Taylor;Rui Jorge Basto Da Silva,59,79.203389831,7.3432579,93.0,59.0,0,0,,,,,4,14,18,14,,,,
UBCV,2015,W,COMM,465,,202,Marketing Management,Rebecca Kwong-Taylor;Rui Jorge Basto Da Silva,115,76.07826087,10.42697903,94.0,19.0,,,,5,14,8,13,29,21,16,6,,,
UBCV,2016,S,COMM,465,,971,Marketing Management,Collin Singer;Rui Jorge Basto Da Silva,47,76.44680851,10.65018577,91.0,44.0,2,1,0,2,4,2,6,7,12,8,3,,,
UBCV,2016,W,APSC,440,,201,Management Fundamentals for Technology-Based Product Marketing and Development,Rui Jorge Basto Da Silva,39,77.7948718,7.291593888,88.0,52.0,0,1,0,0,1,6,7,5,11,8,0,,,
UBCV,2016,W,COMM,363,,101,Marketing Analysis,Rui Jorge Basto Da Silva;Yoonji Shim,41,76.97560976,4.666303702,87.0,66.0,0,0,0,0,1,3,9,17,7,4,0,,,
UBCV,2016,W,COMM,363,,102,Marketing Analysis,Rui Jorge Basto Da Silva;Yoonji Shim,40,76.125,6.060327062,87.0,62.0,0,0,0,1,2,5,7,14,5,6,0,,,
UBCV,2016,W,COMM,363,,103,Marketing Analysis,Rui Jorge Basto Da Silva;Yoonji Shim,39,76.61538462,5.153513797,86.0,68.0,0,0,0,0,0,6,10,10,9,4,0,,,
UBCV,2016,W,COMM,465,,202,Marketing Management,Rui Jorge Basto Da Silva;Yi-Chieh Tsai,119,79.95798319,8.082618889,97.0,57.0,0,0,2,0,6,10,16,21,31,16,17,,,
UBCV,2016,W,COMM,465,,203,Marketing Management,Rui Jorge Basto Da Silva;Yi-Chieh Tsai,44,80.04545455,7.703682434,97.0,61.0,0,0,0,1,2,4,4,7,14,9,3,,,
UBCV,2017,S,COMM,465,,971,Marketing Management,Fernando Leon Lozano;Rui Jorge Basto Da Silva;Yi-Chieh Tsai,47,78.723404255,16.076856344,96.0,0.0,1,0,4,2,1,3,2,7,6,10,11,,,
