Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2013,W,EECE,457,,201,RF ELECTRONICS,"Shekhar, Sudip",25,73.25,17.54,100,29,22,2,0,1,0,0,0,1,1,0,2,0,1,0,5,5,1,2,1,1,6,,,
UBC,2013,W,EECE,571,F,202,ELEC SEM&SP PROB,"Shekhar, Sudip",14,92.25,15.35,100,50,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,,,
UBC,2014,W,EECE,457,,201,RF INT CIRCUITS,"Shekhar, Sudip",16,77,22.72,99,0,15,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,3,1,2,3,4,,,
UBC,2014,W,EECE,571,F,202,ELEC SEM&SP PROB,"Shekhar, Sudip",4,93,7,100,86,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,
UBC,2014,W,EECE,571,H,103,ELEC SEM&SP PROB,"Shekhar, Sudip",11,82.29,21.08,100,36,6,1,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,,,
UBC,2015,W,EECE,571,H,103,ELEC SEM&SP PROB,"Shekhar, Sudip",9,91.89,5.49,97,79,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,,,
UBC,2015,W,EECE,571,U,104,ELEC SEM&SP PROB,"Shekhar, Sudip",12,83.89,10.48,96,68,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,4,,,
UBC,2015,W,EECE,571,Z,106,ELEC SEM&SP PROB,"Shekhar, Sudip",5,87.2,9.28,95,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,,,
UBC,2015,W,ELEC,402,,101,INTR VLSI SYS,"Shekhar, Sudip",45,72.4,21.56,93,0,40,3,2,0,0,2,1,0,0,0,3,0,5,0,1,4,7,2,10,4,7,,,
UBC,2016,W,EECE,571,Z,106,ELEC SEM&SP PROB,"Shekhar, Sudip",8,70.86,20.73,92,47,5,2,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,2,,,
UBC,2016,W,ELEC,402,,101,INTR VLSI SYS,"Shekhar, Sudip",31,66.82,26.07,91,0,23,5,2,0,1,1,2,1,1,0,5,0,1,2,2,1,4,1,3,7,2,,,
UBC,2017,W,EECE,571,F,202,ELEC SEM&SP PROB,"Shekhar, Sudip",8,81.63,11.48,95,65,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,,,
UBC,2017,W,ELEC,402,,101,INTR VLSI SYS,"Shekhar, Sudip",26,81.24,7.37,96,63,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,8,7,3,,,
UBC,2017,W,ELEC,404,,201,RF INT CIRCUITS,"Shekhar, Sudip",12,78.55,11.6,90,58,11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,4,1,,,
UBC,2018,W,EECE,571,H,201,ELEC SEM&SP PROB,"Shekhar, Sudip",6,88.17,8.3,97,76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,,,
UBC,2018,W,ELEC,403,,201,ADV DIG VLSI SYS,"Shekhar, Sudip",15,77.79,16.9,93,33,13,1,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,0,3,2,5,,,
UBCV,2014,W,EECE,457,,201,RF Integrated Circuits,Sudip Shekhar,16,77.0,22.72443619,99.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
UBCV,2014,W,EECE,571,H,103,Electrical Engineering Seminar and Special Problems,Sudip Shekhar,7,82.28571429,21.0769565,100.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
UBCV,2015,W,EECE,571,F,202,Electrical Engineering Seminar and Special Problems,Sudip Shekhar,7,89.142857143,3.891382421,93.0,82.0,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,
UBCV,2015,W,EECE,571,H,103,Electrical Engineering Seminar and Special Problems,Sudip Shekhar,9,91.888888889,5.487359211,97.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,,,,7,,,
UBCV,2015,W,EECE,571,U,104,Electrical Engineering Seminar and Special Problems,Sudip Shekhar,9,83.888888889,10.481465122,96.0,68.0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
UBCV,2015,W,ELEC,402,,101,Introduction to VLSI Systems,Abdelrahman Ahmed;Delaram Behnami;Sudip Shekhar,43,72.395348837,21.559595737,93.0,0.0,,,,,,,,,,,,,5,,,,7,,10,,7,,,
UBCV,2016,W,EECE,571,Z,106,Electrical Engineering Seminar and Special Problems,Sudip Shekhar,7,70.85714286,20.73184806,92.0,47.0,,,,,,,,,,,3,0,0,0,0,0,0,0,1,1,2,,,
UBCV,2016,W,ELEC,402,,101,Introduction to VLSI Systems,Sudip Shekhar,29,66.0,25.97663786,91.0,0.0,,,,,,,,,,,6,0,1,2,2,1,4,1,3,7,2,,,
UBCV,2017,W,EECE,571,F,202,Electrical Engineering Seminar and Special Problems,Sudip Shekhar,8,81.625,11.475906438,95.0,65.0,,,,,,,,,,,0,0,0,0,1,1,1,1,0,1,3,,,
