Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2015,W,MEDI,501,,001,MOLE & CELL BIOL,"Ashe, Maureen;Cherkasov, Artem;Cox, Michael;Duronio, Vincent;McNagny, Kelly Marshall;Mui, Alice;Pelech, Steven Daniel;Reiner, Neil;Roberts, Clive;Rossi, Fabio;Sandford, Andrew;Sly, Laura;Steiner, Theodore;Tebbutt, Scott;Vallance, Bruce;Wang, Yu Tian",38,90.68,5.7,98,76,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,27,,,
UBC,2015,W,MICB,202,,101,MED MICB & IMMUN,"Kion, Tracy;Krebs, Danielle;Steiner, Theodore",279,76.91,13,99,34,263,14,2,0,0,0,0,0,2,12,14,5,10,11,16,23,33,29,49,42,45,,,
UBC,2016,W,MEDI,501,,001,MOLE & CELL BIOL,"Ashe, Maureen;Bach, Horacio;Cox, Michael;Dong, Xuesen;Duronio, Vincent;Hmama, Zakaria;Kalyan, Shirin;McNagny, Kelly Marshall;Mui, Alice;Ong, Christopher;Pelech, Steven Daniel;Reiner, Neil;Rossi, Fabio;Sandford, Andrew;Sly, Laura;Steiner, Theodore;Tebbutt, Scott;Vallance, Bruce;Van Eeden, Stephanus;Wang, Yu Tian",48,88.02,5.65,95,69,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,17,22,,,
UBC,2016,W,MICB,202,,201,MED MICB & IMMUN,"Gaynor, Erin;Kion, Tracy;Osborne, Lisa;Sibley, Jennifer;Steiner, Theodore",246,79.29,12.77,98,0,240,3,3,0,0,1,1,0,0,1,3,5,9,6,11,18,25,22,52,42,50,,,
UBC,2016,W,MICB,202,,203,MED MICB & IMMUN,"Gaynor, Erin;Kion, Tracy;Osborne, Lisa;Sibley, Jennifer;Steiner, Theodore",213,78.33,14.44,98,0,204,6,2,1,0,1,0,0,1,4,6,10,6,10,13,11,16,16,31,50,41,,,
UBC,2017,W,MEDI,501,,001,MOLE & CELL BIOL,"Bach, Horacio;Cox, Michael;Duronio, Vincent;Kalyan, Shirin;McNagny, Kelly Marshall;Mui, Alice;Pelech, Steven Daniel;Reiner, Neil;Rossi, Fabio;Sandford, Andrew;Sly, Laura;Steiner, Theodore;Vallance, Bruce;Wang, Yu Tian",44,86.05,5.4,97,74,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,17,13,,,
UBC,2018,W,MEDI,501,,001,MOLE & CELL BIOL,"Bach, Horacio;Cox, Michael;Duronio, Vincent;Kalyan, Shirin;McNagny, Kelly Marshall;Mui, Alice;Pelech, Steven Daniel;Reiner, Neil;Rossi, Fabio;Sandford, Andrew;Sly, Laura;Steiner, Theodore;Vallance, Bruce;Wang, Yu Tian",47,84.06,8.91,96,52,47,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,3,7,16,13,,,
UBC,2018,W,MICB,507,,101,TP MOL PTH & IMM,"Av-Gay, Yossef;Gaynor, Erin;Mohn, William;Steiner, Theodore",7,91,4.16,98,87,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,,
UBCV,2015,W,MEDI,501,,001,Molecular and Cellular Biology of Experimental Medicine,Alice Mui;Andrew Sandford;Artem Cherkasov;Bruce Vallance;Clive R Roberts;Clive Roberts;Fabio Rossi;Kelly Marshall Mcnagny;Laura Sly;Maureen Ashe;Michael Cox;Neil Reiner;Scott Tebbutt;Steven Daniel Pelech;Theodore Steiner;Vincent Duronio;Yu Tian Wang,38,90.684210526,5.695447509,98.0,76.0,,,,,,,,,,,0,0,0,0,0,0,0,,,6,27,,,
UBCV,2015,W,MICB,202,,101,Introductory Medical Microbiology and Immunology,Danielle Krebs;Theodore Steiner;Tracy Kion,277,76.913357401,12.999988932,99.0,34.0,,,,,,,,,,,14,5,10,11,16,23,33,29,49,42,45,,,
UBCV,2016,W,MEDI,501,,001,Molecular and Cellular Biology of Experimental Medicine,Alice Mui;Andrew Sandford;Bruce Vallance;Christopher Ong;Clive Roberts;Fabio Rossi;Horacio Bach;Kelly Marshall Mcnagny;Laura Sly;Maureen Ashe;Michael Cox;Neil Reiner;Scott Tebbutt;Shirin Kalyan;Stephanus Van Eeden;Steven Daniel Pelech;Theodore Steiner;Vincent Duronio;Xuesen Dong;Yu Tian Wang;Zakaria Hmama,47,88.0212766,5.651045927,95.0,69.0,,,,,,,,,,,0,0,0,0,0,2,1,1,4,17,22,,,
UBCV,2016,W,MICB,202,,201,Introductory Medical Microbiology and Immunology,Erin Gaynor;Jennifer Sibley;Lisa Osborne;Theodore Steiner;Tracy Kion,243,79.28806584,12.76582398,98.0,0.0,,,,,,,,,,,3,5,9,6,11,18,25,22,52,42,50,,,
UBCV,2016,W,MICB,202,,203,Introductory Medical Microbiology and Immunology,Erin Gaynor;Jennifer Sibley;Lisa Osborne;Theodore Steiner;Tracy Kion,210,78.33333333,14.43524837,98.0,0.0,,,,,,,,,,,6,10,6,10,13,11,16,16,31,50,41,,,
