Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2013,W,ECON,355,,003,INTRO INT TRADE,"Swiecki, Tomasz",134,75.15,15.72,100,0,120,4,6,0,0,1,1,1,0,1,4,3,7,6,10,15,17,11,20,11,20,,,
UBC,2013,W,ECON,557,,001,EMP TPC INTL ECN,"Swiecki, Tomasz",4,82,7.16,92,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,,,
UBC,2014,W,ECON,355,,004,INTRO INT TRADE,"Swiecki, Tomasz",96,74.42,13.41,99,28,82,4,4,0,0,0,0,1,2,1,4,2,2,5,7,12,12,12,7,13,10,,,
UBC,2014,W,ECON,355,,005,INTRO INT TRADE,"Swiecki, Tomasz",95,74.85,13,100,42,86,3,2,0,0,0,0,0,0,3,3,3,5,7,5,8,13,15,9,7,14,,,
UBC,2014,W,ECON,557,,001,EMP TPC INTL ECN,"Swiecki, Tomasz",4,80.25,8.54,87,68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,
UBC,2015,W,ECON,355,,002,INTRO INT TRADE,"Swiecki, Tomasz",101,73.8,14.29,100,43,90,3,0,0,0,0,0,0,0,3,3,6,5,7,10,15,8,5,5,12,17,,,
UBC,2015,W,ECON,355,,005,INTRO INT TRADE,"Swiecki, Tomasz",90,75.48,12.79,96,36,85,1,4,0,0,0,0,0,1,0,1,5,7,5,2,9,8,11,15,11,12,,,
UBC,2015,W,ECON,557,,001,EMP TPC INTL ECN,"Swiecki, Tomasz",10,82.2,7.21,94,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,1,,,
UBC,2016,W,ECON,355,,002,INTRO INT TRADE,"Swiecki, Tomasz",115,74.54,11.79,100,45,109,3,1,0,1,0,0,0,0,3,3,2,3,8,16,13,19,13,14,7,14,,,
UBC,2016,W,ECON,355,,004,INTRO INT TRADE,"Swiecki, Tomasz",115,74.18,11.69,96,42,99,3,0,2,3,0,0,0,0,3,3,3,4,9,3,16,19,10,15,9,11,,,
UBC,2016,W,ECON,355,,005,INTRO INT TRADE,"Swiecki, Tomasz",89,74.17,12.35,95,46,86,2,0,0,0,0,0,0,0,2,2,5,4,5,8,11,17,7,6,10,13,,,
UBC,2017,W,ECON,355,,002,INTRO INT TRADE,"Swiecki, Tomasz",113,75.53,9.82,96,41,102,1,2,0,2,0,0,0,0,1,1,1,3,7,9,14,13,17,19,13,6,,,
UBC,2017,W,ECON,455,,003,INTERNATL TRADE,"Swiecki, Tomasz",67,72.5,15.27,100,31,61,3,1,0,1,0,0,0,3,0,3,1,6,7,6,6,8,8,7,4,8,,,
UBC,2017,W,ECON,555,,001,INTERNATL TRADE,"Swiecki, Tomasz",9,82.11,6.41,91,70,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,1,,,
UBC,2018,W,ECON,355,,002,INTRO INT TRADE,"Swiecki, Tomasz",120,75.24,12.25,97,42,105,3,1,0,4,0,0,0,0,3,3,5,4,7,7,14,11,14,16,13,14,,,
UBC,2018,W,ECON,555,,001,INTERNATL TRADE,"Swiecki, Tomasz",13,83.73,7.59,97,70,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,2,,,
UBCV,2014,W,ECON,355,,004,Introduction to International Trade,Tomasz Swiecki,92,74.23913044,13.06397577,99.0,28.0,,,,,,,,,,,,,,5,9,14,12,13,8,13,10,,,
UBCV,2014,W,ECON,355,,005,Introduction to International Trade,Tomasz Swiecki,93,74.8172043,12.94633257,100.0,42.0,,,,,,,,,,,,,5,8,6,8,13,15,10,7,15,,,
UBCV,2015,W,ECON,355,,002,Introduction to International Trade,Tomasz Swiecki;Wing Tung Lam,101,73.851485149,13.938713096,100.0,43.0,,,,,,,,,,,3,6,5,7,11,18,8,8,5,12,18,,,
UBCV,2015,W,ECON,355,,005,Introduction to International Trade,Tomasz Swiecki;Wing Tung Lam,86,75.476744186,12.787610497,96.0,36.0,,,,,,,,,,,1,5,7,5,2,9,8,11,15,11,12,,,
