Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2015,W,ASIA,310,A,001,STDS HIST MAJ AS,"Shakya, Tsering",36,80.35,5.95,90,60,31,0,2,3,0,0,0,0,0,0,0,0,0,1,0,2,1,9,11,5,2,,,
UBC,2016,W,ASIA,306,,001,ESOTERC BUDDHSM,"Shakya, Tsering",48,80.47,5.78,90,60,43,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,12,11,11,1,,,
UBC,2016,W,ASIA,310,T,001,STDS HIST MAJ AS,"Shakya, Tsering",49,82.22,5.69,89,67,45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,15,19,0,,,
UBC,2017,S,ASTU,204,H,002,TPC ARTS STUDIES,"Shakya, Tsering",11,81,5.5,90,70,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1,,,
UBC,2017,S,ASTU,204,I,002,TPC ARTS STUDIES,"Shakya, Tsering",8,82.83,2.23,85,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,,,
UBC,2017,W,ASIA,311,,002,TIBETAN BUDDHISM,"Shakya, Tsering",67,86.88,3.78,95,75,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,37,16,,,
UBC,2017,W,ASIA,313,,001,TBTN HMLYN CULT,"Shakya, Tsering",68,86.45,7.53,97,54,66,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,2,12,25,23,,,
UBC,2018,W,ASIA,311,,002,TIBETAN BUDDHISM,"Shakya, Tsering",65,83.39,6.25,96,66,62,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,10,15,25,6,,,
UBC,2018,W,ASIA,313,,002,TBTN HMLYN CULT,"Shakya, Tsering",55,81.02,6.14,95,68,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,10,16,15,2,,,
UBCV,2014,W,IAR,515,E,001,Topics in Asia Pacific Policy Studies,Tsering Shakya,6,87.33333333,2.065591118,90.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,
UBCV,2015,W,ASIA,310,A,001,Studies in the History of a Major Asian Civilization,Tsering Shakya,31,80.35483871,5.952861425,90.0,60.0,,,,,,,,,,,0,0,0,,,,,9,11,5,,,,
UBCV,2015,W,GPP,508,,001,Philosophical and Ethical Foundations for Public Policy,Timothy Cheek;Tsering Shakya,5,84.0,2.236067977,85.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,,,
UBCV,2015,W,IAR,515,P,001,Topics in Asia Pacific Policy Studies,Tsering Shakya,5,83.0,5.700877125,90.0,75.0,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
UBCV,2016,W,ASIA,306,,001,Esoteric Buddhism,Tsering Shakya,47,80.34042553,5.564939141,90.0,60.0,,,,,,,,,,,0,0,0,1,0,0,7,15,12,11,1,,,
UBCV,2016,W,ASIA,310,T,001,Studies in the History of a Major Asian Civilization,Tsering Shakya,48,82.14583333,5.615289096,89.0,67.0,,,,,,,,,,,0,0,0,0,1,2,5,4,17,19,0,,,
UBCV,2016,W,GPP,508,,001,Philosophical and Ethical Foundations for Public Policy,Timothy Cheek;Tsering Shakya,8,71.5,30.29851482,90.0,0.0,,,,,,,,,,,1,0,0,1,0,0,0,0,2,3,1,,,
UBCV,2016,W,GPP,565,,001,"Nationalism, Religion, and Ethnic Conflict in Asia",Tsering Shakya,7,83.71428571,4.270608298,89.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,2,1,4,0,,,
UBCV,2017,S,ASTU,204,H,002,Topics in Interdisciplinary Arts Studies,Sara Shneiderman;Tsering Shakya,10,81.4,5.337498374,90.0,70.0,,,,,,,,,,,0,0,0,0,0,1,0,1,4,3,1,,,
UBCV,2017,S,ASTU,204,I,002,Topics in Interdisciplinary Arts Studies,Tsering Shakya,8,84.0,2.976095237,89.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,5,3,0,,,
UBCV,2017,W,ASIA,311,,002,Tibetan Buddhism,Chulthim Gurung;Chutlhim Gurung;Tsering Shakya,66,86.924242424,3.771596708,95.0,75.0,,,,,,,,,,,0,0,0,0,0,0,2,1,9,37,17,,,
UBCV,2017,W,ASIA,313,,001,Tibetan and Himalayan Culture and Society,Chulthim Gurung;Chutlhim Gurung;Tsering Shakya,66,86.454545455,7.534907111,97.0,54.0,,,,,,,,,,,0,1,0,1,0,2,0,2,12,25,23,,,
UBCV,2017,W,GPP,508,,001,Philosophical and Ethical Foundations for Public Policy,Tsering Shakya,14,82.5,3.436232284,89.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,4,5,5,0,,,
UBCV,2017,W,GPP,565,,001,"Nationalism, Religion, and Ethnic Conflict in Asia",Tsering Shakya,11,86.818181818,3.21926022,89.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,4,7,0,,,
UBCV,2018,W,ASIA,311,,001,Tibetan Buddhism,Dagmar Schwerk;Tsering Shakya;Weiyu Lin,56,77.446428571,14.145888761,94.0,13.0,,,,,,,,,,,3,0,0,0,3,4,9,7,14,10,6,,,
UBCV,2018,W,ASIA,311,,002,Tibetan Buddhism,Tsering Shakya;Weiyu Lin,65,83.584615385,6.482891686,98.0,66.0,,,,,,,,,,,0,0,0,0,1,4,2,9,14,28,7,,,
UBCV,2018,W,ASIA,313,,001,Tibetan and Himalayan Culture and Society,Dagmar Schwerk;Nikita Chettri;Tsering Shakya,29,79.137931034,6.733308134,90.0,59.0,,,,,,,,,,,0,0,1,0,0,2,5,5,10,4,2,,,
UBCV,2018,W,ASIA,313,,002,Tibetan and Himalayan Culture and Society,Tsering Shakya,55,80.8,6.293441619,95.0,68.0,,,,,,,,,,,0,0,0,0,0,10,2,10,16,15,2,,,
UBCV,2018,W,GPP,508,,001,Philosophical and Ethical Foundations for Public Policy,Tsering Shakya,14,84.928571429,1.940035119,89.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,4,10,0,,,
UBCV,2018,W,GPP,565,,001,"Nationalism, Religion, and Ethnic Conflict in Asia",Tsering Shakya,13,85.692307692,3.591300029,95.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,5,7,1,,,
UBCV,2019,W,ASIA,311,,002,Tibetan Buddhism,Tsering Shakya;Weiyu Lin,60,86.85,4.835690055,94.0,73.0,,,,,,,,,,,0,0,0,0,0,0,3,4,6,29,18,,,
UBCV,2019,W,ASIA,313,,002,Tibetan and Himalayan Culture and Society,Tsering Shakya;Weiyu Lin,61,88.163934426,5.410423051,95.0,66.0,,,,,,,,,,,0,0,0,0,1,1,0,1,11,16,31,,,
UBCV,2019,W,ASIA,450,Z,001,Special Topics in Buddhist Studies,Tsering Shakya,7,88.857142857,2.478478796,92.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,3,,,
UBCV,2019,W,GPP,508,,001,Policy in Context,Timothy Cheek;Tsering Shakya;Yingqiu Kuang,42,84.952380952,4.288113924,93.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,3,13,17,8,,,
UBCV,2019,W,GPP,565,,001,"Nationalism, Religion, and Ethnic Conflict in Asia",Tsering Shakya,8,82.5,5.477225575,89.0,75.0,,,,,,,,,,,0,0,0,0,0,0,2,0,4,2,0,,,
UBCV,2020,S,NEPL,390,,921,Nepali Language in a Community Context,Binod Shrestha;Sara Shneiderman;Tsering Shakya,18,93.722222222,3.044871398,97.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,16,,,
UBCV,2020,S,TIBT,390,,921,Tibetan Language in a Community Context,Sara Shneiderman;Sonam Chusang;Sonam R Chusang;Tsering Shakya,13,86.153846154,1.951330907,90.0,83.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,10,1,,,
UBCV,2020,W,ASIA,311,,001,Tibetan Buddhism,Dagmar Schwerk;Tsering Shakya;Weiyu Lin,64,85.0625,13.556319911,95.0,0.0,,,,,,,,,,,2,0,0,0,0,0,3,3,12,20,24,,,
UBCV,2020,W,ASIA,311,,002,Tibetan Buddhism,Dagmar Schwerk;Tsering Shakya,41,78.170731707,12.395366955,92.0,30.0,,,,,,,,,,,2,0,0,1,0,2,9,4,13,5,5,,,
UBCV,2020,W,ASIA,313,,001,Tibetan and Himalayan Culture and Society,Tsering Shakya;Weiyu Lin,62,82.661290323,19.681849464,95.0,0.0,,,,,,,,,,,3,0,0,0,1,1,2,3,6,26,20,,,
UBCV,2020,W,PPGA,508,,001,Policy in Context,Timothy Cheek;Tsering Shakya;Yingqiu Kuang,37,84.378378378,2.227995504,88.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,2,13,22,0,,,
UBCV,2020,W,PPGA,565,,001,"Nationalism, Religion, and Ethnic Conflict in Asia",Tsering Shakya,11,86.454545455,3.724611023,93.0,82.0,,,,,,,,,,,0,0,0,0,0,0,0,0,5,3,3,,,
UBCV,2021,S,NEPL,390,,921,Nepali Language in a Community Context,Binod Shrestha;Sara Shneiderman;Tsering Shakya,14,96.285714286,3.123818458,100.0,90.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,14,,,
UBCV,2021,S,TIBT,390,,921,Tibetan Language in a Community Context,Sara Shneiderman;Sonam Chusang;Tsering Shakya,10,89.1,2.923088169,94.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,5,4,,,
UBCV,2021,W,ASIA,311,,001,Tibetan Buddhism,Samuel Shooklyn;Tsering Shakya,66,76.681818182,12.75950215,91.0,0.0,,,,,,,,,,,1,1,2,2,4,3,6,13,17,16,1,,,
UBCV,2021,W,ASIA,313,,001,Tibetan and Himalayan Culture and Society,Pengcheng Fang;Tsering Shakya,61,83.68852459,7.235424391,98.0,60.0,,,,,,,,,,,0,0,0,1,0,2,6,6,17,18,11,,,
UBCV,2021,W,PPGA,508,,001,Policy in Context,Hugh Phillimore Gusterson;Jemimah Ogundele;Omolabake Ogundele;Sara Shneiderman;Timothy Cheek;Tsering Shakya,31,88.387096774,7.579258624,98.0,55.0,,,,,,,,,,,0,0,,0,,,,,5,11,14,,,
UBCV,2021,W,PPGA,508,,002,Policy in Context,Caitlyn Yates;Hugh Phillimore Gusterson;Sara Shneiderman;Tsering Shakya,33,88.575757576,6.260143284,98.0,62.0,,,,,,,,,,,0,0,0,1,0,0,0,0,4,12,16,,,
