Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,RELG,203,,001,SCRIPTURES OF NE,"Soufi, Youcef",58,73.18,14.39,93,0,55,1,2,0,0,1,0,0,0,0,1,3,1,5,3,8,9,8,6,10,2
UBC,2016,W,RELG,207,,001,CLASSICAL ISLAM,"Soufi, Youcef",36,72.03,18.48,91,0,31,2,0,3,0,1,1,0,0,0,2,0,0,1,4,3,8,5,4,4,2
UBC,2016,W,RELG,208,,001,MODERN ISLAM,"Soufi, Youcef",43,75.83,10.5,93,40,38,2,1,1,0,0,0,0,0,2,2,0,0,1,1,4,12,5,8,5,2
UBC,2016,W,RELG,480,A,001,WOMEN & RELIGION,"Soufi, Youcef",11,78.45,8.8,90,60,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,2
UBC,2017,W,RELG,203,,001,SCRIPTURES OF NE,"Soufi, Youcef",80,71.42,15.04,95,1,69,7,4,0,0,1,0,0,2,4,7,1,1,5,8,9,11,10,15,5,4
UBC,2017,W,RELG,207,,001,CLASSICAL ISLAM,"Soufi, Youcef",35,76.63,10.13,90,45,34,1,0,0,0,0,0,0,0,1,1,0,2,0,2,2,6,5,12,2,3
UBC,2017,W,RELG,208,,001,MODERN ISLAM,"Soufi, Youcef",40,75.87,9.42,92,45,38,1,0,0,0,0,0,0,0,1,1,0,1,1,2,7,7,5,8,5,2
UBC,2017,W,RELG,448,,001,SEM HIST OF RELG,"Soufi, Youcef",30,76.93,16.79,90,15,27,2,0,0,0,0,1,0,1,0,2,0,1,1,0,0,3,2,11,5,4
UBC,2018,W,ARBC,101,,002,INTRO: CLASSICAL,"Soufi, Youcef",29,79.18,17.14,98,29,27,1,1,0,0,0,0,1,0,0,1,3,0,1,0,2,3,1,4,3,10
UBC,2018,W,ARBC,102,,002,INTRO CLASSCL II,"Soufi, Youcef",20,81.4,11,97,56,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,4,1,4,6
