Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,PHYS,157,,101,Introductory Physics for Engineers I,Allison Fink;Andrew Elias;Barry Bohnet;Christos Aris Chatzichristos;Donald Witt;Emilie Carpentier;Maryam Afsari Golshan;Pinrui Shen;Saul Cuen Rochin;Shuailiang Ge;Sofia Fatigoni;Tiam Heydari;Tianyu Liu;William H. Mccutcheon;Yukiya Saito,271,77.188191882,12.393158539,97.0,12.0,8,3,5,11,14,39,33,42,41,33,42
UBCV,2017,W,PHYS,158,,201,Introductory Physics for Engineers II,Carina Graf;Christos Aris Chatzichristos;Donald Witt;Eduardo Muntaner Garcia;Emilie Carpentier;Erik Frieling;Ian Kent Nickolas Janzen;Maryam Afsari Golshan;Matthew Rempel;Michael Hasinoff;Saul Cuen Rochin;Sheng Chun Chang;Shuailiang Ge;Yukiya Saito,260,69.896153846,16.154203363,99.0,19.0,32,14,12,28,23,30,22,20,23,24,32
UBCV,2018,W,PHYS,157,,101,Introductory Physics for Engineers I,Donald Witt;Marcel Franz;Mark Van Raamsdonk;Michael Hasinoff;Michael Power;Philippe Belanger;Sofia Fatigoni;Yukiya Saito,290,79.844827586,13.344000277,100.0,0.0,8,5,5,9,8,24,24,29,57,55,66
UBCV,2019,W,PHYS,158,,201,Introductory Physics for Engineers II,Ashley Warner;Austin De St Croix;Caleb Sample;Chengshu Li;Fatemeh Aghaee Rad;Hao Jia;Ian Macphail-Bartley;Jiabin Yu;Jordan Fordyce;Jordan Hanania;Jordan Wilson-Gerow;Lara Maria Bartels;Lars Gitt;Maryam Rostamzadeh;Mia Au;Michael Hasinoff;Michelle Lam;Puranjay Gulati;Ryan Harvey;Stepan Fomichev;Sydney Dufresne;Tarun Tummuru;Vincent Wong;Yukiya Saito,331,69.018126888,12.506469991,99.0,0.0,9,19,43,36,46,37,36,40,40,12,13
UBCV,2019,W,PHYS,159,,L2C,Introductory Physics Laboratory for Engineers,Jiabin Yu;Sarah Burke;Yukiya Saito,53,89.886792453,5.607894084,99.0,68.0,0,0,0,0,0,1,0,0,5,21,26
UBCV,2019,W,PHYS,159,,LF2,Introductory Physics Laboratory for Engineers,Sarah Burke;Sean Vanbergen;Steven Dierker;Yukiya Saito,45,77.844444444,9.65061363,89.0,46.0,1,2,0,1,2,2,1,12,12,12,0
UBCV,2019,W,PHYS,219,,L1A,Intermediate Experimental Physics I,Andrzej Kotlicki;Fatemeh Aghaee Rad;Luke Alan Reynolds;Luke Reynolds;Peter Henry Gysbers;Robert Kiefl;Yukiya Saito,27,83.333333333,15.419767533,100.0,37.0,1,0,2,1,0,1,0,2,4,5,11
UBCV,2019,W,PHYS,219,,L1B,Intermediate Experimental Physics I,Andrzej Kotlicki;Fatemeh Aghaee Rad;Luke Alan Reynolds;Luke Reynolds;Robert Kiefl;Yukiya Saito,31,85.161290323,10.856938716,100.0,62.0,0,0,0,1,1,3,1,2,6,6,11
UBCV,2019,W,PHYS,219,,L1C,Intermediate Experimental Physics I,Andrzej Kotlicki;Fatemeh Aghaee Rad;Fatemeth Aghaee Rad;Luke Alan Reynolds;Luke Reynolds;Robert Kiefl;Yukiya Saito,28,87.75,9.728252098,100.0,64.0,0,0,0,0,2,0,0,1,8,3,14
UBCV,2020,W,PHYS,219,,L1A,Intermediate Experimental Physics I,Adam Darcie;Adam Thomas Darcie;Andrzej Kotlicki;Fatemeh Aghaee Rad;Luke Alan Reynolds;Luke Reynolds;Md Shahriar Rahim Siddiqui;Robert Kiefl;Yukiya Saito,31,81.903225806,11.151546496,100.0,56.0,0,0,1,2,1,1,3,3,4,9,7
UBCV,2020,W,PHYS,319,,201,Electronics Laboratory,Adam Darcie;Andrzej Kotlicki;Colby Delisle;Luke Reynolds;Yukiya Saito,25,88.32,6.737457483,100.0,73.0,0,0,0,0,0,0,2,1,2,8,12
UBCV,2021,W,PHYS,219,,L1A,Intermediate Experimental Physics I,Adam Darcie;Andrzej Kotlicki;Daniel Korchinski;Fatemeh Aghaee Rad;Luke Reynolds;Robert Kiefl;Sukhman Singh;Yukiya Saito,29,82.517241379,16.400393483,98.0,22.0,1,0,0,2,2,1,2,2,0,8,11
UBCV,2021,W,PHYS,219,,L1B,Intermediate Experimental Physics I,Adam Darcie;Andrzej Kotlicki;Daniel Korchinski;Fatemeh Aghaee Rad;Luke Reynolds;Robert Kiefl;Sukhman Singh;Yukiya Saito,34,82.352941176,12.355546793,98.0,46.0,2,0,1,0,0,0,3,3,6,11,8
UBCV,2021,W,PHYS,219,,L1C,Intermediate Experimental Physics I,Adam Darcie;Andrzej Kotlicki;Daniel Korchinski;Fatemeh Aghaee Rad;Luke Reynolds;Robert Kiefl;Sukhman Singh;Yukiya Saito,31,77.419354839,21.134133834,99.0,4.0,3,0,0,2,0,2,2,4,4,5,9
UBCV,2021,W,PHYS,319,,201,Electronics Laboratory,Adam Darcie;Andrzej Kotlicki;Bereket Guta;Elektra Dakogiannis;Luke Reynolds;Yukiya Saito,34,79.735294118,13.652192239,100.0,31.0,2,0,1,1,0,0,3,7,6,8,6
