Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,ARTH,351,B,001,ISLAM ARCH ART,"Salgirli, Saygin",41,78.51,13.11,96,47,38,1,0,1,0,0,0,0,0,1,1,1,3,0,3,4,2,4,4,7,10
UBC,2015,W,ARTH,436,,001,EARLY MODERN ART,"Salgirli, Saygin",6,78.67,12.37,97,60,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1
UBC,2015,W,ARTH,533,B,001,MEDEVAL ART,"Salgirli, Saygin",5,94.4,4.51,99,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2016,W,ARTH,350,,001,GRND ISLMC IMAGE,"Salgirli, Saygin",27,82.13,11.78,95,51,23,0,3,1,0,0,0,0,0,0,0,2,0,0,0,1,2,1,3,7,7
UBC,2016,W,ARTH,450,,001,ART ISLMC WRLD,"Salgirli, Saygin",9,86,6.3,92,75,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
UBC,2017,W,ARTH,102,,001,CRISIS & CONTRAD,"Salgirli, Saygin",107,75.99,15.69,98,0,100,5,2,0,0,1,0,1,1,2,5,1,2,8,10,7,13,12,14,8,25
UBC,2017,W,ARTH,225,,001,PRE 1600 EUR,"Salgirli, Saygin",54,86.96,9.06,98,45,50,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,9,11,25
UBC,2017,W,ARTH,351,B,001,ART ARCH ISLAMIC,"Salgirli, Saygin",47,85.23,11.49,98,45,45,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,3,4,7,12,18
UBC,2017,W,ARTH,550,,001,ART IN ISLMC WRL,"Salgirli, Saygin",11,91.45,3.14,96,86,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
UBC,2018,W,ARTH,102,,001,CRISIS & CONTRAD,"Salgirli, Saygin",98,78.94,14.29,96,0,92,2,2,0,1,1,0,1,0,0,2,2,2,0,6,7,8,10,14,29,14
UBC,2018,W,ARTH,225,,001,PRE 1600 EUR,"Salgirli, Saygin",52,80.68,9.43,95,50,50,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,7,7,9,13,8
UBC,2018,W,ARTH,350,,001,GRND ISLMC IMAGE,"Salgirli, Saygin",41,78.05,19.93,93,10,36,3,0,2,0,0,2,1,0,0,3,1,0,0,0,0,1,6,12,7,9
UBC,2018,W,ARTH,550,,001,ART IN ISLMC WRL,"Salgirli, Saygin",8,89.5,1.76,92,87,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
