Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,BIOL,418,,201,EVOLUTIONARY ECO,"Schluter, Dolph",25,69.91,17.51,86,0,21,2,1,0,1,1,0,0,0,1,2,0,0,0,3,6,3,4,3,2,0
UBC,2005,W,BIOL,418,,201,EVOLUTIONARY ECO,"Schluter, Dolph",32,75.23,15.85,92,4,30,1,1,0,0,1,0,0,0,0,1,0,1,1,2,4,3,4,5,9,1
UBC,2006,W,BIOL,418,,201,EVOLUTIONARY ECO,"Schluter, Dolph",30,75.1,8.18,91,57,29,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,5,4,10,1,1
UBC,2009,W,BIOL,418,,201,EVOLUTIONARY ECO,"Schluter, Dolph",37,75.46,9.01,90,56,35,0,0,1,1,0,0,0,0,0,0,0,1,2,3,5,6,2,8,6,2
UBC,2009,W,BIOL,548,B,201,ADV TOPICS BIOL,"Schluter, Dolph",28,86.62,5.55,98,76,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,7
UBC,2010,W,BIOL,418,,201,EVOLUTIONARY ECO,"Schluter, Dolph",30,77.03,9.42,95,56,30,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,8,6,1
UBC,2010,W,BIOL,525,A,201,TPC SYST & EVLTN,"Rieseberg, Loren;Schluter, Dolph",12,87,0,87,87,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
UBC,2010,W,BIOL,548,B,201,ADV TOPICS BIOL,"Schluter, Dolph",28,88.42,4.34,96,76,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11
UBC,2010,W,BIOL,548,B,L01,ADV TOPICS BIOL,"Schluter, Dolph",4,,,,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,BIOL,418,,201,EVOLUTIONARY ECO,"Schluter, Dolph",27,79.22,7.58,92,70,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,7,3,4
UBC,2013,W,BIOL,501,,201,Q MTH ECOL&EVOL,"Schluter, Dolph",25,85.86,3.09,92,80,22,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,3
UBC,2014,W,BIOL,418,,101,EVOLUTIONARY ECO,"Schluter, Dolph",32,74.72,7.85,90,56,32,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,7,5,7,3,1
UBC,2014,W,BIOL,501,,101,Q MTH ECOL&EVOL,"Schluter, Dolph",22,82.24,3.75,86,72,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,9,0
UBC,2016,W,BIOL,501,,101,Q MTH ECOL&EVOL,"Schluter, Dolph",22,87.68,2.08,92,85,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5
UBC,2017,W,BIOL,418,,101,EVOLUTIONARY ECO,"Schluter, Dolph",30,78.79,5.61,92,70,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,9,5,1
UBC,2017,W,BIOL,501,,101,Q MTH ECOL&EVOL,"Schluter, Dolph",23,83,3.9,89,75,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,9,0
UBC,2018,W,BIOL,501,,101,Q MTH ECOL&EVOL,"Schluter, Dolph",23,87.52,2.93,93,83,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,7
