Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,S,NURS,502,,98B,ETHC&POLTC NURS,"Segaric, Cheryl",10,82.4,6.1,93,73,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,2
UBC,2012,W,NURS,422,,002,CHLDBRG FAMILIES,"Segaric, Cheryl",20,85.8,6.07,97,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,7,5
UBC,2013,W,NURS,303,,001,ADULTS & FAMLIES,"Jackson, Cathryn;Jetha, Farah;Mislang, Jonathan;Phinney, Alison;Rea, Gail;Segaric, Cheryl;Valkenier, Beverley",119,83.56,3.71,91,74,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,48,47,4
UBC,2013,W,NURS,422,,002,CHLDBRG FAMILIES,"Hall, Wendy Anne;Jetha, Farah;Segaric, Cheryl",20,86.6,5.26,94,75,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,6
UBC,2014,W,NURS,303,,001,ADULTS & FAMLIES,"Affleck, Frances;Foster, Paula;Jackson, Cathryn;Jetha, Farah;McBurney, Sheila Mary;Rea, Gail;Segaric, Cheryl",121,85.43,5.06,94,50,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,35,59,17
UBC,2014,W,NURS,427,,002,CONSOLD  PRACTCM,"Ricci, Joanne;Segaric, Cheryl;Tan, Elsie",115,,,,,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,NURS,303,,001,ADULTS & FAMLIES,"Segaric, Cheryl",120,83.34,5.57,95,69,119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,39,37,17
UBC,2016,W,NURS,303,,001,ADULTS & FAMLIES,"Kryworuchko, Jennifer;Segaric, Cheryl",120,79.02,5.92,89,58,120,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,14,34,37,24,0
UBC,2016,W,NURS,333,,202,CHILDBRING WOMEN,"Ebbehoj, Catherine;Segaric, Cheryl",20,83.4,4.01,89,76,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,0
UBC,2017,S,NURS,333,,943,CHILDBRING WOMEN,"Ebbehoj, Catherine;Segaric, Cheryl",20,80.15,3.12,86,73,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,1,0
UBC,2017,S,NURS,333,,944,CHILDBRING WOMEN,"Ebbehoj, Catherine;Segaric, Cheryl",16,80.63,3.65,86,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10,1,0
UBC,2017,W,NURS,333,,405,CHILDBRING WOMEN,"Segaric, Cheryl",19,81.16,3.98,89,76,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,0
UBC,2017,W,NURS,333,,406,CHILDBRING WOMEN,"Segaric, Cheryl",20,79.8,5.83,88,67,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,5,5,0
UBC,2017,W,NURS,345,,002,CHLDBRNG FAMLIES,"Segaric, Cheryl",125,80.1,5.72,92,61,124,0,1,0,0,0,0,0,0,0,0,0,0,1,2,7,13,28,45,24,4
UBC,2018,W,NURS,300,,001,FNDTN NURS PRACT,"Segaric, Cheryl",119,83.25,6.56,92,29,113,1,5,0,0,0,0,1,0,0,1,0,0,0,0,0,2,19,34,50,8
UBC,2018,W,NURS,350,,002,INQURY & RSEARCH,"Segaric, Cheryl",113,87.27,4.19,95,76,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,46,37
