Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,APSC,598,A,201,Topics in Eng,"Staub-French, Sheryl",30,81.13,5.5,91,72,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,7,2
UBC,2002,W,CIVL,520,,101,CNSTR PLAN CNTRL,"Staub-French, Sheryl",20,77.4,7.12,92,60,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,5,5,2,1
UBC,2002,W,NURS,350,,99A,SOCIOCLT CNS H&I,"Reimer Kirkham, Sheryl",12,86.09,4.39,94,79,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,2
UBC,2003,W,APSC,541,,201,TECH ENT ENGIN,"Staub-French, Sheryl",21,81.8,5.99,92,70,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,3,3
UBC,2003,W,CIVL,493,,201,CONSTRUCTION MET,"Staub-French, Sheryl",25,84.56,5.16,95,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,9,3
UBC,2003,W,CIVL,521,,201,CONST METH & PER,"Staub-French, Sheryl",18,83.88,7.42,94,74,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,3,5
UBC,2003,W,CIVL,598,A,00A,TPCS IN CIVL ENG,"Staub-French, Sheryl",20,81.26,4.74,93,74,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,4,1
UBC,2005,W,APSC,541,,101,TECH ENT ENGIN,"Staub-French, Sheryl",48,83.85,6.29,96,73,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,20,7,11
UBC,2005,W,CIVL,400,,101,CONST ENG & MNGT,"Staub-French, Sheryl",101,78.11,9.81,95,27,100,1,0,0,0,0,0,1,0,0,1,1,0,3,7,8,14,16,25,19,7
UBC,2005,W,CIVL,498,T,201,DIRECTED STUDIES,"Staub-French, Sheryl",23,80.91,3.64,88,75,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,5,0
