Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,EECE,253,,201,CIRCUIT ANLY II,"Tang, Shuo",67,67.85,14.14,95,33,62,4,1,0,0,0,0,0,1,3,4,9,9,5,6,5,6,6,9,1,6
UBC,2007,W,EECE,253,,202,CIRCUIT ANLY II,"Tang, Shuo",59,66.59,13.67,98,39,54,5,0,0,0,0,0,0,1,4,5,7,4,7,10,6,4,6,4,3,3
UBC,2007,W,EECE,571,T,103,ELEC SEM&SP PROB,"Tang, Shuo",8,85.75,2.76,90,81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1
UBC,2009,W,EECE,253,,203,CIRCUIT ANLY II,"Tang, Shuo",102,73.04,13.26,100,42,98,3,1,0,0,0,0,0,0,3,3,6,5,13,4,14,9,10,17,10,10
UBC,2009,W,EECE,375,,101,INST DESG LAB,"Abolmaesumi, Purang;Tang, Shuo",19,87.74,7.42,100,75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7
UBC,2009,W,EECE,375,,201,INST DESG LAB,"Abolmaesumi, Purang;Tang, Shuo",39,80.92,7.04,94,70,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,10,5,6
UBC,2009,W,EECE,474,,101,INST DESIGN LAB,"Abolmaesumi, Purang;Tang, Shuo",31,86.68,10.15,100,60,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,6,5,14
UBC,2009,W,EECE,474,,201,INST DESIGN LAB,"Abolmaesumi, Purang;Tang, Shuo",29,85.28,9.07,100,70,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,9,3,10
UBC,2009,W,EECE,490,T,104,TPCS ELEC&CMP I,"Tang, Shuo",4,77.25,11.32,87,61,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
UBC,2009,W,EECE,571,T,103,ELEC SEM&SP PROB,"Tang, Shuo",5,85.6,3.05,90,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
UBC,2010,W,EECE,253,,203,CIRCUIT ANLY II,"Tang, Shuo",111,74.94,12.77,99,42,105,3,3,0,0,0,0,0,0,3,3,1,6,12,9,12,16,8,14,8,19
UBC,2010,W,EECE,361,,101,SIGNALS&SYS LAB,"Tang, Shuo",46,80.35,7.11,96,66,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,16,9,4
UBC,2010,W,EECE,571,T,103,ELEC SEM&SP PROB,"Tang, Shuo",8,82.25,7.89,94,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
UBC,2011,W,EECE,253,,203,CIRCUIT ANLY II,"Tang, Shuo",57,70.89,12.24,97,50,56,0,1,0,0,0,0,0,0,0,0,6,3,8,7,7,2,5,11,3,4
UBC,2011,W,EECE,361,,201,SIGNALS&SYS LAB,"Tang, Shuo",75,83.16,8.64,97,55,75,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,9,6,16,22,17
UBC,2011,W,EECE,571,T,103,ELEC SEM&SP PROB,"Tang, Shuo",11,80.55,8.94,91,60,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,5,1
UBC,2012,W,EECE,253,,203,CIRCUIT ANLY II,"Tang, Shuo",151,70.37,15.89,100,23,136,8,4,0,3,0,0,1,5,2,8,19,8,13,13,13,14,7,17,14,18
UBC,2012,W,EECE,253,,T2C,CIRCUIT ANLY II,"Tang, Shuo",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2012,W,EECE,361,,101,SIGNALS&SYS LAB,"Tang, Shuo",41,82.22,6.4,92,70,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,12,9,7
UBC,2012,W,EECE,490,T,104,TPCS ELEC&CMP I,"Tang, Shuo",7,81.29,9.11,89,65,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0
UBC,2012,W,EECE,571,T,103,ELEC SEM&SP PROB,"Tang, Shuo",8,86.43,4.24,93,82,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
