Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,LATN,100,,004,FIRST-YR LATIN,"McElduff, Siobhan",28,71.26,20.17,96,27,20,3,5,0,0,0,0,1,2,0,3,0,2,2,2,2,1,1,2,4,4
UBC,2007,W,LATN,401,A,002,LATIN PROSE,"McElduff, Siobhan",13,78.92,10.4,91,59,12,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,1,3
UBC,2007,W,LATN,402,B,001,LATIN VERSE,"McElduff, Siobhan",8,79.63,15.35,96,59,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3
UBC,2009,W,CLST,105,,001,GREK & ROMN MYTH,"McElduff, Siobhan",120,75.73,9.71,95,47,118,1,1,0,0,0,0,0,0,1,1,2,6,2,12,17,10,22,25,16,6
UBC,2009,W,CLST,312,,001,WOMN ROMAN,"McElduff, Siobhan",36,77.58,11.27,90,26,35,1,0,0,0,0,0,1,0,0,1,0,0,0,2,4,6,5,9,7,2
UBC,2009,W,CLST,401,,001,SEM CLASSCL HIST,"McElduff, Siobhan",12,79,14.79,89,40,11,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,6,0
UBC,2009,W,LATN,200,,001,SECOND YR LATIN,"McElduff, Siobhan;Rae, Andrea Lyn",20,66.21,22.98,94,5,14,5,0,1,0,1,0,0,1,3,5,1,0,0,2,1,3,2,1,1,3
UBC,2009,W,LATN,402,B,001,LATIN VERSE,"McElduff, Siobhan",10,81.3,6.15,92,73,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,1
UBC,2009,W,LATN,502,B,001,LATIN VERSE,"McElduff, Siobhan",4,81,1.41,83,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
UBC,2010,W,CLST,105,,001,GREK & ROMN MYTH,"McElduff, Siobhan",152,78.09,9.03,92,45,149,1,2,0,0,0,0,0,0,1,1,2,4,6,6,9,21,25,41,27,8
UBC,2010,W,CLST,105,,002,GREK & ROMN MYTH,"McElduff, Siobhan",165,73.6,13.9,95,2,153,6,6,0,0,1,1,1,0,3,6,5,9,12,8,13,20,20,39,19,8
UBC,2010,W,LATN,301,,001,LIT CLASSICL PRD,"Gorrie, Charmaine;McElduff, Siobhan",8,76.38,12.59,93,56,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,2,1
UBC,2010,W,LATN,401,A,001,LATIN PROSE,"McElduff, Siobhan",10,83.6,4.27,90,78,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1
UBC,2010,W,LATN,501,A,001,LATIN PROSE,"McElduff, Siobhan",4,88,1.63,90,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
UBC,2012,W,CLST,105,,002,GREK & ROMN MYTH,"McElduff, Siobhan",152,75.78,13.3,98,29,141,9,2,0,0,0,0,1,4,4,9,1,3,8,11,12,22,14,25,32,13
UBC,2012,W,CLST,260,,001,GREEK ROMAN GAME,"McElduff, Siobhan",86,76.8,11.26,91,30,83,2,0,1,0,0,0,0,2,0,2,3,1,3,2,8,9,14,25,13,5
UBC,2012,W,CLST,319,,001,THE ROMAN ARMY,"McElduff, Siobhan",67,75.76,13.09,93,39,62,4,1,0,0,0,0,0,1,3,4,1,3,2,5,6,5,8,11,14,7
UBC,2012,W,CNRS,503,D,002,STUD LIT ART,"McElduff, Siobhan",5,87.8,3.11,92,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
UBC,2013,W,CLST,105,,002,GREK & ROMN MYTH,"McElduff, Siobhan",138,70.82,17.35,96,0,124,13,1,0,0,1,3,0,2,7,13,7,9,4,12,14,11,13,24,21,9
UBC,2013,W,CLST,260,,001,GREEK ROMAN GAME,"McElduff, Siobhan",58,78.2,9.81,94,44,55,1,2,0,0,0,0,0,0,1,1,0,1,4,2,3,6,7,17,12,3
UBC,2013,W,CLST,401,A,001,SEM CLASSCL HIST,"McElduff, Siobhan",17,81.35,5.85,88,67,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,7,0
UBC,2013,W,LATN,401,E,001,LATIN PROSE,"McElduff, Siobhan",5,86.4,8.08,94,74,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
UBC,2014,W,BIOL,448,G,201,DIRECTED STUDIES,"McPhee, Siobhan;Nixon, Denver;Oberg, Gunilla",16,78,7.78,87,60,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,7,3,0
UBC,2014,W,CLST,260,,001,GREEK ROMAN GAME,"McElduff, Siobhan",116,71.06,16.29,95,16,104,8,4,0,0,0,1,3,1,3,8,7,7,10,9,6,13,11,20,11,10
UBC,2014,W,CNRS,503,C,001,STUD LIT ART,"McElduff, Siobhan",4,87.5,1.73,90,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
UBC,2014,W,GEOG,121,,V01,GEOG MOD GLOB I,"McPhee, Siobhan;Pickren, Graham",82,68.51,14.92,91,27,71,9,2,0,0,0,0,3,4,2,9,2,2,5,10,11,13,10,12,5,1
UBC,2014,W,GEOG,122,,V03,GEOG MOD GLOB II,"McPhee, Siobhan",70,74.37,7.17,89,56,70,0,0,0,0,0,0,0,0,0,0,0,2,2,8,10,15,16,13,4,0
UBC,2014,W,GEOG,364,,201,"GLBL, CITY, REGN","McPhee, Siobhan;Pickren, Graham",58,72.4,16.97,93,0,52,3,2,0,0,2,0,0,0,1,3,0,1,2,5,8,13,7,9,2,5
UBC,2014,W,GEOG,371,,101,RES STR HUM GEOG,"McPhee, Siobhan",59,74.28,7.17,87,49,56,1,1,1,0,0,0,0,0,1,1,0,0,3,3,13,13,10,11,3,0
UBC,2014,W,GEOG,379,B,201,FLD CRS HUM GEOG,"McPhee, Siobhan",16,80.69,2.27,85,78,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,2,0
UBC,2014,W,LATN,401,D,001,LATIN PROSE,"McElduff, Siobhan",4,88.5,8.35,99,79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
UBC,2014,W,LATN,402,C,001,LATIN VERSE,"McElduff, Siobhan",6,74.83,34.46,97,8,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3
UBC,2014,W,VANT,148,,V98,VANT COL PROJECT,"Lam, Mark;McPhee, Siobhan;Pickren, Graham",18,62.07,20.67,75,7,13,2,3,0,0,1,1,0,0,0,2,0,0,1,4,2,6,0,0,0,0
UBC,2015,W,CLST,319,,001,THE ROMAN ARMY,"McElduff, Siobhan",57,78.09,12.41,99,19,54,2,1,0,0,0,1,0,0,1,2,1,1,2,0,4,2,8,22,10,4
UBC,2015,W,CLST,320,,001,SLVRY ANC GRK RM,"McElduff, Siobhan",32,84.33,6.67,98,72,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,10,6
UBC,2015,W,CLST,401,B,001,SEM CLASSCL HIST,"McElduff, Siobhan",19,85.75,4.95,93,75,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,5
UBC,2015,W,GEOG,121,,V01,GEOG ENVIRO GLOB,"McPhee, Siobhan",128,66,13.84,87,14,110,13,5,0,0,0,1,5,4,3,13,3,6,8,18,22,29,15,4,5,0
UBC,2015,W,GEOG,122,,V01,GEOG MOD GLOB,"McPhee, Siobhan",115,72.81,15.01,90,0,108,5,2,0,0,2,2,1,0,0,5,2,3,2,4,11,24,27,25,8,2
UBC,2015,W,GEOG,371,,101,RES STR HUM GEOG,"McPhee, Siobhan",54,81.06,6.31,98,68,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,19,7,6
UBC,2015,W,GEOG,379,B,201,FLD CRS HUM GEOG,"McPhee, Siobhan",25,81.04,6.27,90,60,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,8,8,2
UBC,2015,W,LATN,401,C,001,LATIN PROSE,"McElduff, Siobhan",6,89.33,6.06,96,79,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
UBC,2016,W,GEOG,121,,V01,GEOG ENVIRO GLOB,"McPhee, Siobhan",139,58.05,18.92,87,0,112,26,1,0,0,6,4,4,4,8,26,12,15,24,15,15,11,10,7,3,0
UBC,2016,W,GEOG,352,,201,URBANZTN GLB STH,"McPhee, Siobhan",93,76.44,5.36,86,58,93,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,24,27,26,4,0
UBC,2016,W,GEOG,498,,101,GEOG OF MID EAST,"McPhee, Siobhan",49,76.29,4.7,86,68,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,10,14,2,0
UBC,2017,W,GEOG,121,,V01,GEOG ENVIRO GLOB,"McPhee, Siobhan",60,64.2,14.31,85,0,57,3,0,0,0,1,1,1,0,0,3,3,8,7,9,10,10,7,2,1,0
UBC,2017,W,GEOG,121,,V02,GEOG ENVIRO GLOB,"McPhee, Siobhan",49,66,11.08,85,11,47,1,1,0,0,0,1,0,0,0,1,3,4,6,8,10,10,4,1,1,0
UBC,2017,W,GEOG,122,,V01,GEOG MOD GLOB,"McPhee, Siobhan",60,70.05,11.35,85,9,58,1,1,0,0,1,0,0,0,0,1,3,3,1,9,11,11,11,8,1,0
UBC,2017,W,GEOG,122,,V02,GEOG MOD GLOB,"McPhee, Siobhan",45,70.18,11.27,83,18,43,1,1,0,0,0,1,0,0,0,1,3,0,2,6,8,10,6,8,0,0
UBC,2017,W,GEOG,352,,201,URBANZTN GLB STH,"McPhee, Siobhan",98,75.33,9.12,86,14,97,1,0,0,0,0,1,0,0,0,1,1,2,3,6,1,20,30,30,4,0
UBC,2017,W,GEOG,498,,101,GEOG OF MID EAST,"McPhee, Siobhan",20,74.3,11.67,88,37,19,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,4,4,2,5,0
UBC,2018,W,CLST,360,E,001,LF SOC CLAS ANTQ,"McElduff, Siobhan",33,84.67,4.93,91,69,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,7,15,4
UBC,2018,W,EOSC,210,,101,EARTH SCI ENG,"Beckie, Roger;McKinnon, Mika;Whadcoat, Siobhan",197,71.89,10.79,94,0,193,4,0,0,0,1,0,0,0,3,4,6,11,16,23,26,38,27,23,20,3
UBC,2018,W,GEOG,121,,V01,GEOG ENVIRO GLOB,"McPhee, Siobhan",77,69.58,10.41,85,22,74,3,0,0,0,0,0,1,1,1,3,2,3,5,12,9,23,12,7,1,0
