Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,HCEP,580,L,002,DIR STUDIES,"Spittal, Patricia",9,91.83,4.67,96,86,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
UBC,2007,W,HCEP,580,L,002,DIR STUDIES,"Spittal, Patricia",4,89.75,5.19,96,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,2009,W,SPPH,536,,002,ABORIG PB HEALTH,"Spittal, Patricia",6,67,44.67,90,0,3,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
UBC,2010,S,SPPH,536,,DL3,ABORIG PB HEALTH,"Spittal, Patricia",8,91.25,6.09,97,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5
UBC,2010,W,SPPH,519,,002,QUAL MTH RES DES,"Spittal, Patricia",14,86.83,4.09,94,80,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3
UBC,2010,W,SPPH,536,,DL2,ABORIG PB HEALTH,"Spittal, Patricia",8,87.67,2.25,90,84,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
UBC,2011,W,SPPH,519,,DL2,QUAL MTH RES DES,"Spittal, Patricia",11,89,6.26,96,76,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
UBC,2011,W,SPPH,536,,002,ABORIG PB HEALTH,"Spittal, Patricia",6,87.5,1.52,89,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
UBC,2012,S,SPPH,536,,DL3,ABORIG PB HEALTH,"Spittal, Patricia",13,87.91,3.88,93,82,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
UBC,2012,W,SPPH,519,,DL2,QUAL MTH RES DES,"Spittal, Patricia",8,86.29,2.21,89,83,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
UBC,2012,W,SPPH,536,,002,ABORIG PB HEALTH,"Spittal, Patricia",14,87.15,4.45,94,80,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6
UBC,2013,W,SPPH,519,,DL2,QUAL MTH RES DES,"Spittal, Patricia",10,86.11,4.11,93,80,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2
UBC,2015,W,SPPH,536,,DL2,ABORIG PB HEALTH,"Spittal, Patricia",15,86.79,4.51,95,78,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,4
UBC,2016,W,SPPH,536,,DL2,ABORIG PB HEALTH,"Spittal, Patricia",15,87,3.61,91,78,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,3
UBC,2017,W,SPPH,536,,DL2,ABORIG PB HEALTH,"Spittal, Patricia",14,86.86,4.79,94,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,4
UBC,2018,W,SPPH,536,,DL2,ABORIG PB HEALTH,"Spittal, Patricia",8,89.13,6.33,98,77,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5
