Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,IEST,505,B,102,EURO STUDIES,"Gaenzle, Stefan",7,85,2.16,88,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
UBC,2005,W,PHYS,536,,001,ADV RAD BIOPHYS,"Reinsberg, Stefan",4,86.75,2.36,90,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
UBC,2005,W,POLI,327,,001,EUROPEAN INTEGRT,"Gaenzle, Stefan",65,71.53,14.83,90,0,60,4,1,0,0,1,1,0,1,1,4,0,1,1,6,9,17,13,7,5,1
UBC,2005,W,POLI,460,B,001,FRGN POLICY ANLY,"Gaenzle, Stefan",16,79.57,12.39,92,40,13,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,4,4,1
UBC,2006,W,ENGL,320,,001,HIST ENGL LANG,"Dollinger, Stefan",37,78.97,10.41,97,55,34,0,3,0,0,0,0,0,0,0,0,0,1,2,0,4,6,5,5,3,8
UBC,2006,W,IEST,505,B,400,EURO STUDIES,"Gaenzle, Stefan",6,77.4,3.44,83,74,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0
UBC,2006,W,PHYS,405,,101,RADIATION BIOPHY,"Reinsberg, Stefan",30,70.07,15.42,90,34,26,3,1,0,0,0,0,0,1,2,3,3,2,3,1,2,1,3,6,3,2
UBC,2006,W,PHYS,536,,001,ADV RAD BIOPHYS,"Reinsberg, Stefan",8,84.38,8.02,96,72,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2
UBC,2006,W,PHYS,539,,201,RDTN DOSIMETRY,"Duzenli, Cheryl;Reinsberg, Stefan",6,87,2.97,90,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
UBC,2006,W,POLI,327,,001,EUROPEAN INTEGRT,"Gaenzle, Stefan",64,73.17,13.09,90,14,61,3,0,0,0,0,2,0,0,1,3,1,1,2,2,8,13,16,13,4,1
UBC,2006,W,POLI,460,B,001,FRGN POLICY ANLY,"Gaenzle, Stefan",16,80.93,3.53,87,74,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,1,0
UBC,2007,W,ENGL,229,D,004,LANG / RHETORIC,"Dollinger, Stefan",33,76.16,17.23,100,0,31,1,1,0,0,1,0,0,0,0,1,1,2,0,0,4,2,5,6,8,3
UBC,2007,W,ENGL,323,A,001,VARIETIES ENGL,"Dollinger, Stefan",44,76.23,12.43,97,50,43,0,1,0,0,0,0,0,0,0,0,2,1,3,5,6,7,0,6,4,9
UBC,2007,W,IEST,505,B,102,EURO STUDIES,"Gaenzle, Stefan",6,80,4.06,85,76,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0
UBC,2007,W,IEST,505,B,400,EURO STUDIES,"Gaenzle, Stefan",11,78.18,5.86,86,68,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,0
UBC,2007,W,PHYS,405,,101,RADIATION BIOPHY,"Reinsberg, Stefan",21,67.7,13.99,93,38,18,2,1,0,0,0,0,0,1,1,2,1,1,4,2,2,1,2,2,2,1
UBC,2007,W,PHYS,536,,101,ADV RAD BIOPHYS,"Reinsberg, Stefan",7,88.33,4.89,95,82,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
UBC,2007,W,PHYS,539,,201,RDTN DOSIMETRY,"Duzenli, Cheryl;Moiseenko, Vitali;Reinsberg, Stefan",6,85.67,5.82,96,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
