Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,BAAC,500,,610,FINANCIAL REPT'G,"Alisharan, Steve",7,75.86,5.05,82,68,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0
UBC,2002,W,BAAC,500,,801,FINANCIAL REPT'G,"Alisharan, Steve",4,67,6.08,71,60,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
UBC,2002,W,CRWR,409,,901,WRITE SHORT STRY,"Galloway, Steve",10,91.4,5.62,98,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7
UBC,2002,W,PSYC,304,,99A,BRAIN & BEHVIOUR,"Barnes, Steve",40,75,5.2,81,72,3,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
UBC,2002,W,PSYC,304,,99B,BRAIN & BEHVIOUR,"Barnes, Steve",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,PSYC,304,,99C,BRAIN & BEHVIOUR,"Barnes, Steve",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,PSYC,304,,GIS,BRAIN & BEHVIOUR,"Barnes, Steve",62,62.05,24.39,89,0,47,8,2,0,5,6,0,0,0,2,8,4,4,3,8,4,9,4,4,7,0
UBC,2002,W,SSED,320,,108,C&I SOC STD ELEM,"Collins, Steve",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,BAAC,500,,610,FINANCIAL REPT'G,"Alisharan, Steve",7,80.43,7.09,89,70,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0
UBC,2003,W,CRWR,497,,004,FICTION TUTORIAL,"Galloway, Steve",10,89,12.68,98,55,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8
UBC,2003,W,EOSC,223,,201,FIELD TECHNIQUES,"PHILLIPS, STEVE",44,77.91,5.65,89,67,43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,8,11,10,7,0
UBC,2003,W,PSYC,304,,99A,BRAIN & BEHVIOUR,"Barnes, Steve;Christie, Brian",22,78,0,78,78,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UBC,2003,W,PSYC,304,,99B,BRAIN & BEHVIOUR,"Barnes, Steve;Christie, Brian",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,PSYC,304,,99C,BRAIN & BEHVIOUR,"Barnes, Steve;Christie, Brian",11,,,,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,PSYC,304,,GIS,BRAIN & BEHVIOUR,"Barnes, Steve;Christie, Brian;Pinel, John",53,70.19,20.49,96,0,37,5,1,0,10,2,0,0,0,3,5,2,3,1,2,4,4,3,9,5,4
UBC,2003,W,PSYC,366,,001,METH IN RESEARCH,"Barnes, Steve;Galea, Liisa Ann Margaret",56,72.95,8.1,96,55,56,0,0,0,0,0,0,0,0,0,0,0,2,5,6,9,16,6,9,1,2
UBC,2003,W,SSED,320,,101,C&I SOC STD ELEM,"Collins, Steve",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
