Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2018,W,FREN,102,,006,Beginner's French I,Alexandra Tonnel,32,75.3125,18.755536817,95.0,10.0,2,1,0,3,1,4,1,3,3,10,4,,,
UBCO,2018,W,FREN,103,,104,Beginner's French II,Alexandra Tonnel,28,74.035714286,19.326592968,96.0,19.0,3,2,1,1,1,0,1,4,4,7,4,,,
UBCO,2019,S,FREN,102,,001,Beginner's French I,Alexandra Tonnel,29,75.931034483,21.689251839,98.0,0.0,2,2,0,0,2,1,1,3,6,7,5,,,
UBCO,2019,W,FREN,101,,003,Elementary French I,Alexandra Tonnel;Milka Beck,35,76.942857143,11.633983833,96.0,55.0,0,0,2,3,4,2,6,4,4,4,6,,,
UBCO,2019,W,FREN,101,,004,Elementary French I,Alexandra Tonnel;Milka Beck;Stephanie Tolman,33,75.0,11.450982491,94.0,50.0,0,3,0,3,4,2,3,5,5,6,2,,,
UBCO,2019,W,FREN,102,,004,Elementary French II,Alexandra Tonnel,24,71.125,15.039982944,96.0,39.0,3,1,1,2,0,3,7,0,2,2,3,,,
UBCO,2019,W,FREN,122,,001,Contemporary French Language and Literature I,Alexandra Tonnel,33,71.666666667,12.810314854,88.0,27.0,1,2,3,1,1,7,5,1,7,5,0,,,
UBCO,2019,W,FREN,123,,001,Contemporary French Language and Literature II,Alexandra Tonnel,20,78.15,13.796548005,92.0,26.0,1,0,0,0,1,0,3,5,5,3,2,,,
UBCO,2019,W,FREN,215,,001,Second-Year Oral French Practice II,Alexandra Tonnel,17,75.588235294,9.830175631,91.0,57.0,0,0,1,2,1,1,2,5,2,2,1,,,
UBCO,2020,S,FREN,101,,001,Elementary French I,Alexandra Tonnel,33,76.212121212,24.033515109,97.0,0.0,3,2,0,0,2,0,3,1,5,8,9,,,
UBCO,2020,W,FREN,101,,002,Elementary French I,Alexandra Tonnel;Francis Langevin;Jelena Jovicic,31,81.612903226,24.34293521,99.0,0.0,2,1,0,1,0,0,1,3,4,2,17,,,
UBCO,2020,W,FREN,101,,003,Elementary French I,Alexandra Tonnel;Ramine Adl,27,85.259259259,12.726690888,99.0,51.0,0,2,0,1,0,0,0,2,5,4,13,,,
UBCO,2020,W,FREN,101,,004,Elementary French I,Alexandra Tonnel;Charlotte Favareille,28,88.035714286,6.619176086,98.0,72.0,0,0,0,0,0,0,2,1,4,9,12,,,
UBCO,2020,W,FREN,102,,004,Elementary French II,Alexandra Tonnel;Ramine Adl,26,86.269230769,9.357596667,98.0,62.0,0,0,0,1,0,0,4,0,4,4,13,,,
UBCO,2020,W,FREN,103,,002,Upper Elementary French I,Alexandra Tonnel;Charlotte Favareille;Ramine Adl,18,79.833333333,9.966119075,95.0,57.0,0,0,1,0,0,3,3,1,3,5,2,,,
UBCO,2020,W,FREN,104,,002,Upper Elementary French II,Alexandra Tonnel;Jelena Jovicic;Ramine Adl,23,75.47826087,10.210821199,92.0,48.0,1,0,0,0,2,7,2,2,4,4,1,,,
UBCO,2020,W,FREN,122,,001,Intermediate French I,Alexandra Tonnel;Charlotte Favareille,36,80.166666667,11.340194002,95.0,42.0,1,0,1,1,3,0,2,3,12,6,7,,,
UBCO,2020,W,FREN,123,,001,Intermediate French II,Alexandra Tonnel,24,83.708333333,8.594635165,95.0,63.0,0,0,0,1,0,2,0,5,2,6,8,,,
UBCO,2020,W,FREN,215,,001,Oral French Practice II,Alexandra Tonnel,19,82.578947368,9.287481356,92.0,57.0,0,0,1,1,0,0,1,1,4,7,4,,,
UBCO,2021,S,FREN,101,,001,Elementary French I,Alexandra Tonnel;Christopher Gordon,30,87.366666667,9.7148423,98.0,52.0,0,1,0,0,0,1,2,0,5,4,17,,,
UBCO,2021,S,FREN,103,,001,Upper Elementary French I,Alexandra Tonnel;Francis Langevin,33,80.818181818,8.342116583,94.0,65.0,0,0,0,0,2,2,4,7,6,5,7,,,
UBCO,2021,W,FREN,101,,003,Elementary French I,Alexandra Tonnel;Ramine Adl,31,82.548387097,12.682898485,98.0,54.0,0,1,2,1,0,1,3,2,5,3,13,,,
UBCO,2021,W,FREN,101,,004,Elementary French I,Alexandra Tonnel,34,87.235294118,7.002418732,96.0,70.0,0,0,0,0,0,1,2,2,6,9,14,,,
UBCO,2021,W,FREN,103,,002,Upper Elementary French I,Alexandra Tonnel;Christopher Gordon,28,79.035714286,15.271571611,98.0,33.0,2,0,1,0,0,2,2,3,6,7,5,,,
UBCO,2021,W,FREN,104,,002,Upper Elementary French II,Alexandra Tonnel;Francis Langevin,14,67.928571429,25.35430258,92.0,0.0,2,1,0,0,2,1,3,0,0,3,2,,,
UBCO,2021,W,FREN,104,,003,Upper Elementary French II,Alexandra Tonnel,30,77.366666667,11.577276594,97.0,54.0,0,1,2,1,0,6,6,4,1,2,7,,,
UBCO,2021,W,FREN,122,,001,Intermediate French I,Alexandra Tonnel;Charlotte Favareille,26,78.192307692,11.606960776,97.0,60.0,0,0,0,3,3,3,3,2,3,4,5,,,
UBCO,2021,W,FREN,123,,001,Intermediate French II,Alexandra Tonnel,19,73.684210526,16.066018768,96.0,44.0,2,1,2,0,0,1,5,1,1,2,4,,,
UBCO,2021,W,FREN,215,,001,Oral French Practice II,Alexandra Tonnel;Charlotte Favareille,22,78.0,20.033305602,95.0,1.0,1,1,0,0,2,0,1,3,6,3,5,,,
UBCO,2021,S,FREN,103,,001,Upper Elementary French I,Alexandra Tonnel,33,80.8,,94.0,65.0,,,,,,,,7,6,,7,80.0,88.0,76.0
UBCO,2021,W,FREN,101,,003,Elementary French I,Alexandra Tonnel,31,82.5,,98.0,54.0,,,,,,,,,,,13,85.0,92.5,75.5
UBCO,2021,W,FREN,101,,004,Elementary French I,Alexandra Tonnel,34,87.2,,96.0,70.0,,,,,,,,,6,9,14,88.0,93.0,84.0
UBCO,2021,W,FREN,104,,003,Upper Elementary French II,Alexandra Tonnel,30,77.4,,97.0,54.0,,,,,,6,6,,,,7,75.0,86.8,71.0
UBCO,2021,W,FREN,122,,001,Intermediate French I,Alexandra Tonnel,26,78.2,,97.0,60.0,,,,,,,,,,,,77.5,87.5,68.3
UBCO,2021,W,FREN,123,,001,Intermediate French II,Alexandra Tonnel,19,73.7,,96.0,44.0,,,,,,,,,,,,73.0,86.5,64.0
UBCO,2021,W,FREN,215,,001,Oral French Practice II,Charlotte Favareille;Alexandra Tonnel,22,78.0,,95.0,1.0,,,,,,,,,6,,,84.0,88.5,77.3
UBCO,2022,S,FREN,103,,001,Upper Elementary French I,Alexandra Tonnel,23,78.4,,99.0,51.0,0,1,2,1,1,1,4,2,2,3,6,78.0,89.5,71.0
UBCO,2022,W,FREN,101,,004,Elementary French I,Alexandra Tonnel,33,86.9,,98.0,65.0,0,0,0,0,2,2,1,1,3,8,16,89.0,94.0,84.0
UBCO,2022,W,FREN,103,,001,Upper Elementary French I,Alexandra Tonnel,22,75.6,,96.0,1.0,2,0,0,0,1,0,4,3,1,5,6,83.5,89.8,73.3
UBCO,2022,W,FREN,104,,002,Upper Elementary French II,Alexandra Tonnel,17,76.7,,93.0,42.0,1,1,0,1,0,1,0,4,5,2,2,80.0,84.0,76.0
UBCO,2022,W,FREN,104,,003,Upper Elementary French II,Alexandra Tonnel,35,76.3,,96.0,32.0,2,0,0,5,1,2,4,4,7,4,6,79.0,85.0,69.0
UBCO,2022,W,FREN,122,,001,Intermediate French I,Alexandra Tonnel,39,85.6,,99.0,44.0,1,0,0,0,2,0,3,3,6,8,16,87.0,94.5,81.0
UBCO,2022,W,FREN,123,,001,Intermediate French II,Alexandra Tonnel,25,84.1,,96.0,65.0,0,0,0,0,1,2,2,2,3,7,8,87.0,90.0,79.0
UBCO,2022,W,FREN,215,,001,Oral French Practice II,Alexandra Tonnel,21,81.8,,93.0,58.0,0,0,1,0,0,1,1,4,4,8,2,83.0,87.0,77.0
UBCO,2023,W,FREN,104,,001,Upper Elementary French II,Alexandra Tonnel,23,81.85,,97.0,45.0,2,0,0,2,0,0,1,1,1,4,9,89.0,92.0,78.0
UBCO,2023,W,FREN,104,,003,Upper Elementary French II,Alexandra Tonnel,20,74.0,,94.0,53.0,0,1,3,3,0,0,2,3,3,3,2,77.0,83.75,61.0
