Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,JAPN,102,,004,BEGIN JAPN II,"Tsuda, Asami",18,79.11,11.5,94,52,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,1,2,3,4
UBC,2011,W,JAPN,102,,006,BEGIN JAPN II,"Tsuda, Asami",18,75.53,13.01,95,46,16,1,1,0,0,0,0,0,0,1,1,0,0,1,3,2,1,3,1,3,2
UBC,2011,W,JAPN,103,,003,BEGIN JAPN II,"Tsuda, Asami",17,73.82,11.22,93,50,17,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,3,2,4,0,2
UBC,2011,W,JAPN,103,,004,BEGIN JAPN II,"Tsuda, Asami",20,75.37,11.97,90,51,19,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,2,0,7,4,1
UBC,2011,W,JAPN,103,,006,BEGIN JAPN II,"Tsuda, Asami",12,77.75,8.86,93,68,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,2,2
UBC,2011,W,JAPN,314,,001,JAPN PROF LIFE I,"Tsuda, Asami",26,75.65,8.24,86,56,26,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,8,6,3,0
UBC,2011,W,JAPN,315,,001,JAPN PROF LIF II,"Tsuda, Asami",13,74.62,4.65,82,65,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,2,0,0
UBC,2012,S,JAPN,213,,951,INTMED JAPN IIB,"Tsuda, Asami",15,75.62,9.69,87,51,13,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,3,2,3,2,0
UBC,2012,W,JAPN,102,,003,BEGIN JAPN II,"Tsuda, Asami",24,72.96,14.22,94,46,23,1,0,0,0,0,0,0,0,1,1,2,2,2,2,0,2,2,5,4,2
UBC,2012,W,JAPN,102,,004,BEGIN JAPN II,"Tsuda, Asami",23,70.96,14.07,94,50,23,0,0,0,0,0,0,0,0,0,0,3,4,1,3,1,2,2,1,4,2
UBC,2012,W,JAPN,102,,006,BEGIN JAPN II,"Tsuda, Asami",21,74.75,9.01,92,60,20,0,1,0,0,0,0,0,0,0,0,0,0,2,3,2,3,5,1,2,2
UBC,2012,W,JAPN,103,,003,BEGIN JAPN II,"Tsuda, Asami",21,76.76,10,95,60,21,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,0,6,4,1
UBC,2012,W,JAPN,103,,004,BEGIN JAPN II,"Tsuda, Asami",16,75.06,11.69,93,52,16,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,3,3,1,2
UBC,2012,W,JAPN,103,,006,BEGIN JAPN II,"Tsuda, Asami",11,78.7,9.25,94,63,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,0,2
UBC,2012,W,JAPN,314,,001,JAPN PROF LIFE I,"Tsuda, Asami",16,73.54,6.44,85,61,13,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,2,1,0
UBC,2012,W,JAPN,315,,001,JAPN PROF LIF II,"Tsuda, Asami",6,76.5,4.23,82,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0
UBC,2013,S,JAPN,101,,951,BEGIN JAPN I,"Tsuda, Asami",11,76.55,7.62,87,63,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,2,2,0
UBC,2013,W,JAPN,100,,007,BEGIN JAPN I,"Tsuda, Asami",22,79.91,11.44,97,56,22,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,3,5,3,5
UBC,2013,W,JAPN,100,,010,BEGIN JAPN I,"Tsuda, Asami",16,69.73,12.09,92,50,15,0,1,0,0,0,0,0,0,0,0,2,1,3,0,2,0,4,2,0,1
UBC,2013,W,JAPN,100,,023,BEGIN JAPN I,"Tsuda, Asami",24,57.71,21.18,99,17,18,6,0,0,0,0,1,3,0,2,6,4,3,1,2,1,2,1,2,0,2
UBC,2013,W,JAPN,100,,024,BEGIN JAPN I,"Tsuda, Asami",24,72.33,13.92,88,44,18,3,2,1,0,0,0,0,0,3,3,0,0,2,1,2,0,5,6,2,0
UBC,2013,W,JAPN,101,,001,BEGIN JAPN I,"Tsuda, Asami",16,70.93,21.68,89,0,14,1,1,0,0,1,0,0,0,0,1,0,0,2,0,4,0,2,2,4,0
UBC,2013,W,JAPN,102,,006,BEGIN JAPN II,"Tsuda, Asami",15,80.53,9.5,94,60,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,4,2
UBC,2013,W,JAPN,314,,001,JAPN PROF LIFE I,"Tsuda, Asami",17,74.93,8.06,84,61,14,0,1,2,0,0,0,0,0,0,0,0,0,2,2,1,0,4,5,0,0
UBC,2013,W,JAPN,315,,001,JAPN PROF LIF II,"Tsuda, Asami",10,76.13,7.1,84,65,8,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,0,0
UBC,2014,S,JAPN,211,,921,INT JPN I B,"Tsuda, Asami",14,77.86,8.22,87,64,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,6,0
UBC,2014,W,JAPN,314,,001,JAPN PROF LIFE I,"Tsuda, Asami",20,70.74,13.35,85,28,18,1,1,0,0,0,0,1,0,0,1,1,1,1,1,4,2,2,5,1,0
UBC,2014,W,JAPN,315,,001,JAPN PROF LIF II,"Tsuda, Asami",15,77,7.23,87,65,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,5,2,0
UBC,2015,S,JAPN,102,,951,BEGIN JAPN II,"Tsuda, Asami",17,75.24,12.05,93,55,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,5,2,2
UBC,2015,S,JAPN,103,,951,BEGIN JAPN II,"Tsuda, Asami",16,77.27,10.96,93,56,15,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,3,2,4,1
UBCV,2014,S,JAPN,211,,921,Intermediate Japanese I B,Asami Tsuda,14,77.85714286,8.216841456,87.0,64.0,,,,,,,,,,,0,0,0,0,,,,,,6,0
UBCV,2014,W,JAPN,102,,003,Beginning Japanese II A,Asami Tsuda,28,76.17857143,11.46348009,95.0,56.0,,,,,,,,,,,0,0,,,,,,,,5,
UBCV,2014,W,JAPN,103,,003,Beginning Japanese II B,Asami Tsuda,25,78.52,12.3697211,94.0,53.0,,,,,,,,,,,0,,,,,,5,,,,8
UBCV,2014,W,JAPN,314,,001,Japanese for Professional Life I,Asami Tsuda,19,70.73684211,13.34933251,85.0,28.0,,,,,,,,,,,,,,,,,,,5,,0
UBCV,2014,W,JAPN,315,,001,Japanese for Professional Life II,Asami Tsuda,15,76.26666667,7.525828542,87.0,65.0,,,,,,,,,,,0,0,0,0,,,,,5,,0
UBCV,2015,S,JAPN,102,,951,Beginning Japanese II A,Asami Tsuda,17,75.23529412,12.05471594,93.0,55.0,,,,,,,,,,,0,0,,,,,,,5,,
UBCV,2015,S,JAPN,103,,951,Beginning Japanese II B,Asami Tsuda,15,77.26666667,10.95749363,93.0,56.0,,,,,,,,,,,0,0,,,,,,,,,
