Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2020,W,JRNL,420,,001,Decoding Social Media,Alfred Hermida;Ori Tenenboim;Priya Manjeshwar;Saranaz Barforoush;Tamara Vodsedalek,10,80.7,10.055954565,93.0,67.0,0,0,0,0,2,0,1,2,1,1,3,,,
UBCV,2020,W,JRNL,520,A,001,Special Topics in Contemporary Journalism,Ori Tenenboim;Priya Manjeshwar;Saranaz Barforoush;Tamara Vodsedalek,14,85.5,8.327433809,94.0,60.0,0,0,0,1,0,0,0,1,3,3,6,,,
UBCV,2021,W,JRNL,100,A,227,New Media and Society,Grace Jenkins;Ori Tenenboim;Saphiya Zerrouk;Saranaz Barforoush,82,82.195121951,11.992218696,95.0,0.0,2,0,0,1,1,2,4,12,20,26,14,,,
UBCV,2021,W,JRNL,420,,001,Decoding Social Media,Andrew Hughes;Ori Tenenboim;Tamara Vodsedalek,11,87.363636364,8.003408365,95.0,76.0,0,0,0,0,0,0,0,3,1,1,6,,,
UBCV,2021,W,JRNL,520,A,001,Special Topics in Contemporary Journalism,Andrew Hughes;Ori Tenenboim;Tamara Vodsedalek,13,84.461538462,10.178534477,97.0,62.0,0,0,0,1,0,0,1,2,3,1,5,,,
UBCV,2021,W,JRNL,100,A,227,New Media and Society,Saranaz Barforoush;Ori Tenenboim,83,81.9,,95.0,0.0,,,,,,,,12,20,26,14,84.0,88.0,79.0
UBCV,2021,W,JRNL,420,,001,Decoding Social Media,Ori Tenenboim;Tamara Vodsedalek,11,87.4,,95.0,76.0,,,,,,,,,,,6,93.0,94.0,79.5
UBCV,2021,W,JRNL,515,C,001,Integrated Journalism,Frances Bula;Kathryn Gretsinger;Ori Tenenboim,19,85.5,,90.0,80.0,,,,,,,,,6,11,,86.0,87.0,83.0
UBCV,2021,W,JRNL,520,A,001,Special Topics in Contemporary Journalism,Ori Tenenboim;Tamara Vodsedalek,13,84.5,,97.0,62.0,,,,,,,,,,,,83.0,94.0,79.0
UBCV,2022,W,JRNL,100,A,227,New Media and Society,Saranaz Barforoush;Ori Tenenboim,94,83.0,,94.0,2.0,2,0,0,1,1,2,2,4,32,35,15,85.0,88.0,82.0
UBCV,2022,W,JRNL,503,B,001,Journalism Practice and Standards,Saranaz Barforoush;Ori Tenenboim,35,90.3,,94.0,84.0,0,0,0,0,0,0,0,0,1,11,23,90.0,92.0,89.0
UBCV,2022,W,JRNL,520,A,001,Special Topics in Contemporary Journalism,Ori Tenenboim;Tamara Vodsedalek,24,88.6,,96.0,73.0,0,0,0,0,0,0,1,3,1,5,14,91.0,95.0,85.8
UBCV,2023,W,JRNL,100,A,227,New Media and Society,Saranaz Barforoush;Ori Tenenboim,88,82.85,,93.0,0.0,2,0,0,0,1,0,2,9,31,28,15,84.0,88.0,81.0
UBCV,2023,W,JRNL,201,,001,Introduction to News Audiences,Ori Tenenboim,35,88.23,,96.0,65.0,0,0,0,0,1,2,0,0,4,5,23,90.0,92.5,87.5
UBCV,2023,W,JRNL,503,B,001,Journalism Practice and Standards,Saranaz Barforoush;Ori Tenenboim,33,88.13,,95.0,79.0,0,0,0,0,0,0,0,1,2,18,11,88.0,90.0,87.0
UBCV,2023,W,JRNL,520,A,001,Special Topics in Contemporary Journalism,Alexander Migdal;Ori Tenenboim,21,88.95,,96.0,73.0,0,0,0,0,0,0,1,0,0,11,9,88.0,92.0,87.0
