Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2007,W,PLAN,503,,001,COMM ECON DEV PL,"Trousdale, William",12,85.36,1.43,87,83,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,,,
UBC,2009,W,PLAN,503,,001,COMM ECON DEV PL,"Trousdale, William",13,91,1.96,94,89,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,,,
UBC,2011,S,PLAN,503,,001,COMM ECON DEV PL,"Trousdale, William",18,89.56,0.51,90,89,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,,,
UBC,2012,S,PLAN,503,,001,COMM ECON DEV PL,"Trousdale, William",21,90.1,1.51,91,86,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,,,
UBC,2013,S,PLAN,503,,001,COMM ECON DEV PL,"Trousdale, William",19,91.74,0.99,93,91,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,,,
UBC,2014,S,PLAN,503,,001,COMM ECON DEV PL,"Trousdale, William",18,90.33,1.28,92,89,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,,,
UBC,2015,S,PLAN,503,,001,COMM ECON DEV PL,"Trousdale, William",24,89.92,1.02,91,89,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,,,
UBC,2016,S,PLAN,503,,001,COMM ECON DEV PL,"Trousdale, William",18,89.88,2.2,94,86,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,,,
UBC,2016,S,PLAN,548,E,001,CURRENT ISSUES,"Trousdale, William",8,87.57,1.13,88,85,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,
UBC,2016,W,PLAN,503,,001,COMM ECON DEV PL,"Trousdale, William",16,88,1.65,91,85,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,,,
UBC,2017,S,PLAN,548,E,001,CURRENT ISSUES,"Trousdale, William",7,89.29,1.89,90,85,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,,,
UBC,2018,S,PLAN,503,,001,COMM ECON DEV PL,"Trousdale, William",16,87.5,1.03,88,84,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,,,
UBC,2018,S,PLAN,548,E,001,CURRENT ISSUES,"Trousdale, William",16,88,0,88,88,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,,,
UBCV,2014,S,PLAN,503,,001,Planning for Community Economic Development,William Trousdale,18,90.33333333,1.283377896,92.0,89.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,12,,,
UBCV,2015,S,PLAN,503,,001,Planning for Community Economic Development,William Trousdale,24,89.91666667,1.017954755,91.0,89.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,13,11,,,
UBCV,2016,S,PLAN,503,,001,Planning for Community Economic Development,William Trousdale,17,89.88235294,2.204607475,94.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,11,6,,,
UBCV,2016,S,PLAN,548,E,001,Current Issues in Planning,William Trousdale,7,87.57142857,1.133893419,88.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,0,,,
UBCV,2016,W,PLAN,503,,001,Planning for Community Economic Development,William Trousdale,15,88.0,1.647508942,91.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,11,4,,,
UBCV,2017,S,PLAN,548,E,001,Current Issues in Planning,William Trousdale,7,89.285714286,1.889822365,90.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,6,,,
UBCV,2018,S,PLAN,503,,001,Planning for Community Economic Development,William Trousdale,16,87.5,1.032795559,88.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,15,0,,,
UBCV,2018,S,PLAN,548,E,001,Current Issues in Planning,William Trousdale,16,88.0,0.0,88.0,88.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,16,0,,,
UBCV,2018,W,PLAN,425,,001,Urban Planning Issues and Concepts,Khadija Anjum;Louisa-May Hui Lin Khoo;Louisa-May Khoo;Nicole Alexandra Rallis;Nicole Rallis;Su Jan Yeo;Su-Jan Yeo;William Trousdale,70,79.314285714,5.179510517,94.0,65.0,,,,,,,,,,,0,0,0,0,2,3,13,15,31,4,2,,,
UBCV,2019,S,PLAN,548,E,001,Current Issues in Planning,William Trousdale,14,88.0,0.0,88.0,88.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,14,0,,,
UBCV,2019,W,PLAN,503,,001,Planning for Community Economic Development,William Trousdale,18,87.333333333,0.9701425,88.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,18,0,,,
UBCV,2020,S,PLAN,548,E,001,Current Issues in Planning,William Trousdale,17,90.0,0.0,90.0,90.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,17,,,
UBCV,2020,W,PLAN,503,,001,Planning for Community Economic Development,William Trousdale,13,88.230769231,0.43852901,89.0,88.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,13,0,,,
UBCV,2021,S,PLAN,548,E,001,Current Issues in Planning,William Trousdale,7,90.0,0.0,90.0,90.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,7,,,
UBCV,2021,W,PLAN,503,,001,Planning for Community Economic Development,William Trousdale,13,90.769230769,1.091928428,93.0,90.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,13,,,
