Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,COMM,296,,101,INTRO MARKETING,"Milne, Tamar",58,75.05,6.35,91,56,58,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,20,13,11,3,1
UBC,2007,W,COMM,296,,103,INTRO MARKETING,"Milne, Tamar",54,74.67,6.85,91,58,54,0,0,0,0,0,0,0,0,0,0,0,1,1,9,6,12,10,11,3,1
UBC,2007,W,COMM,296,,104,INTRO MARKETING,"Milne, Tamar",31,74.94,8.54,91,58,31,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,5,7,7,2,1
UBC,2007,W,COMM,296,,204,INTRO MARKETING,"Milne, Tamar",49,76.08,5.25,85,61,49,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,9,16,11,3,0
UBC,2007,W,COMM,468,,201,MKT APPLICATIONS,"Milne, Tamar",40,79.93,8.02,90,50,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,2,14,10,3
UBC,2009,W,BASD,504,,001,ENVIRO MARKETING,"Milne, Tamar",9,84.11,2.98,88,80,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0
UBC,2009,W,COMM,296,,101,INTRO MARKETING,"Milne, Tamar",51,76.4,5.36,88,61,50,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6,10,13,17,2,0
UBC,2009,W,COMM,296,,102,INTRO MARKETING,"Milne, Tamar",48,74.85,6.19,86,60,48,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,14,14,9,3,0
UBC,2009,W,COMM,296,,209,INTRO MARKETING,"Milne, Tamar",53,77.21,6.79,90,55,53,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,6,13,19,5,1
UBC,2009,W,COMM,296,,210,INTRO MARKETING,"Milne, Tamar",55,78.87,4.8,90,64,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,19,22,6,1
UBC,2009,W,COMM,296,,211,INTRO MARKETING,"Milne, Tamar",55,78.6,6.21,92,64,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,15,20,5,3
UBC,2009,W,COMM,465,,101,MARKETING MGMT,"Milne, Tamar",42,76.6,13.26,90,1,41,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,7,9,13,7,1
UBC,2009,W,COMM,468,,101,MKT APPLICATIONS,"Milne, Tamar",44,78.2,5.32,87,68,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,15,7,0
UBC,2010,W,BASD,504,,001,ENVIRO MARKETING,"Milne, Tamar",12,83.08,6.93,91,73,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
UBC,2010,W,COMM,296,,101,INTRO MARKETING,"Milne, Tamar",170,75.03,8.07,92,50,169,0,1,0,0,0,0,0,0,0,0,2,2,10,14,17,32,36,36,14,6
UBC,2010,W,COMM,296,,102,INTRO MARKETING,"Milne, Tamar",174,76.78,8.62,94,50,174,0,0,0,0,0,0,0,0,0,0,1,3,6,11,23,27,28,33,29,13
UBC,2010,W,COMM,296,,202,INTRO MARKETING,"Milne, Tamar",193,76.51,7.24,88,48,192,1,0,0,0,0,0,0,0,1,1,3,2,3,10,15,23,56,52,28,0
UBC,2010,W,COMM,468,,202,MKT APPLICATIONS,"Milne, Tamar",45,77.33,6.24,88,66,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,10,7,10,0
UBC,2010,W,COMM,486,F,101,SPECIAL TPC BUSI,"Milne, Tamar",40,77,7.95,91,62,40,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,2,3,15,6,1
UBC,2011,S,BAMA,500,,301,MRKT STRATEGY,"Milne, Tamar",43,81.23,3.75,88,72,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,23,11,0
UBC,2011,S,COMM,296,,921,INTRO MARKETING,"Milne, Tamar",25,75.17,7.48,90,61,24,0,1,0,0,0,0,0,0,0,0,0,0,1,2,6,3,5,4,2,1
UBC,2011,W,ANTH,303,A,001,ETHNO SPEC AREAS,"McKee, Tamar",29,74.61,11.8,97,40,27,1,1,0,0,0,0,0,0,1,1,0,0,2,4,4,5,5,1,1,5
UBC,2012,W,ANTH,303,C,001,ETHNO SPEC AREAS,"McKee, Tamar",35,74.35,10.65,94,50,31,0,2,0,2,0,0,0,0,0,0,1,4,0,2,4,1,10,5,3,1
UBC,2012,W,BASD,504,,001,ENVIRO MARKETING,"Milne, Tamar",38,79.97,5.82,90,68,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,13,6,4
UBC,2012,W,COMM,101,,104,BUSN FUNDAMENTAL,"Jackes, Robert;Kroeker, Jeff;Milne, Tamar",86,74.11,8.63,85,21,84,1,1,0,0,0,0,1,0,0,1,1,2,2,6,10,20,21,21,1,0
UBC,2012,W,COMM,101,,105,BUSN FUNDAMENTAL,"Jackes, Robert;Kroeker, Jeff;Milne, Tamar",98,74.12,5.99,86,59,98,0,0,0,0,0,0,0,0,0,0,0,2,3,10,14,26,21,20,2,0
UBC,2012,W,COMM,296,,106,INTRO MARKETING,"Milne, Tamar",59,76.78,8.57,90,50,59,0,0,0,0,0,0,0,0,0,0,2,0,2,4,4,9,14,14,8,2
UBC,2012,W,COMM,296,,201,INTRO MARKETING,"Milne, Tamar",60,77.6,8.3,91,46,59,1,0,0,0,0,0,0,0,1,1,0,1,2,2,5,5,11,24,7,2
UBC,2012,W,COMM,296,,202,INTRO MARKETING,"Milne, Tamar",57,77.82,8.16,94,55,57,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,6,7,19,11,1
UBC,2012,W,COMM,296,,203,INTRO MARKETING,"Milne, Tamar",59,76.58,7.63,92,47,58,1,0,0,0,0,0,0,0,1,1,0,0,3,1,5,10,17,14,7,1
UBC,2012,W,COMM,296,,204,INTRO MARKETING,"Milne, Tamar",59,76.49,8.98,88,39,58,1,0,0,0,0,0,0,1,0,1,1,1,2,2,3,8,15,18,8,0
UBC,2013,S,BAMA,500,,301,MRKT STRATEGY,"Milne, Tamar",46,82.43,2.46,87,77,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,12,0
UBC,2013,W,BAMA,515,,813,SERVICES MGNT,"Milne, Tamar",47,80.57,4.39,91,72,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,20,8,2
UBC,2013,W,COMM,101,,104,BUSN FUNDAMENTAL,"Jackes, Robert;Milne, Tamar",111,70.43,12.08,88,0,106,5,0,0,0,1,0,0,2,2,5,4,5,7,6,26,19,14,19,6,0
UBC,2013,W,COMM,101,,105,BUSN FUNDAMENTAL,"Jackes, Robert;Milne, Tamar",109,71.95,9.4,88,29,108,1,0,0,0,0,0,1,0,0,1,4,4,7,8,29,13,15,23,5,0
UBC,2013,W,COMM,101,,106,BUSN FUNDAMENTAL,"Milne, Tamar;Sinclair, Scott",112,73.05,8.12,92,44,110,2,0,0,0,0,0,0,0,2,2,1,3,7,9,19,28,18,22,1,2
UBC,2013,W,COMM,296,,203,INTRO MARKETING,"Milne, Tamar",59,82,6.61,91,60,59,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,5,22,23,3
UBC,2013,W,COMM,296,,205,INTRO MARKETING,"Milne, Tamar",60,75.1,11.4,92,33,58,2,0,0,0,0,0,0,1,1,2,2,0,4,4,4,9,9,16,6,4
UBC,2013,W,COMM,296,,206,INTRO MARKETING,"Milne, Tamar",60,75.05,9.81,94,37,58,2,0,0,0,0,0,0,1,1,2,0,0,4,3,6,13,13,11,5,3
UBC,2013,W,COMM,465,,203,MARKETING MGMT,"Milne, Tamar",36,76.53,15.25,93,0,35,1,0,0,0,1,0,0,0,0,1,0,1,1,2,1,3,9,8,9,1
UBC,2013,W,COMM,486,F,201,SPECIAL TPC BUSI,"Milne, Tamar",23,78.39,7.35,85,50,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,11,3,0
UBC,2014,W,ANTH,331,A,001,ART&ANTHROPOLOGY,"McKee, Tamar",40,74.13,13.31,98,20,38,2,0,0,0,0,0,1,0,1,2,0,0,0,5,4,14,5,3,1,6
UBC,2014,W,COMM,101,,104,BUSN FUNDAMENTAL,"Jackes, Robert;Milne, Tamar",101,72.33,11.51,92,27,97,4,0,0,0,0,0,2,2,0,4,2,1,5,11,18,14,18,19,8,1
UBC,2014,W,COMM,101,,105,BUSN FUNDAMENTAL,"Jackes, Robert;Milne, Tamar",117,70.87,8.77,89,38,115,2,0,0,0,0,0,0,1,1,2,5,5,6,16,24,23,18,16,2,0
UBC,2014,W,COMM,101,,106,BUSN FUNDAMENTAL,"Milne, Tamar;Sinclair, Scott",97,69.32,10.02,90,32,93,4,0,0,0,0,0,0,1,3,4,5,3,10,14,19,21,6,9,5,1
UBC,2014,W,COMM,296,,104,INTRO MARKETING,"Milne, Tamar",61,77.41,9.39,95,51,61,0,0,0,0,0,0,0,0,0,0,2,0,2,6,5,6,10,15,10,5
