Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,ARCH,572,,001,ADV STRUCTURES,"Taylor, Stephen Ilott",10,82.1,4.36,89,76,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0
UBC,2002,W,BIOL,332,,001,PROTISTOLOGY,"Berger, James;Keeling, Patrick John;Taylor, Frank J R",17,74.13,8.66,88,58,16,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,3,1,4,2,0
UBC,2002,W,BIOL,442,,201,ETHICAL ISS SCIE,"Taylor, Iain E P",24,81.96,9.75,98,62,23,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,8,4,5
UBC,2002,W,BIOL,442,,202,ETHICAL ISS SCIE,"Taylor, Iain E P",32,84.22,6.34,97,71,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,10,8,8
UBC,2002,W,BIOL,442,,203,ETHICAL ISS SCIE,"Taylor, Iain E P",26,83.54,7.52,99,70,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,1,7,8,4
UBC,2002,W,EDUC,316,,331,COMM SKILLS,"Taylor, Susan",25,,,,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,EOSC,315,,201,OCEAN ECOSYSTEM,"Taylor, Frank J R",154,70.83,14.17,93,13,139,10,5,0,0,0,1,0,5,4,10,8,12,7,12,13,27,9,32,12,7
UBC,2002,W,GERM,110,,005,BEGIN GERM 2,"Taylor, Jennifer",24,80.7,11.88,94,50,23,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,1,0,4,6,6
UBC,2002,W,GERM,110,,010,BEGIN GERM 2,"Taylor, Jennifer",15,81.08,10.92,94,65,13,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,5,2
UBC,2002,W,MATH,180,,102,DIF CALC PHYS AP,"Taylor, Richard",58,64.98,17.41,100,23,49,6,1,0,2,0,0,1,4,1,6,7,9,4,5,3,5,5,1,4,6
UBC,2002,W,MMPE,305,,201,GEOMECH FUNDMTLS,"Pakalnis, Rimas C;Taylor, Sandra",14,71,6.73,81,60,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,2,2,2,0,0
UBC,2003,W,ARCH,512,,001,ARCH STRUCT 1,"Taylor, Stephen Ilott",45,75.83,16.58,96,28,34,6,0,0,5,0,0,1,1,4,6,0,0,0,1,2,3,3,12,7,6
UBC,2003,W,ARCH,572,,001,ADV STRUCTURES,"Taylor, Stephen Ilott",11,84.82,5.93,93,74,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,3
UBC,2003,W,BIOL,332,,001,PROTISTOLOGY,"Berger, James;Keeling, Patrick John;Taylor, Frank J R",23,73.65,11.02,88,51,20,0,0,0,3,0,0,0,0,0,0,1,2,0,3,2,3,0,5,4,0
UBC,2003,W,BIOL,413,,201,ZOOGEOGRAPHY,"Taylor, Eric",49,76.2,13.6,93,5,48,1,0,0,0,1,0,0,0,0,1,1,0,2,3,4,9,5,12,9,3
UBC,2003,W,BIOL,465,,101,BIOL OF FISHES,"Taylor, Eric",20,75.6,7.24,90,63,20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,3,6,1,1
UBC,2003,W,ENDS,420,,001,TECHNOL&TECHN,"Taylor, Steven",20,68.95,17.34,96,21,18,2,0,0,0,0,0,1,1,0,2,0,1,2,1,3,4,2,4,0,1
UBC,2003,W,EOSC,310,,GIS,EARTH&SOLAR SYS,"Getsinger, Jennifer;Taylor, Sandra;Zatsepina, Olga",32,66.77,18.56,85,0,28,2,2,0,0,2,0,0,0,0,2,0,2,3,4,3,6,5,4,1,0
UBC,2003,W,EOSC,315,,201,OCEAN ECOSYSTEM,"Taylor, Frank J R",114,76.88,15.17,97,0,109,3,2,0,0,2,0,0,1,0,3,1,4,6,6,11,12,11,21,13,24
UBC,2005,W,ARCH,512,,001,ARCH STRUCT 1,"Taylor, Stephen Ilott",42,83.65,9.21,99,66,31,0,0,0,11,0,0,0,0,0,0,0,0,0,2,3,1,4,4,5,12
UBC,2005,W,ARCH,532,,001,ARCH STRUCT 2,"Taylor, Stephen Ilott",39,71.09,20.55,90,0,31,4,0,0,4,2,0,0,1,1,4,1,0,0,0,8,3,4,9,2,4
UBC,2005,W,ARCH,572,,001,ADV STRUCTURES,"Taylor, Stephen Ilott",13,86.54,3.33,91,81,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4
UBC,2005,W,BIOL,413,,201,ZOOGEOGRAPHY,"Taylor, Eric",61,76.5,7.17,88,52,60,0,1,0,0,0,0,0,0,0,0,1,0,3,1,5,16,9,18,7,0
UBC,2005,W,BIOL,442,,201,ETHICAL ISS SCIE,"Taylor, Iain E P",42,83.08,7.32,99,68,39,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2,7,8,12,7
UBC,2005,W,BIOL,465,,101,BIOL OF FISHES,"Taylor, Eric",26,74.69,10.14,86,51,26,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,4,5,8,3,0
UBC,2005,W,STAT,551,,101,STAT CONSULTING,"Taylor, Carolyn",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,ZOOL,524,,201,Conserv Gen,"Taylor, Eric",5,86,1.83,88,84,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2006,W,ARCH,512,,001,ARCH STRUCT 1,"Taylor, Stephen Ilott",39,81.48,11.3,95,43,30,1,0,0,8,0,0,0,0,1,1,0,0,0,1,4,2,4,3,6,10
UBC,2006,W,ARCH,532,,001,ARCH STRUCT 2,"Taylor, Stephen Ilott",33,82.52,10.42,96,53,29,0,0,0,4,0,0,0,0,0,0,1,0,0,2,2,1,2,6,8,7
UBC,2006,W,BIOL,413,,201,ZOOGEOGRAPHY,"Taylor, Eric",54,79.3,5.41,88,61,54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,13,23,7,0
UBC,2006,W,BIOL,465,,101,DIV EVOL FISHES,"Taylor, Eric",20,81.05,5.44,92,71,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9,2,2
UBC,2006,W,ENDS,420,,001,TECHNOL&TECHN,"Taylor, Steven",15,88.21,4.74,95,80,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6
UBC,2006,W,HKIN,382,,001,MEANING & VALUES,"Taylor, Janna",65,75.83,11,89,15,64,1,0,0,0,0,1,0,0,0,1,1,0,3,4,7,9,19,8,13,0
UBC,2006,W,HKIN,392,,001,LEIS&SPT INDSTRY,"Taylor, Janna",25,79.92,5.02,87,72,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,6,0
UBC,2006,W,HKIN,454,D,0D1,FIELD EXPERIENCE,"Taylor, Janna",7,83.83,5.34,91,78,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1
UBC,2006,W,HKIN,481,,901,SPT MRKTG & COMM,"Taylor, Janna",24,79.29,4.61,86,69,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,14,1,0
UBC,2007,W,ARCH,512,,001,ARCH STRUCT 1,"Taylor, Stephen Ilott",34,80.87,12.52,96,37,22,1,0,0,11,0,0,0,1,0,1,0,0,0,0,3,1,1,9,2,6
UBC,2007,W,ARCH,532,,001,ARCH STRUCT 2,"Taylor, Stephen Ilott",41,78.83,8.15,93,60,35,0,0,0,6,0,0,0,0,0,0,0,0,2,1,3,9,2,6,9,3
UBC,2007,W,ARCH,572,,001,ADV STRUCTURES,"Taylor, Stephen Ilott",12,82.33,16.36,97,33,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,5,3
UBC,2007,W,AUDI,590,C,001,SP-LG PATH PR I,"MacLeod, Elizabeth D;Taylor, Sandra Lynn",22,86.91,3.18,95,82,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,2
UBC,2007,W,BIOL,201,,201,CELL BIOLOGY 2,"Bingle, Wade;Taylor, Jared",257,75.39,13.65,98,30,244,12,1,0,0,0,0,0,4,8,12,0,19,21,24,18,22,22,36,41,41
UBC,2007,W,BIOL,201,,202,CELL BIOLOGY 2,"Richards, Jeffrey;Taylor, Jared",190,72.02,11.65,96,35,182,5,3,0,0,0,0,0,2,3,5,7,12,20,16,27,22,21,30,15,12
UBC,2007,W,BIOL,201,,203,CELL BIOLOGY 2,"Chowrira, Gangamma;Taylor, Jared",160,75.45,11.16,95,37,156,2,2,0,0,0,0,0,1,1,2,2,13,8,8,15,26,23,27,21,13
UBC,2007,W,BIOL,201,,204,CELL BIOLOGY 2,"Bingle, Wade;Taylor, Jared",175,75.14,13.4,97,0,168,6,1,0,0,1,0,2,0,3,6,2,11,8,12,21,20,15,35,28,16
UBC,2007,W,BIOL,413,,201,ZOOGEOGRAPHY,"Taylor, Eric",54,80.15,5.36,90,62,54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,10,24,10,1
UBC,2007,W,BIOL,465,,101,DIV EVOL FISHES,"Taylor, Eric",15,80.07,7.03,90,62,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,4,4,1
UBC,2007,W,HKIN,382,,001,MEANING & VALUES,"Taylor, Janna",75,78.76,11.17,92,0,73,1,1,0,0,1,0,0,0,0,1,0,0,0,2,6,8,21,17,14,5
UBC,2007,W,HKIN,481,,901,SPT MRKTG & COMM,"Taylor, Janna",70,77.66,6.09,91,61,70,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,15,20,17,7,2
UBC,2007,W,ZOOL,524,,201,Conserv Gen,"Taylor, Eric",7,85,2,87,83,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
