Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,BIOC,303,,001,MOLECULAR BIOC,"Brownsey, Roger;Mayor, Thibault;Molday, Robert;Numata, Masayuki",162,72.93,13.15,100,36,153,5,4,0,0,0,0,0,1,4,5,12,12,6,12,19,21,18,16,24,13
UBC,2010,W,BIOC,303,,001,MOLECULAR BIOC,"Brownsey, Roger;Mayor, Thibault;Molday, Robert;Numata, Masayuki",147,72.91,13.86,99,17,140,4,3,0,0,0,1,1,0,2,4,10,12,5,15,8,17,23,22,16,12
UBC,2010,W,BIOC,511,,101,ASPCTS CELLR REG,"Dedhar, Shoukat;Finlay, B Brett;Mayor, Thibault;Van Petegem, Filip",10,89.56,2.46,93,87,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
UBC,2011,W,BIOC,303,,001,MOLECULAR BIOC,"Brownsey, Roger;Mayor, Thibault;Molday, Robert;Numata, Masayuki",153,71.96,12.15,96,38,145,5,2,0,0,0,0,0,1,4,5,10,9,9,14,17,24,21,20,13,8
UBC,2012,W,BIOC,303,,001,MOLECULAR BIOC,"Brownsey, Roger;Mayor, Thibault;Numata, Masayuki",125,72.52,11,93,39,122,1,2,0,0,0,0,0,1,0,1,4,12,15,9,17,10,13,22,19,1
UBC,2012,W,BIOC,304,,001,CONTMP BIOC RSRC,"Foster, Leonard;Mayor, Thibault",87,73.52,11.06,98,50,86,0,1,0,0,0,0,0,0,0,0,6,7,3,8,8,16,9,12,14,3
UBC,2013,W,BIOC,303,,001,MOLECULAR BIOC,"Brownsey, Roger;Duong Van Hoa, Franck;Mayor, Thibault;Numata, Masayuki",121,75.92,10.58,92,40,117,2,2,0,0,0,0,0,0,2,2,4,2,7,8,11,17,14,28,20,6
UBC,2013,W,BIOC,304,,001,CONTMP BIOC RSRC,"Foster, Leonard;Gsponer, Joerg;Mayor, Thibault;Yip, Calvin",100,74.3,8.73,91,50,100,0,0,0,0,0,0,0,0,0,0,1,6,5,9,15,18,14,22,8,2
UBC,2014,W,BIOC,303,,001,MOLECULAR BIOC,"Brownsey, Roger;Duong Van Hoa, Franck;Mayor, Thibault;Numata, Masayuki",106,74.54,11.46,95,31,101,3,2,0,0,0,0,0,1,2,3,4,4,5,7,13,16,14,18,13,7
UBC,2014,W,BIOC,304,,001,CONTMP BIOC RSRC,"Foster, Leonard;Gsponer, Joerg;Mayor, Thibault;Yip, Calvin",90,73.02,11,93,30,88,2,0,0,0,0,0,0,1,1,2,2,4,8,10,13,14,7,16,8,6
UBC,2016,W,BIOC,303,,001,MOLECULAR BIOC,"Duong Van Hoa, Franck;MacGillivray, Ross;Mayor, Thibault;Numata, Masayuki",98,77.38,10.92,93,27,95,1,2,0,0,0,0,1,0,0,1,0,4,6,6,9,9,17,14,19,11
UBC,2016,W,BIOC,304,,001,CONTMP BIOC RSRC,"Brumer, Harry;Gsponer, Joerg;Mayor, Thibault;Yip, Calvin",97,76.5,11.92,96,45,95,1,1,0,0,0,0,0,0,1,1,1,5,10,11,9,5,6,18,12,18
UBC,2016,W,GSAT,502,,001,ADV GSAT CONCEPT,"Andersen, Raymond;Bohlmann, Jorg;Haney, Cara;Hieter, Philip;Hirst, Martin;Kastrup, Christian;Marra, Marco;Marziali, Andre;Mayor, Thibault;Mostafavi, Sara;Nislow, Corey;Withers, Stephen",9,93.13,3.09,99,89,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
UBC,2017,W,BIOC,303,,001,MOLECULAR BIOC,"Duong Van Hoa, Franck;Mayor, Thibault;Numata, Masayuki;Tokuriki, Nobuhiko",110,75.93,9.69,93,37,105,2,3,0,0,0,0,0,1,1,2,1,1,8,5,12,15,22,21,14,6
UBC,2017,W,BIOC,404,,001,BIOC METHODS,"Mayor, Thibault",18,88.39,4.64,96,78,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,7
UBC,2017,W,GSAT,502,,001,ADV GSAT CONCEPT,"Bohlmann, Jorg;Haney, Cara;Hieter, Philip;Kastrup, Christian;Kobor, Michael;Marra, Marco;Mayor, Thibault;Mostafavi, Sara;Nislow, Corey;Rieseberg, Loren;Rossi, Fabio;Tokuriki, Nobuhiko",15,92.73,3.73,97,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
UBC,2018,W,BIOC,303,,001,MOLECULAR BIOC,"Mayor, Thibault;Tokuriki, Nobuhiko",131,73.5,9.72,94,43,127,2,1,0,1,0,0,0,0,2,2,2,7,11,11,16,21,22,24,9,4
UBC,2018,W,BIOC,404,,001,BIOC METHODS,"Mayor, Thibault",13,90.46,4.56,96,81,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10
UBC,2018,W,GSAT,502,,001,ADV GSAT CONCEPT,"Birol, Inanc;Bohlmann, Jorg;Hansen, Carl;Hieter, Philip;Hirst, Martin;Marra, Marco;Mayor, Thibault;Rieseberg, Loren;Zandstra, Peter",7,100,0,100,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
