Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,ARTH,251,,001,ASIAN ART,"Tsao, Hsingyuan",40,77.26,10.45,93,35,38,1,1,0,0,0,0,0,1,0,1,0,0,1,2,3,7,7,7,7,4
UBC,2003,W,ARTH,359,,001,EAR IMPER CHINA,"Tsao, Hsingyuan",51,74.22,8.16,92,56,50,0,0,0,1,0,0,0,0,0,0,0,2,4,4,6,7,15,8,2,2
UBC,2003,W,ARTH,451,,001,EAR CHN ART,"Tsao, Hsingyuan",9,83.78,5.59,90,74,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1
UBC,2003,W,ARTH,571,,001,METH ART HIST,"San Juan, Rose Marie;Tsao, Hsingyuan",9,86.5,3.3,91,83,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2
UBC,2005,W,ARTH,300,,002,ART HX METHODS,"Tsao, Hsingyuan",17,80.67,8.7,90,65,15,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,4,2
UBC,2005,W,ARTH,358,,001,MKNG EARLY CHINA,"Tsao, Hsingyuan",43,80.1,5.36,88,65,40,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,3,16,9,10,0
UBC,2005,W,ARTH,359,,001,PURS OF REALISM,"Tsao, Hsingyuan",48,77.11,6.85,88,65,45,0,0,0,3,0,0,0,0,0,0,0,0,0,6,4,7,4,15,9,0
UBC,2005,W,ARTH,459,,001,CHINESE ART,"Tsao, Hsingyuan",11,83,6.91,91,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,2
UBC,2005,W,ARTH,571,,001,METH ART HIST,"Knicely Guilbaut, Carol;Tsao, Hsingyuan",13,86.31,2.46,91,83,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2
UBC,2006,W,ARTH,251,,901,ASIAN ART,"Tsao, Hsingyuan",41,77.32,5.52,91,61,38,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,12,10,9,2,2
UBC,2006,W,ARTH,360,,001,LIT PAINT CHINA,"Tsao, Hsingyuan",48,79.65,8.03,90,60,40,0,5,3,0,0,0,0,0,0,0,0,0,3,0,3,3,7,9,14,1
UBC,2006,W,ARTH,361,,001,MOD/PMOD ART CHI,"Tsao, Hsingyuan",55,78.1,5.82,91,68,48,0,0,1,6,0,0,0,0,0,0,0,0,0,0,4,11,11,15,5,2
UBC,2006,W,ARTH,459,,001,CHINESE ART,"Tsao, Hsingyuan",13,85.67,4.58,90,78,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
