Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2019,W,CHBE,355,,201,Kinetics and Reactor Design,Anish Karnik;Anish Rajesh Karnik;David Chester Upham;Sahar Sakhaie;Vikramaditya Yadav,110,75.990909091,12.772889477,99.0,0.0,2,0,2,5,9,10,14,22,23,16,7,,,
UBCV,2020,W,CHBE,344,,101,Introduction to Unit Operations,Chike Okwara;David Chester Upham;Tingting Yi,76,75.118421053,11.436744415,94.0,51.0,0,3,4,6,7,10,9,6,12,12,7,,,
UBCV,2020,W,CHBE,563,,201,Applied Heterogeneous Catalysis,David Chester Upham,10,88.1,5.685263602,96.0,77.0,0,0,0,0,0,0,0,1,1,3,5,,,
UBCV,2021,W,CHBE,344,,101,Introduction to Unit Operations,David Chester Upham;Ghazaleh Mozaffari;John Frostad,58,75.75862069,12.010682883,92.0,16.0,1,1,2,1,6,7,4,9,15,9,3,,,
UBCV,2021,W,CHBE,471,,101,Chemical Process Engineering,Akash Gondaliya;David Chester Upham;Fatemeh Asadi Zeidabadi;Genpei Cai;John Frostad;Julia Antoniw;Mahboubeh Mirzaei;Nana Abena Danso-Dodoo;Shiqi Yu;Shreyas Rangan;Vajiheh Salehi,75,79.04,9.064990571,98.0,62.0,0,0,0,4,2,14,8,9,13,15,10,,,
UBCV,2021,W,CHBE,563,,201,Applied Heterogeneous Catalysis,David Chester Upham,15,87.466666667,4.257206775,94.0,76.0,0,0,0,0,0,0,0,1,1,10,3,,,
UBCV,2021,W,CHBE,344,,101,Introduction to Unit Operations,David Chester Upham,58,75.8,,92.0,16.0,,,,,6,7,,9,15,9,,79.0,82.0,70.3
UBCV,2021,W,CHBE,563,,201,Applied Heterogeneous Catalysis,David Chester Upham,15,87.5,,94.0,76.0,,,,,,,,,,10,,88.0,88.5,86.5
UBCV,2022,W,CHBE,563,,201,Applied Heterogeneous Catalysis,David Chester Upham,9,89.3,,93.0,81.0,0,0,0,0,0,0,0,0,1,3,5,92.0,93.0,86.0
UBCV,2023,W,CHBE,456,,101,Heterogenous Catalysis and Advanced Reactor Design,David Chester Upham,109,78.1,,96.0,41.0,1,2,2,2,6,13,13,18,17,18,15,79.0,85.5,72.0
UBCV,2023,W,CHBE,491,,101,Thesis Proposal,Susan Baldwin;Xiaotao Bi;Naoko Ellis;James Jingtao Feng;John Frostad;Bhushan Gopaluni;Elod Lajos Gyenge;Zachary Hudson;Vasileios Kontogiorgos;Mark MacLachlan;Gabriel Potvin;Kevin Smith;David Chester Upham,9,86.8,,93.0,71.0,0,0,0,0,0,1,0,0,3,0,5,91.0,92.0,84.0
UBCV,2023,W,CHBE,492,,201,Thesis,Susan Baldwin;Xiaotao Bi;Naoko Ellis;James Jingtao Feng;John Frostad;Bhushan Gopaluni;Elod Lajos Gyenge;Zachary Hudson;Vasileios Kontogiorgos;Mark MacLachlan;Gabriel Potvin;Kevin Smith;David Chester Upham,9,89.0,,96.0,71.0,0,0,0,0,0,1,0,0,0,2,6,93.0,93.0,86.0
UBCV,2023,W,CHBE,563,,201,Applied Heterogeneous Catalysis,David Chester Upham,9,90.6,,95.0,85.0,0,0,0,0,0,0,0,0,0,3,6,91.0,94.0,88.0
