Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,SOCI,484,A,001,HEALTH & ILLNESS,"Veenstra, Gerry",35,74.89,8.54,90,58,35,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,3,3,10,4,1,,,
UBC,2003,W,SOCI,418,A,001,SOCIAL STATISTCS,"Veenstra, Gerry",5,71,5.35,79,68,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,,,
UBC,2003,W,SOCI,508,A,001,ADV METHODS SEM,"Veenstra, Gerry",6,87,7.97,92,73,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,,,
UBC,2005,W,SOCI,328,A,001,SOCIAL STATS I,"Veenstra, Gerry",46,67.41,13.53,97,40,41,3,1,0,1,0,0,0,0,3,3,5,6,4,4,3,6,3,5,4,1,,,
UBC,2005,W,SOCI,328,A,002,SOCIAL STATS I,"Veenstra, Gerry",44,67.43,16.31,91,19,35,7,1,0,1,0,1,0,2,4,7,2,2,2,6,3,5,5,4,4,2,,,
UBC,2005,W,SOCI,484,B,001,HEALTH & ILLNESS,"Veenstra, Gerry",19,77.05,12.76,90,33,18,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,4,5,4,1,,,
UBC,2005,W,SOCI,508,A,001,ADV METHODS SEM,"Veenstra, Gerry",5,86,4,90,82,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,
UBC,2006,W,SOCI,508,A,001,ADV METHODS SEM,"Veenstra, Gerry",5,85.8,3.42,90,81,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,,,
UBC,2007,W,SOCI,328,A,002,SOCIAL STATS I,"Veenstra, Gerry",66,73.57,14.11,100,39,58,2,5,0,1,0,0,0,1,1,2,3,6,3,5,8,4,5,8,7,9,,,
UBC,2009,W,SOCI,508,A,001,ADV METHODS SEM,"Veenstra, Gerry",4,88.25,2.63,91,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,
UBC,2012,S,SOCI,328,A,001,SOCIAL STATS I,"Veenstra, Gerry",71,72.77,11.05,92,44,68,1,0,1,1,0,0,0,0,1,1,4,4,5,9,7,9,7,15,6,2,,,
UBC,2013,W,SOCI,328,A,003,SOCIAL STATS I,"Veenstra, Gerry",75,72.67,13.32,91,0,72,1,1,0,1,1,0,0,0,0,1,4,4,3,9,9,10,11,11,6,5,,,
UBC,2013,W,SOCI,479,A,001,DETERMNTS HEALTH,"Veenstra, Gerry",34,80.35,9.62,96,60,34,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,6,7,7,6,,,
UBC,2014,W,SOCI,328,A,003,SOCIAL STATS I,"Veenstra, Gerry",75,67.86,14.48,99,30,70,4,1,0,0,0,0,0,3,1,4,8,10,7,4,7,11,4,13,1,5,,,
UBC,2014,W,SOCI,328,A,005,SOCIAL STATS I,"Veenstra, Gerry",76,69.92,11.42,91,32,72,1,1,2,0,0,0,0,1,0,1,3,11,7,5,9,12,8,11,4,2,,,
UBC,2014,W,SOCI,479,A,001,DETERMNTS HEALTH,"Veenstra, Gerry",29,77.97,10.14,97,59,29,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,1,6,4,5,3,,,
UBC,2014,W,SOCI,502,,001,RS DSG&TEC: QUAN,"Veenstra, Gerry",5,86.2,5.22,93,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,,,
UBC,2015,W,SOCI,328,,001,SOCIAL STATS I,"Veenstra, Gerry",79,73.57,11.58,100,45,76,1,1,1,0,0,0,0,0,1,1,2,7,6,9,5,12,9,11,11,4,,,
UBC,2015,W,SOCI,328,A,001,SOCIAL STATS I,"Veenstra, Gerry",33,69.58,20.22,93,10,30,3,0,0,0,0,2,0,1,0,3,2,2,3,3,1,4,2,5,5,3,,,
