Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,PSYC,302,,004,Infancy,Julia Winter Van De Vondervoort;Wanying Zhao,130,69.26923077,11.24000915,92.0,41.0,7,,13,16,19,14,18,15,12,12,
UBCV,2015,W,PSYC,302,,003,Infancy,Jane Hamlin;Julia Winter Van De Vondervoort,75,72.626666667,12.850253266,93.0,41.0,,,6,5,7,6,10,9,10,8,7
UBCV,2016,W,PSYC,302,,003,Infancy,Donald Danielson;Julia Winter Van De Vondervoort,133,72.2481203,12.72280583,97.0,13.0,5,6,6,11,14,17,15,15,18,17,9
UBCV,2017,S,PSYC,322,,951,Adulthood and Aging,Julia Winter Van De Vondervoort;Mario Garrett,144,72.416666667,7.759947372,89.0,50.0,0,2,5,13,17,21,33,28,18,7,0
UBCV,2017,W,PSYC,102,,902,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Amy Janeck;Avarna Fernandes;Julia Winter Van De Vondervoort;Lillian May;Yang Ge,99,69.414141414,16.019764643,96.0,0.0,12,2,7,10,4,14,12,9,9,11,9
UBCV,2017,W,PSYC,302,,004,Infancy,Jane Hamlin;Julia Winter Van De Vondervoort,134,71.985074627,11.512650822,97.0,40.0,3,8,9,12,9,17,20,19,19,12,6
UBCV,2018,W,PSYC,302,,002,Infancy,Drew Elizabeth Weatherhead;Drew Weatherhead;Julia Winter Van De Vondervoort;Raechel Drew,173,70.283236994,11.898583409,97.0,31.0,4,13,19,16,20,20,20,22,18,11,10
UBCV,2018,W,PSYC,302,,004,Infancy,Jane Hamlin;Julia Winter Van De Vondervoort,93,72.268817204,12.015515138,97.0,48.0,1,3,7,14,14,9,11,7,5,15,7
UBCV,2019,S,PSYC,319,,951,Applied Developmental Psychology,Brittany Cole;Julia Winter Van De Vondervoort;Lillian May,129,72.891472868,11.758135687,98.0,40.0,1,5,12,14,11,18,10,11,21,16,10
UBCV,2019,W,PSYC,302,,001,Infancy,Julia Winter Van De Vondervoort;Lillian May,103,72.553398058,11.628841895,98.0,39.0,1,8,8,7,4,13,15,18,13,11,5
UBCV,2019,W,PSYC,302,,003,Infancy,Hongyuan Qi;Julia Winter Van De Vondervoort;Lillian May;Vivian Hongyuan Qi;Vivian Qi,142,74.584507042,11.950395677,95.0,29.0,2,5,6,12,10,22,12,16,25,11,21
UBCV,2019,W,PSYC,302,,902,Infancy,Julia Winter Van De Vondervoort;Nicole Sugden,62,74.693548387,10.904336195,94.0,49.0,1,2,2,4,6,8,8,11,6,9,5
