Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2014,W,LFS,250,,001,"Land, Food and Community I",Adrienne Levay;Camil Dumont;Ghazal Ebrahimi;Hannah Wittman;Jessica Dennis;Madeleine Daepp;Rachael Bates;Samantha Gambling;Susanna Klassen;Tugce Conger;William Valley,280,77.20714286,8.31675463,92.0,26.0,,,,6,19,20,38,68,77,35,8,,,
UBCV,2014,W,LFS,350,,001,"Land, Food, and Community II",Eduardo Jovel;Joshua Edward;Kieran Findlater;Kristina D Michaux;Lyudmila Rodina;Megan Schneider;Nicolas Ernesto Talloni-Alvarez;Nicolas Talloni-Alvarez;William Valley,199,80.43718593,8.640100549,95.0,27.0,,,,,,14,15,45,60,30,27,,,
UBCV,2015,W,LFS,250,,001,"Land, Food and Community I",Allison Witter;Dan Clegg;Dan John Clegg;Daniel Klein;Evan Bowness;Evan William Bowness;Francisco Gomez Lopez;Francisco Javier Gomez Lopez;Jillian Guerra;Madeleine Daepp;Martina Clausen;Samantha Gambling;Susanna Klassen;William Valley,279,77.161290323,8.63815818,100.0,40.0,,,6,5,18,28,43,59,59,41,15,,,
UBCV,2015,W,LFS,350,,001,"Land, Food, and Community II",Adrienne Levay;Carrie Elise James;Carrie James;Eduardo Jovel;Joshua Edward;Latika Raisinghani;William Valley,139,83.424460432,8.723596534,96.0,33.0,,,,,,6,8,18,37,29,37,,,
UBCV,2015,W,LFS,350,,002,"Land, Food, and Community II",Adrienne Levay;Carrie Elise James;Carrie James;Joshua Edward;Latika Raisinghani;William Valley,105,76.8,10.440674897,94.0,16.0,,,,,,10,13,26,23,16,5,,,
UBCV,2015,W,LFS,400,,001,Audio Storytelling,Duncan M Mchugh;Duncan Mchugh;William Valley,12,82.666666667,7.935344792,92.0,67.0,0,0,0,0,,,,,,5,,,,
UBCV,2016,W,LFS,250,,001,"Land, Food and Community I",Alexis Sutherland;Allison Witter;Dan Clegg;Dan John Clegg;Daniel Klein;Evan Bowness;Evan William Bowness;Hiral Sejpal;Huamani Orrego;Sean Kearney;Siddhartho Paul;Siddhartho Shekhar Paul;Theodore Eyster;William Valley;Wilson Mendes;Wilson Pereira Mendes,271,77.41328413,8.238058063,97.0,42.0,2,4,4,4,13,20,41,64,76,34,9,,,
UBCV,2016,W,LFS,350,,001,"Land, Food, and Community II",Carrie James;Colin Charles Dring;Colin Dring;Francisco Gomez Lopez;Francisco Javier Gomez Lopez;Latika Raisinghani;William Valley,141,78.93617021,7.573650531,93.0,57.0,0,0,2,4,7,10,15,24,47,25,7,,,
UBCV,2016,W,LFS,350,,002,"Land, Food, and Community II",Carrie James;Colin Charles Dring;Colin Dring;Francisco Gomez Lopez;Francisco Javier Gomez Lopez;Latika Raisinghani;William Valley,140,76.75714286,9.291344645,92.0,50.0,0,4,6,4,8,9,20,18,47,17,7,,,
UBCV,2016,W,LFS,400,,001,Audio Storytelling,Duncan M Mchugh;Duncan Mchugh;William Valley,20,82.0,9.043753296,92.0,64.0,0,0,0,0,3,1,0,1,5,7,3,,,
UBCV,2017,W,LFS,100,,001,"Introduction to Land, Food and Community",Akshit Puri;Ilan David Wright;Ilan Wright;Rickey Yada;William Valley,290,85.275862069,15.221766767,100.0,0.0,6,5,4,5,9,15,15,15,27,45,144,,,
UBCV,2017,W,LFS,100,,002,"Introduction to Land, Food and Community",Rickey Yada;William Valley,56,93.071428571,8.63998557,100.0,58.0,0,0,1,0,0,0,2,1,5,8,39,,,
UBCV,2017,W,LFS,250,,001,"Land, Food and Community I",Ada Smith;Amber A Heckelman;Amber Heckelman;Celina Guadalupe Solis-Becerra;Celina Solis-Becerra;Chelsea Gowton;Chelsea Megan Gowton;Dan Clegg;Dan John Clegg;Juli Carrillo;Kwesi Yaro;Rachel Marie Mazac;Rachel Mazac;Siddhartho Paul;Siddhartho Shekhar Paul;Tebogo Leepile;William Valley;Yeonuk Kim,302,83.125827815,8.866154718,98.0,3.0,2,0,4,0,5,7,17,39,74,103,51,,,
UBCV,2017,W,LFS,350,,001,"Land, Food, and Community II",Alexis Sutherland;Colin Charles Dring;Colin Dring;Susanna Klassen;William Valley;Wilson Mendes;Wilson Pereira Mendes,136,80.080882353,10.092208324,94.0,9.0,1,2,0,3,5,4,13,27,36,28,17,,,
UBCV,2017,W,LFS,350,,002,"Land, Food, and Community II",Colin Charles Dring;Colin Dring;Stephanie Lim;Victoria Ostenso;Victoria Rae Ostenso;William Valley;Wilson Mendes;Wilson Pereira Mendes,126,80.904761905,6.710503494,91.0,59.0,0,0,2,0,4,8,6,23,42,33,8,,,
UBCV,2017,W,LFS,400,,001,Audio Storytelling,Duncan Mchugh;William Valley,17,88.058823529,9.542474707,97.0,64.0,0,0,0,0,2,0,0,1,0,5,9,,,
UBCV,2018,W,LFS,100,,001,"Introduction to Land, Food and Community",Akshit Puri;Iris Elena Lopez Ramirez;Iris Lopez Ramirez;Rickey Yada;William Valley,314,85.684713376,13.175127431,100.0,12.0,6,6,2,5,4,12,13,20,32,51,163,,,
UBCV,2018,W,LFS,100,,002,"Introduction to Land, Food and Community",Akshit Puri;Andreas Christen;David Fraser;Iris Elena Lopez Ramirez;Iris Lopez Ramirez;William Valley,58,88.051724138,11.353061901,100.0,53.0,0,1,0,1,3,3,1,1,7,4,37,,,
UBCV,2018,W,LFS,250,,001,"Land, Food and Community I: Introduction to Food Systems and Sustainability",Alejandra Virgen Urcelay;Celina Guadalupe Solis-Becerra;Celina Solis-Becerra;Chelsea Gowton;Chelsea Megan Gowton;Corine Singfield;Isaac Jonas;Juli Carrillo;Julio Cabra Arias;Julio Cesar Cabra Arias;Kwesi Yaro;Marieta Marin Bruzos;Rachel Marie Mazac;Rachel Mazac;Siddhartho Paul;Siddhartho Shekhar Paul;Susanna Klassen;William Valley,308,82.227272727,6.691452788,93.0,40.0,1,2,0,3,4,7,23,33,112,106,17,,,
UBCV,2018,W,LFS,350,,001,"Land, Food, and Community II: Principles and Practice of Community Food Security",Andrew Alan Phillips;Andrew Phillips;Colin Charles Dring;Lauren Oakley;Stephanie Lim;William Valley;Wilson Mendes;Wilson Pereira Mendes,155,83.129032258,6.803083408,95.0,53.0,0,1,1,2,1,2,10,17,45,58,18,,,
UBCV,2018,W,LFS,350,,002,"Land, Food, and Community II: Principles and Practice of Community Food Security",Andrew Alan Phillips;Andrew Phillips;Colin Charles Dring;Colin Dring;Lauren Oakley;William Valley;Wilson Mendes;Wilson Pereira Mendes,138,79.152173913,7.672971021,96.0,50.0,0,1,2,4,5,6,20,21,47,27,5,,,
UBCV,2018,W,LFS,400,,001,Audio Storytelling,Duncan Mchugh;William Valley,12,82.583333333,14.487978298,96.0,46.0,1,0,0,0,1,0,1,0,1,4,4,,,
UBCV,2019,W,LFS,100,,001,"Introduction to Land, Food and Community",Andrew Phillips;Candice Rideout;Francine Emmonds;Francine Marion Emmonds;Jordie Alexandra Janice Fischer;Jordie Fischer;Katheryn Iu;Rickey Yada;Sophie Nitoslawski;William Valley,136,86.669117647,9.690816689,97.0,40.0,2,2,1,0,1,3,2,7,19,28,71,,,
UBCV,2019,W,LFS,250,,001,"Land, Food and Community I: Introduction to Food Systems and Sustainability",Carly Mcgregor;Chelsea Gowton;Chelsea Megan Gowton;Chris M S Thoreau;Chris Thoreau;Dana James;Evan Bowness;Evan William Bowness;Gabrielle Brynne Edwards;Gabrielle Edwards;Georgia Alexandra Stanley;Georgia Stanley;Isaac Jonas;Jennifer Lee Kluttz;Juli Carrillo;Kwesi Yaro;Matthew Gerald Earle Mitchell;Matthew Mitchell;Seri Niimi-Burch;Siddhartho Paul;William Valley,299,79.886287625,8.346548895,96.0,40.0,1,1,5,6,10,19,37,43,82,64,31,,,
UBCV,2019,W,LFS,350,,001,"Land, Food, and Community II: Principles and Practice of Community Food Security",Andrew Phillips;Lauren Oakley;Leticia Garcia;William Valley;Wilson Mendes;Wilson Pereira Mendes,152,83.605263158,7.363915866,100.0,52.0,0,1,0,1,2,3,9,21,46,39,30,,,
UBCV,2019,W,LFS,350,,002,"Land, Food, and Community II: Principles and Practice of Community Food Security",Andrew Phillips;Daniel Weary;Lauren Oakley;Leticia Garcia;Tereza Cajkova;William Valley;Wilson Mendes,150,82.073333333,9.065826879,97.0,50.0,0,3,1,3,1,7,15,16,36,38,30,,,
UBCV,2019,W,LFS,400,,001,Audio Storytelling,Duncan Mchugh;William Valley,16,86.875,4.716990566,98.0,80.0,0,0,0,0,0,0,0,0,4,8,4,,,
UBCV,2019,W,LFS,490,,001,Topics in Land and Food Systems,William Valley,15,86.733333333,9.19989648,95.0,62.0,0,0,0,1,0,1,0,0,1,4,8,,,
UBCV,2020,W,LFS,250,,001,"Land, Food and Community I: Introduction to Food Systems and Sustainability",Atlanta-Marinna Grant;Chelsea Gowton;Chris Thoreau;Gabrielle Edwards;Georgia Stanley;Jennifer Lee Kluttz;Jennifer Lipka;Kwesi Yaro;Matthew Gerald Earle Mitchell;Matthew Mitchell;Nicolas Talloni-Alvarez;Seri Niimi-Burch;Susanna Klassen;William Valley,312,81.317307692,8.515464755,98.0,32.0,1,2,3,5,4,28,22,40,83,81,43,,,
UBCV,2020,W,LFS,350,,001,"Land, Food, and Community II: Principles and Practice of Community Food Security",Colin Dring;Daniel Sax;Lauren Oakley;Rebecca Wolff;Russell Goulet;Tereza Cajkova;William Valley,154,85.422077922,6.418704762,96.0,62.0,0,0,0,1,1,3,7,14,31,57,40,,,
