Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,FISH,503,,001,FISHERIES POLICY,"Vincent, Amanda",12,83.18,5.36,93,75,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,1
UBC,2002,W,MEDI,502,,001,EXPTL MED METHOD,"Duronio, Vincent",19,85.79,3.39,90,76,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,1
UBC,2002,W,NRSC,500,,001,NEUROSCIENCE I,"Vincent, Steven",25,81.92,7.46,95,64,24,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,9,5,4
UBC,2002,W,NRSC,501,,001,NEUROSCIENCE II,"Vincent, Steven",25,81.08,6.45,93,69,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,8,7,2
UBC,2002,W,NRSC,549,,001,MASTER'S THESIS,"Vincent, Steven",16,84.67,3.21,87,81,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
UBC,2002,W,NRSC,649,,001,PH.D THESIS,"Vincent, Steven",31,,,,,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,EPSE,313,,205,EDUC APPL DEV TH,"White, Vincent",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,FISH,503,,001,FISHERIES POLICY,"Vincent, Amanda",7,81.57,11.36,91,57,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1
UBC,2003,W,MEDI,502,,001,EXPTL MED METHOD,"Duronio, Vincent",23,84.61,5.28,92,68,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,5
UBC,2003,W,NRSC,500,,001,NEUROSCIENCE I,"Vincent, Steven",32,84.66,8.02,97,60,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,7,8,10
UBC,2003,W,NRSC,501,,001,NEUROSCIENCE II,"Vincent, Steven",28,83.36,4.89,92,70,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,8,4
