Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2017,W,PSYO,121,,101,Introduction to Psychology: Personal Functioning,Cassidy Wallis;Derrick Wirtz;Shirley Hutchinson;Tatiana Sanchez;Zakary Draper,243,73.16872428,13.376629785,100.0,19.0,7,9,25,18,30,27,18,22,32,25,30,,,
UBCO,2017,W,PSYO,321,,001,Child Development,Cassidy Wallis;Maya Pilin;Shirley Hutchinson,182,82.296703297,10.126814147,100.0,49.0,1,1,3,2,7,13,18,23,30,29,55,,,
UBCO,2017,W,PSYO,356,,001,Forensic Psychology II,Cassidy Wallis;Katherine Rose;Michael Woodworth,130,73.192307692,11.858399799,95.0,28.0,5,3,3,16,11,16,22,8,24,12,10,,,
UBCO,2017,W,PSYO,480,M,001,Advanced Special Topics in Psychology,Cassidy Wallis;Katherine Rose;Michael Woodworth,24,87.958333333,4.620174725,95.0,78.0,0,0,0,0,0,0,0,1,3,11,9,,,
UBCO,2018,W,PSYO,111,,102,Introduction to Psychology: Basic Processes,Cassidy Wallis;Maia Terran;Shirley Hutchinson,194,72.798969072,13.708882902,99.0,0.0,6,9,15,25,12,18,19,23,24,26,17,,,
UBCO,2018,W,PSYO,121,,104,Introduction to Psychology: Personal Functioning,Cassidy Wallis;Lydia Wood;Renee Berger;Renee Marie Berger;Shirley Hutchinson;Taylor Mccreary,283,74.197879859,12.753933996,100.0,34.0,12,4,20,19,30,30,35,22,49,30,32,,,
UBCO,2018,W,PSYO,271,,101,Introduction to Data Analysis,Cassidy Wallis;Maya Pilin;Renee Berger;Stefanie Ciszewski,197,81.47715736,17.380077031,100.0,2.0,7,4,9,4,11,14,12,10,18,31,77,,,
UBCO,2018,W,PSYO,348,,001,Health Psychology,Cassidy Wallis;Kailey Melna;Linda Hatt,71,78.887323944,7.243813707,93.0,61.0,0,0,0,2,1,13,8,8,23,11,5,,,
UBCO,2018,W,PSYO,460,,001,History and Theories of Psychology,Cassidy Wallis;Kailey Melna;Linda Hatt,15,79.0,10.683766056,92.0,57.0,0,0,1,1,0,1,3,1,1,4,3,,,
UBCO,2019,W,PSYO,335,,001,Drugs and Behaviour,Cassidy Wallis;Jill Robinson;Marvin Krank,195,74.779487179,11.17331088,100.0,39.0,1,6,14,10,17,25,30,30,23,19,20,,,
UBCO,2019,W,PSYO,354,,101,Psychological Aspects of Human Sexuality II,Cassidy Wallis;Evanya Musolino;Graham Armstrong;Jan Cioe;Tyler Arnold,176,77.863636364,10.361116121,97.0,46.0,1,5,4,6,15,17,13,20,47,32,16,,,
UBCO,2020,W,PSYO,271,,101,Introduction to Data Analysis,Bryn Tannar;Cassidy Wallis;Crystal Mundy;Jan Cioe;Maya Pilin;Samantha Maki,308,76.646103896,16.66555727,100.0,6.0,20,11,15,12,19,18,26,38,33,40,76,,,
UBCO,2020,W,PSYO,353,,001,Psychological Aspects of Human Sexuality I,Cassidy Wallis;Jan Cioe;Maya Pilin;Samantha Maki,333,80.90990991,10.39944642,98.0,35.0,2,5,8,11,14,11,32,44,55,79,72,,,
UBCO,2020,W,PSYO,354,,101,Psychological Aspects of Human Sexuality II,Cassidy Wallis;Jan Cioe;Maya Pilin;Samantha Maki,160,77.55625,10.763756373,94.0,25.0,2,3,6,5,7,13,21,24,33,33,13,,,
UBCO,2021,S,PSYO,380,T,001,Special Topics in Psychology,Cassidy Wallis,57,83.631578947,13.908670958,97.0,0.0,1,0,0,1,0,2,4,8,7,15,19,,,
UBCO,2021,W,PSYO,355,,001,Forensic Psychology I,Cassidy Wallis;Katherine Rose;Michael Woodworth,338,78.301775148,11.103133855,99.0,47.0,3,8,10,14,22,27,45,40,63,51,55,,,
UBCO,2021,W,PSYO,356,,001,Forensic Psychology II,Cassidy Wallis;Katherine Rose;Michael Woodworth,182,75.972527473,11.654051684,98.0,27.0,5,2,8,15,12,13,26,24,31,29,17,,,
UBCO,2021,W,PSYO,480,A,001,Advanced Special Topics in Psychology,Anne Tseu;Cassidy Wallis;Katherine Rose;Michael Woodworth,30,89.9,4.11347659,96.0,78.0,0,0,0,0,0,0,0,1,1,13,15,,,
UBCO,2021,S,PSYO,380,T,001,Special Topics in Psychology,Cassidy Wallis,57,83.6,,97.0,0.0,,,,,,,,8,7,15,19,88.0,91.0,78.0
UBCO,2022,S,PSYO,380,T,001,Special Topics in Psychology,Cassidy Wallis,57,84.1,,100.0,49.0,1,0,1,3,0,3,6,2,8,11,22,87.0,91.0,76.0
