Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2018,W,ENGL,110,,030,INTRO LITERATURE,"Wong, Danielle",37,74.14,7.7,84,50,37,0,0,0,0,0,0,0,0,0,0,2,0,0,4,7,5,7,12,0,0,,,
UBC,2018,W,ENGL,224,,004,WORLD LIT IN ENG,"Wong, Danielle",44,72.25,12.97,84,8,38,2,2,0,1,1,0,0,1,0,2,0,0,1,2,5,13,10,7,0,0,,,
UBC,2018,W,ENGL,409,B,002,CRITICAL THEORY,"Wong, Danielle",42,76.95,5.51,86,60,38,0,1,1,2,0,0,0,0,0,0,0,0,1,2,2,8,11,12,2,0,,,
UBCV,2018,W,ENGL,110,,030,Approaches to Literature,Danielle Wong,37,74.135135135,7.699791347,84.0,50.0,,,,,,,,,,,0,2,0,0,4,7,5,7,12,0,0,,,
UBCV,2018,W,ENGL,224,,004,World Literature in English,Danielle Wong,42,70.785714286,16.96989546,84.0,0.0,,,,,,,,,,,3,0,0,1,2,5,13,10,8,0,0,,,
UBCV,2018,W,ENGL,409,B,002,Modern Critical Theories,Danielle Wong,40,76.825,5.490726448,86.0,60.0,,,,,,,,,,,0,0,0,1,2,3,8,12,12,2,0,,,
UBCV,2019,W,ENGL,110,,008,Approaches to Literature,Danielle Wong;Dylan Bateman;Edward Smith;Samuel Wee;Stephanie Lu;Sylvanna Baugh,133,74.233082707,9.082022884,90.0,21.0,,,,,,,,,,,2,2,2,6,12,14,19,34,37,4,1,,,
UBCV,2019,W,ENGL,200,,007,Principles of Literary Studies,Danielle Wong;Phanuel Antwi,25,76.08,5.282991577,88.0,64.0,,,,,,,,,,,0,0,0,0,1,2,6,10,4,2,0,,,
UBCV,2019,W,ENGL,371,,001,Asian Canadian and/or Asian Transnational Studies,Danielle Wong,45,74.155555556,12.69207977,86.0,0.0,,,,,,,,,,,1,0,1,0,3,2,13,14,9,2,0,,,
UBCV,2019,W,ENGL,555,A,001,Studies in Literature and the Other Arts,Danielle Wong,9,85.0,2.121320344,87.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,7,0,,,
UBCV,2020,W,ENGL,200,,003,Principles of Literary Studies,Danielle Wong,30,76.2,4.70069694,86.0,65.0,,,,,,,,,,,0,0,0,0,1,3,11,8,6,1,0,,,
UBCV,2020,W,ENGL,371,,001,Asian Canadian and/or Asian Transnational Studies,Danielle Wong;Joyce Oh;Joyce Young-Joo Oh,43,77.465116279,9.011497516,85.0,24.0,,,,,,,,,,,1,0,0,0,0,0,9,14,16,3,0,,,
UBCV,2020,W,ENGL,491,L,003,Senior Honours Seminar,Danielle Wong,10,82.9,2.514402955,86.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,1,5,4,0,,,
UBCV,2021,W,ACAM,320,D,001,Selected Topics in ACAM Studies,Danielle Wong,12,80.916666667,3.553700589,86.0,75.0,,,,,,,,,,,0,0,0,0,0,0,2,3,5,2,0,,,
UBCV,2021,W,ENGL,110,,005,Approaches to Literature,Courtney Krentz;Danielle Wong;Jenkin Benson;Joyce Oh;Reed Clements;Robert Steele;Samuel Wee,174,72.959770115,9.254500043,93.0,23.0,,,,,,,,,,,4,6,4,4,13,25,41,43,27,6,1,,,
UBCV,2021,W,ENGL,224,,002,World Literature in English,Danielle Wong,41,76.292682927,6.87475055,86.0,47.0,,,,,,,,,,,1,0,0,1,1,5,5,13,13,2,0,,,
UBCV,2021,W,ENGL,377,,001,World Literature and Social Movements,Danielle Wong;Nicholas James Hudson,44,78.545454545,18.310569505,90.0,0.0,,,,,,,,,,,4,0,0,0,0,0,0,2,22,14,2,,,
UBCV,2021,W,ENGL,553,A,001,Studies in Literary Theory,Danielle Wong,12,79.75,13.89653325,90.0,50.0,,,,,,,,,,,0,,,,,,,,4,5,1,,,
UBCV,2021,W,ACAM,320,D,001,Selected Topics in ACAM Studies,Danielle Wong,12,80.9,,86.0,75.0,,,,,,,,,,,,,,,,,,,,,,82.0,83.0,79.0
UBCV,2021,W,ENGL,110,,005,Approaches to Literature,Danielle Wong,174,73.0,,93.0,23.0,,,,,,,,,,,,6,,,13,25,41,43,27,6,,74.0,79.0,70.0
UBCV,2021,W,ENGL,224,,002,World Literature in English,Danielle Wong,41,76.3,,86.0,47.0,,,,,,,,,,,,,,,,,,13,13,,,77.0,81.0,75.0
UBCV,2023,W,ACAM,320,D,001,Selected Topics in ACAM Studies,Danielle Wong,14,80.79,,86.0,72.0,,,,,,,,,,,0,0,0,0,0,0,3,1,6,4,0,81.0,84.75,79.25
UBCV,2023,W,ENGL,110,,004,Approaches to Literature and Culture,Danielle Wong,171,73.1,,92.0,0.0,,,,,,,,,,,5,6,5,7,17,15,16,40,44,13,2,76.0,81.0,69.0
UBCV,2023,W,ENGL,300,,001,Introduction to Critical Theory,Kimberly Bain;Danielle Wong,43,78.5,,88.0,51.0,,,,,,,,,,,0,1,1,2,0,2,3,9,17,7,0,81.0,84.0,76.3
UBCV,2023,W,ENGL,553,B,002,Studies in Literary Theory,Danielle Wong,10,86.0,,90.0,82.0,,,,,,,,,,,0,0,0,0,0,0,0,0,3,5,2,85.5,87.0,84.3
