Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2016,W,BIOL,332,,201,Protistology,Donald Kanhonn Wong;Donald Wong;Juan Saldarriaga,26,64.92307692,17.35493723,99.0,10.0,2,3,3,4,1,3,4,3,1,1,1,,,
UBCV,2017,W,BIOL,332,,201,Protistology,Donald Kanhonn Wong;Donald Wong;Juan Saldarriaga,23,67.173913043,15.790250657,92.0,37.0,3,3,1,1,0,2,7,1,3,1,1,,,
UBCV,2018,W,BIOL,200,,000,Fundamentals of Cell Biology,Alberto Delaidelli;Arezoo Alemzadeh Mehrizi;Busra Turgu;Donald Kanhonn Wong;Donald Wong;Freddy Abelanjo Francis;Freddy Francis;Jacky Kieran Leung;Jan Xue;Jasem Estakhr;Jens Vent Schmidt;Katelyn Hudak;Robin Young;Samantha Burugu;Sofya Langman;Solveig Lillith Van Wersch;Solveig Van Wersch;Wesley Gerelle;Wesley Kirk Gerelle;Yang Liu;Yuan Xiong,1140,72.510526316,12.487214662,96.0,5.0,92,6,40,74,81,135,153,150,234,142,33,,,
UBCV,2019,W,BIOL,200,,000,Fundamentals of Cell Biology,Beatrice Rost-Komiya;Busra Turgu;Christian Cizek;Christian Gregory Cizek;Di Wu;Donald Kanhonn Wong;Donald Wong;Farnaz Pournia;James Lee Marchant;James Marchant;Jorge Vallejos;Ka Yee Lam;Lucia Amanda Quesada - Ramirez;Lucia Quesada - Ramirez;Lucia Quesada-Ramirez;Nanbing Zhang;Philippa Mary Stone;Philippa Stone;Qian Zhang;Sofya Langman;Tonya Severson;Vivienne Lam;Wesley Gerelle;Wesley Kirk Gerelle;Yi Xue Na,1149,73.652741514,12.113805722,93.0,5.0,89,3,22,53,99,132,147,152,245,167,40,,,
UBCV,2020,W,BIOL,200,,000,Fundamentals of Cell Biology,Araliya Arnott;Busra Turgu;Christian Cizek;Christina Hsu;Donald Wong;Farnaz Pournia;Hassan Ali;James Marchant;Jayamini Jayawardhane;Justin Carless;Ka Yee Lam;Natalie Casson;Paul Kapos;Philippa Stone;Shuang Yang;Sravya Paluri;Vivienne Lam;Wesley Gerelle,1093,75.35315645,12.846433122,96.0,15.0,89,2,9,39,92,96,126,137,226,174,103,,,
UBCV,2022,W,MICB,405,,101,Bioinformatics,Martin Hirst;Donald Wong,62,76.1,,91.0,57.0,1,0,2,0,6,6,10,18,9,8,2,76.0,80.8,72.0
UBCV,2022,W,MICB,425,,201,Microbial Ecological Genomics,Sean Crowe;Donald Wong,47,88.5,,93.0,75.0,0,0,0,0,0,0,1,1,6,15,24,90.0,91.0,87.0
UBCV,2023,S,BIOL,111,,921,Introduction to Modern Biology,Donald Wong,117,79.0,,97.0,30.0,2,2,4,3,7,5,10,18,18,25,18,82.0,87.0,74.8
UBCV,2023,W,BIOL,111,,101,Introduction to Modern Biology,Donald Wong,238,76.9,,98.0,17.0,6,10,8,12,10,17,29,28,43,35,36,79.0,86.0,71.0
UBCV,2023,W,BIOL,111,,201,Introduction to Modern Biology,Donald Wong,275,83.6,,99.0,0.0,9,1,3,2,6,7,19,18,35,62,109,87.0,92.0,80.0
UBCV,2023,W,MICB,405,,101,Bioinformatics,Martin Hirst;Donald Wong,66,74.0,,90.0,36.0,1,1,4,4,6,6,9,15,11,8,1,76.0,81.0,71.0
