Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2020,W,COMM,390,,115,Business Writing,Gavin Wilson,19,79.789473684,5.75015891,92.0,71.0,0,0,0,0,0,1,4,6,5,1,2,,,
UBCV,2020,W,COMM,390,,116,Business Writing,Gavin Wilson,19,80.263157895,6.135888103,91.0,69.0,0,0,0,0,0,1,3,6,4,4,1,,,
UBCV,2021,W,COMM,390,,123,Business Writing,Gavin Wilson,20,78.5,7.05989414,91.0,67.0,0,0,0,0,1,2,6,4,1,4,2,,,
UBCV,2021,W,COMM,390,,124,Business Writing,Gavin Wilson,18,76.833333333,6.176330531,89.0,66.0,0,0,0,0,1,2,4,6,3,2,0,,,
UBCV,2021,W,COMM,390,,213,Business Writing,Gavin Wilson,19,77.0,5.517648452,87.0,69.0,0,0,0,0,0,3,6,3,5,2,0,,,
UBCV,2021,W,COMM,390,,214,Business Writing,Gavin Wilson,17,79.941176471,6.465974291,95.0,68.0,0,0,0,0,0,2,2,3,7,1,2,,,
UBCV,2021,W,COMM,390,,123,Business Writing,Gavin Wilson,20,78.5,,91.0,67.0,,,,,,,6,,,,,76.5,85.3,73.5
UBCV,2021,W,COMM,390,,124,Business Writing,Gavin Wilson,18,76.8,,89.0,66.0,,,,,,,,6,,,,77.5,81.3,73.0
UBCV,2021,W,COMM,390,,213,Business Writing,Gavin Wilson,19,77.0,,87.0,69.0,,,,,,,6,,,,,76.0,81.5,73.0
UBCV,2021,W,COMM,390,,214,Business Writing,Gavin Wilson,17,79.9,,95.0,68.0,,,,,,,,,7,,,80.0,81.0,78.0
UBCV,2022,W,COMM,390,,121,Business Writing,Gavin Wilson,20,80.4,,87.0,72.0,0,0,0,0,0,0,3,7,5,5,0,80.0,84.3,76.8
UBCV,2022,W,COMM,390,,205,Business Writing,Gavin Wilson,20,79.6,,88.0,70.0,0,0,0,0,0,1,2,6,8,3,0,80.0,82.3,77.0
