Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2017,W,DANI,100,,001,ELEM DANISH 1,"West, Kim",18,80.5,11.64,97,59,18,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,3,2,1,6
UBC,2017,W,DANI,110,,001,ELEM DANISH 2,"West, Kim",10,73.9,10.63,88,54,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,2,1,0
UBC,2017,W,DANI,200,,001,INT DANISH 1,"West, Kim",4,80.75,4.03,84,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
UBC,2017,W,DANI,210,,001,INT DANISH 2,"West, Kim",5,79.2,8.14,87,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0
UBC,2017,W,SCAN,333,,001,MAJOR SCAN LIT,"West, Kim",66,80.5,6.54,91,50,64,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,7,12,23,15,3
UBC,2017,W,SCAN,414,,001,TOP DAN & N EURO,"West, Kim",46,77.02,10.39,89,30,43,2,1,0,0,0,0,0,1,1,2,0,0,1,1,5,3,13,12,8,0
UBC,2018,W,DANI,100,,001,ELEM DANISH 1,"West, Kim",25,79.44,7.17,88,63,25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,3,7,8,0
UBC,2018,W,DANI,110,,001,ELEM DANISH 2,"West, Kim",12,79.42,7.82,93,70,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,2,1
UBC,2018,W,DANI,200,,001,INT DANISH 1,"West, Kim",4,82.5,7.05,89,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
UBC,2018,W,SCAN,335,,001,VIKINGS & MYTH,"West, Kim",56,77.28,10.48,90,26,53,1,0,0,1,0,0,1,0,0,1,1,2,0,0,4,8,11,17,9,1
UBC,2018,W,SCAN,414,,001,TOP DAN & N EURO,"West, Kim",51,78.7,7.84,97,52,50,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9,8,19,7,2
UBCV,2017,W,DANI,100,,001,Elementary Danish I,Kim West,18,80.5,11.64297314,97.0,59.0,,,,,,,,,,,0,0,1,0,2,2,1,3,2,1,6
UBCV,2017,W,DANI,110,,001,Elementary Danish II,Kim West,10,73.9,10.629623177,88.0,54.0,,,,,,,,,,,0,1,1,0,0,0,4,1,2,1,0
UBCV,2017,W,SCAN,333,,001,Major Works of Scandinavian Literature (in English),Kim West,65,80.569230769,6.514333309,91.0,50.0,,,,,,,,,,,0,1,0,0,1,2,7,12,23,16,3
UBCV,2017,W,SCAN,414,,001,Topics in Danish and Northern European Cultural Studies (in English).,Kim West,45,77.022222222,10.393373958,89.0,30.0,,,,,,,,,,,2,0,0,1,1,5,3,13,12,8,0
UBCV,2018,W,DANI,100,,001,Elementary Danish I,Kim West,25,79.44,7.165193647,88.0,63.0,,,,,,,,,,,0,0,0,1,2,0,4,3,7,8,0
UBCV,2018,W,DANI,110,,001,Elementary Danish II,Kim West,12,79.416666667,7.82139645,93.0,70.0,,,,,,,,,,,0,0,0,0,0,2,4,1,2,2,1
UBCV,2018,W,SCAN,335,,001,Vikings and Norse Mythology (in English),Kim West,56,77.267857143,10.285896914,90.0,26.0,,,,,,,,,,,1,1,2,0,0,4,8,13,17,9,1
UBCV,2018,W,SCAN,414,,001,Topics in Danish and Northern European Cultural Studies (in English).,Kim West,51,78.431372549,7.99063177,97.0,52.0,,,,,,,,,,,0,1,1,1,2,1,9,8,19,7,2
UBCV,2019,W,DANI,100,,001,Elementary Danish I,Kim West,14,79.428571429,8.446339997,90.0,68.0,,,,,,,,,,,0,0,0,0,0,3,2,2,2,3,2
UBCV,2019,W,DANI,110,,001,Elementary Danish II,Kim West,6,83.0,7.64198927,90.0,69.0,,,,,,,,,,,0,0,0,0,0,1,0,0,1,3,1
UBCV,2019,W,DANI,200,,001,Intermediate Danish I,Kim West,7,79.428571429,6.729466122,88.0,71.0,,,,,,,,,,,0,0,0,0,0,1,1,2,1,2,0
UBCV,2019,W,DANI,210,,001,Intermediate Danish II,Kim West,6,78.0,18.622566955,92.0,41.0,,,,,,,,,,,1,0,0,0,0,0,0,0,2,2,1
UBCV,2019,W,SCAN,335,,001,Vikings and Norse Mythology (in English),Kim West,69,78.68115942,9.944689321,94.0,46.0,,,,,,,,,,,1,1,0,2,8,3,8,10,14,12,10
UBCV,2019,W,SCAN,414,,001,Topics in Danish and Northern European Cultural Studies (in English).,Kim West,46,79.47826087,9.120767829,93.0,54.0,,,,,,,,,,,0,1,1,2,1,4,2,3,17,9,6
