Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2003,W,MATH,105,,213,INT CALC AP C&SS,"Watson, Liam",52,59.38,20.86,97,8,38,12,0,0,2,1,1,3,5,2,12,7,5,6,4,1,1,4,4,1,5,,,
UBC,2018,W,MATH,309,,201,TPCS IN GEOMETRY,"Watson, Liam",34,67.91,18.03,100,15,29,3,1,0,1,0,1,0,2,0,3,2,2,3,5,4,4,4,0,0,5,,,
UBC,2018,W,MATH,426,,101,INTR TO TOPOLOGY,"Watson, Liam",7,84.57,8.46,95,68,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,,,
UBCV,2018,W,MATH,309,,201,Topics in Geometry,Liam Watson;Mihai Marian,33,65.848484848,21.323580275,100.0,0.0,,,,,,,,,,,4,2,2,3,5,4,4,4,0,0,5,,,
UBCV,2018,W,MATH,426,,101,Introduction to Topology,Avner Segal;Liam Watson,7,84.571428571,8.462803768,95.0,68.0,,,,,,,,,,,0,0,0,0,0,1,0,0,2,2,2,,,
UBCV,2019,W,MATH,101,,203,Integral Calculus with Applications to Physical Sciences and Engineering,Anthony Wachs;K Wayne Nagata;Liam Watson;Prajeet Bajpai,153,79.189542484,9.917920804,99.0,51.0,,,,,,,,,,,0,2,1,5,12,20,17,13,37,15,31,,,
UBCV,2020,S,MATH,101,,951,Integral Calculus with Applications to Physical Sciences and Engineering,Babhru Joshi;Liam Watson;Pulkit Gandhi,120,74.891666667,12.789699002,94.0,3.0,,,,,,,,,,,4,1,5,4,6,14,16,16,33,15,6,,,
UBCV,2020,W,MATH,101,,209,Integral Calculus with Applications to Physical Sciences and Engineering,Ahmet Alperen Bulut;Alex Shiu Lun Chu;Ariel Dufresne;Benjamin Friedman;Benjamin Garbuz;Benjamin Langer;Edward Alexander Belk;Ella Chan;Ethan Armitage;Han Hong;Igor Pereira Pinheiro;K Wayne Nagata;Katharine Faulkner;Liam Watson;Manuel Ruivo De Oliveira;Maricela Best Mckay;Michael Deakin;Mikhail Chernobai;Noe Ducharme;Pardis Semnani;Patrik Coulibaly;Prajeet Bajpai;Roomina Zendehboodi;Samantha Bardwell;Simone Coccia;Tongou Yang,126,75.761904762,7.678988029,94.0,50.0,,,,,,,,,,,0,2,2,2,9,14,31,31,20,11,4,,,
UBCV,2020,W,MATH,309,,101,Topics in Geometry,Liam Watson;Mihai Marian,67,73.865671642,13.747611939,96.0,18.0,,,,,,,,,,,2,2,2,5,5,10,10,6,12,7,6,,,
UBCV,2020,W,MATH,427,,201,Topics in Topology,Jim Bryan;Liam Watson;Stephen Pietromonaco,7,85.142857143,12.266873704,95.0,65.0,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,5,,,
UBCV,2020,W,MATH,527,,201,Algebraic Topology I,Jim Bryan;Liam Watson;Stephen Pietromonaco,6,94.833333333,1.834847859,98.0,93.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,,,
UBCV,2021,W,MATH,308,,101,Euclidean Geometry,Liam Watson;Pamela Shah,71,74.084507042,14.259579716,98.0,30.0,,,,,,,,,,,2,6,4,2,4,8,10,7,12,6,10,,,
UBCV,2021,W,MATH,308,,101,Euclidean Geometry,Liam Watson,71,74.1,,98.0,30.0,,,,,,,,,,,,6,,,,8,10,7,12,6,10,75.0,83.5,67.5
UBCV,2022,W,MATH,309,,201,Topics in Geometry,Liam Watson,89,70.4,,95.0,2.0,,,,,,,,,,,6,1,8,8,5,8,11,9,20,8,5,74.0,82.0,63.0
UBCV,2023,W,MATH,308,,101,Euclidean Geometry,Liam Watson,76,72.9,,97.0,33.0,,,,,,,,,,,2,9,3,2,7,6,7,8,10,10,7,75.0,84.0,64.5
UBCV,2023,W,MATH,527,,201,Algebraic Topology I,Liam Watson,8,88.38,,99.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,4,88.5,94.25,80.0
