Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,S,CNPS,362,,922,Basic Interviewing Skills,Marvin J Westwood;Marvin Westwood,12,86.33333333,5.710171679,95.0,74.0,0,0,0,0,0,0,,,,,
UBCV,2014,S,CNPS,362,,923,Basic Interviewing Skills,Marvin J Westwood;Marvin Westwood,11,87.09090909,3.67299729,93.0,82.0,0,0,0,0,0,0,0,0,,,
UBCV,2014,S,CNPS,362,,951,Basic Interviewing Skills,Marvin J Westwood;Marvin Westwood,17,84.82352941,4.319075337,93.0,76.0,0,0,0,0,0,0,0,,5,9,
UBCV,2014,S,CNPS,362,,952,Basic Interviewing Skills,Marvin J Westwood;Marvin Westwood,11,91.18181818,3.311138228,95.0,85.0,0,0,0,0,0,0,0,0,0,5,6
UBCV,2014,W,CNPS,362,,002,Basic Interviewing Skills,Barbara Ann Smith;Marvin J Westwood;Marvin Westwood,15,79.73333333,4.131182236,88.0,73.0,0,0,0,0,0,0,,,6,,0
UBCV,2014,W,CNPS,362,,003,Basic Interviewing Skills,David Munro;Marvin J Westwood;Marvin Westwood,15,90.2,4.570089089,94.0,75.0,0,0,0,0,0,0,,,,,11
UBCV,2014,W,CNPS,362,,005,Basic Interviewing Skills,Laura Klubben;Marvin J Westwood;Marvin Westwood,14,84.21428571,7.597353501,90.0,59.0,0,0,,,,,,,,9,
UBCV,2014,W,CNPS,362,,006,Basic Interviewing Skills,Mair Cayley;Marvin J Westwood;Marvin Westwood,13,87.23076923,3.218536058,92.0,81.0,0,0,0,0,0,0,0,0,,8,
UBCV,2014,W,CNPS,362,,007,Basic Interviewing Skills,Mair Cayley;Marvin J Westwood;Marvin Westwood,13,86.07692308,4.94067368,93.0,77.0,0,0,0,0,0,0,0,,,5,
UBCV,2014,W,CNPS,362,,009,Basic Interviewing Skills,Lucy Mccullough;Marvin J Westwood;Marvin Westwood,15,89.86666667,3.440653316,95.0,82.0,0,0,0,0,0,0,0,0,1,5,9
UBCV,2014,W,CNPS,362,,010,Basic Interviewing Skills,Mair Cayley;Marvin J Westwood;Marvin Westwood,16,85.0625,5.68587431,92.0,71.0,0,0,0,0,0,,,,,9,
UBCV,2014,W,CNPS,566,,001,Advanced Study in Group Counselling,Marvin J Westwood;Marvin Westwood,11,92.36363636,1.80403588,95.0,90.0,0,0,0,0,0,0,0,0,0,0,11
UBCV,2015,S,CNPS,362,,922,Basic Interviewing Skills,Kevin Lutz;Marvin J Westwood;Marvin Westwood,14,86.0,4.278748919,93.0,80.0,0,0,0,0,0,0,0,0,6,,
UBCV,2015,S,CNPS,362,,923,Basic Interviewing Skills,Mair Cayley;Marvin J Westwood;Marvin Westwood,14,87.85714286,3.034599019,92.0,82.0,0,0,0,0,0,0,0,0,,8,
