Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,POLI,361,A,001,INT VIOL&CONTROL,"Wallace, Michael",64,75.78,6.78,90,61,63,0,1,0,0,0,0,0,0,0,0,0,0,6,1,7,16,13,14,5,1
UBC,2002,W,POLI,461,,002,PEACE & CONFLICT,"Wallace, Michael",15,80.2,4.89,88,72,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,3,0
UBC,2002,W,POLI,461,,003,PEACE & CONFLICT,"Wallace, Michael",18,80.94,3.88,87,73,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,7,5,0
UBC,2003,W,POLI,361,A,001,INT VIOL&CONTROL,"Wallace, Michael",65,73.68,9,90,40,63,2,0,0,0,0,0,0,0,2,2,1,1,2,3,10,19,9,12,5,1
UBC,2003,W,POLI,361,A,901,INT VIOL&CONTROL,"Wallace, Michael",87,82.13,4.3,88,70,16,0,1,0,70,0,0,0,0,0,0,0,0,0,0,1,0,1,10,4,0
UBC,2003,W,POLI,461,,001,PEACE & CONFLICT,"Axworthy, Lloyd;Evans, Paul;Wallace, Michael",13,77.42,14.72,88,32,11,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,4,2,0
UBC,2003,W,POLI,461,,002,PEACE & CONFLICT,"Wallace, Michael",9,76.78,8.47,90,62,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,1,1
UBC,2005,W,POLI,361,A,001,INT VIOL&CONTROL,"Wallace, Michael",61,74.9,13.05,85,0,58,3,0,0,0,1,0,0,2,0,3,0,0,0,1,6,14,14,16,7,0
UBC,2005,W,POLI,361,A,901,INT VIOL&CONTROL,"Wallace, Michael",65,76.02,8.38,87,39,62,1,0,2,0,0,0,0,1,0,1,1,0,1,3,7,9,12,21,8,0
UBC,2005,W,POLI,461,,001,PEACE & CONFLICT,"Wallace, Michael",19,79.32,4.62,90,73,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,3,1
UBC,2005,W,POLI,461,,002,PEACE & CONFLICT,"Wallace, Michael",12,79.5,3.97,87,75,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,0
UBC,2006,W,POLI,361,A,901,INT VIOL&CONTROL,"Wallace, Michael",64,77.14,5.7,86,56,63,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,14,14,19,8,0
UBC,2006,W,POLI,461,,001,PEACE & CONFLICT,"Wallace, Michael",17,83.06,3.88,87,75,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,8,0
