Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,CHIN,100,,901,NI BASIC CHIN I,"Wu, Xinxin",35,76,7.19,86,55,33,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,4,11,10,2,0,,,
UBC,2002,W,CHIN,101,,901,NI BASIC CHIN I,"Wu, Xinxin",27,73.04,16.58,84,0,25,1,0,1,0,1,0,0,0,0,1,1,0,0,1,3,4,7,9,0,0,,,
UBC,2002,W,CHIN,110,,901,NI BASIC CHIN II,"Wu, Xinxin",20,75.85,6.93,87,60,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,5,5,2,0,,,
UBC,2002,W,CHIN,111,,901,NI BASIC CHIN II,"Wu, Xinxin",23,77.52,5.28,86,65,21,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,4,3,0,,,
UBC,2002,W,CHIN,310,,003,AD CH CONV&COMP,"Wu, Xinxin",26,77.08,4.01,83,63,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,14,6,0,0,,,
UBC,2002,W,CHIN,311,,003,AD CH CONV&COMP,"Wu, Xinxin",30,76.33,4.99,86,64,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,7,9,1,0,,,
UBC,2003,W,CHIN,100,,901,NI BASIC CHIN I,"Wu, Xinxin",28,75.22,9.46,87,50,27,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,4,8,5,4,0,,,
UBC,2003,W,CHIN,101,,901,NI BASIC CHIN I,"Wu, Xinxin",25,75.21,8.52,86,57,24,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,4,6,6,3,0,,,
UBC,2003,W,CHIN,200,,002,INT CHINESE R&W,"Wu, Xinxin",25,75.36,6.9,85,60,25,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,7,7,1,0,,,
UBC,2003,W,CHIN,201,,002,INT CHINESE I B,"Wu, Xinxin",19,72.95,8.73,85,56,19,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,4,1,6,1,0,,,
