Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,COMM,291,,207,APPL STAT IN BUS,"*Berkowitz, Jonathan;Berkowitz, Jonathan;DONALD, ALAN W.",50,70.46,11.15,92,37,49,1,0,0,0,0,0,0,1,0,1,3,5,5,3,4,11,5,10,1,2
UBC,2002,W,COMM,291,,208,APPL STAT IN BUS,"*Berkowitz, Jonathan;Berkowitz, Jonathan;DONALD, ALAN W.",47,68.11,11.73,90,31,44,3,0,0,0,0,0,0,3,0,3,0,2,6,9,7,8,5,5,1,1
UBC,2002,W,COMM,581,,001,STATS METHLGY I,"DONALD, ALAN W.",7,86.33,4.08,93,81,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
UBC,2002,W,STAT,200,,101,ELEM STAT APPLIC,"DONALD, ALAN W.",123,76.05,13.12,97,21,116,4,3,0,0,0,0,1,1,2,4,2,4,9,12,9,12,13,20,15,20
UBC,2002,W,STAT,200,,201,ELEM STAT APPLIC,"DONALD, ALAN W.",89,82.52,13.5,100,41,86,1,1,0,1,0,0,0,0,1,1,2,2,2,8,2,4,5,15,12,34
UBC,2003,W,COMM,581,,001,STATS METHLGY I,"DONALD, ALAN W.",21,90.75,3.99,97,83,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,14
UBC,2003,W,STAT,203,,104,STATISTICAL MTHD,"DONALD, ALAN W.",80,87.56,5.57,98,68,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,11,24,38
UBC,2005,W,STAT,200,,102,ELEM STAT APPLIC,"DONALD, ALAN W.",152,78.19,11.85,96,42,147,4,0,0,1,0,0,0,0,4,4,1,6,4,12,11,14,14,31,21,33
UBC,2005,W,STAT,200,,201,ELEM STAT APPLIC,"DONALD, ALAN W.",175,74.59,12.37,96,13,171,2,2,0,0,0,1,0,0,1,2,9,10,9,9,18,21,24,28,25,18
UBC,2005,W,STAT,203,,103,STATISTICAL MTHD,"DONALD, ALAN W.;Heckman, Nancy",71,85.06,8.97,98,60,70,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,9,4,12,7,34
UBC,2005,W,STAT,203,,201,STATISTICAL MTHD,"DONALD, ALAN W.",133,79.72,10.98,96,37,128,2,3,0,0,0,0,0,1,1,2,2,2,4,6,8,11,17,18,38,22
