Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,HIST,260,,101,,"Richardson, Alan Walter",105,71.09,6.73,87,54,97,0,2,0,6,0,0,0,0,0,0,1,4,9,12,22,21,18,9,1,0
UBC,2002,W,HIST,360,,201,HIST PHIL SCIE,"Richardson, Alan Walter",57,70.91,8.22,85,50,53,0,1,0,3,0,0,0,0,0,0,3,2,5,5,9,13,8,6,2,0
UBC,2002,W,PHIL,260,A,01A,,"Richardson, Alan Walter",59,71.44,7.18,88,57,57,0,1,0,1,0,0,0,0,0,0,0,1,8,9,10,12,6,8,3,0
UBC,2002,W,PHIL,360,A,01A,INTR HIST PHILSC,"Richardson, Alan Walter;Straker, Stephen M",38,73.45,6.28,88,60,33,0,2,0,3,0,0,0,0,0,0,0,0,3,0,7,10,6,5,2,0
UBC,2002,W,PHIL,416,A,01A,TOPICS: 19C PHIL,"Richardson, Alan Walter",11,74,11.02,85,50,9,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,3,1,0
UBC,2002,W,PHIL,485,,01A,DIRECTED READING,"Richardson, Alan Walter",4,85,1.63,87,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2002,W,PHIL,518,A,01A,20TH CENT PHIL,"Richardson, Alan Walter",4,83.5,2.52,87,81,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
UBC,2003,W,HIST,360,,201,HIST PHIL SCIE,"Richardson, Alan Walter",39,71.34,7.74,86,50,32,0,5,0,2,0,0,0,0,0,0,1,1,1,7,5,7,5,4,1,0
UBC,2003,W,PHIL,360,A,001,INTR HIST PHILSC,"Richardson, Alan Walter",27,73.7,7.91,90,60,20,0,3,1,3,0,0,0,0,0,0,0,0,2,2,5,1,3,6,0,1
UBC,2003,W,PHIL,415,A,001,PHLSPHY I. KANT,"Richardson, Alan Walter",10,78.75,4.98,85,73,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,0
UBC,2003,W,PHIL,516,A,001,MODERN PHIL,"Richardson, Alan Walter",4,84.5,2.38,87,82,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
UBC,2003,W,PHIL,518,B,001,20TH CENT PHIL,"Richardson, Alan Walter",5,84.4,2.41,87,81,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
UBC,2005,W,PHIL,314,A,001,PHIL 17TH CENT,"Richardson, Alan Walter",63,73.53,6.72,86,58,59,0,0,0,4,0,0,0,0,0,0,0,1,4,7,11,12,7,15,2,0
UBC,2005,W,PHIL,390,A,001,HONOURS 3RD YEAR,"Richardson, Alan Walter",9,84.56,1.59,87,83,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0
UBC,2005,W,PHIL,490,A,001,HONOURS 4TH YEAR,"Richardson, Alan Walter",6,71.33,34.95,86,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0
UBC,2005,W,PHIL,518,A,001,20TH CENT PHIL,"Richardson, Alan Walter",13,83.62,2.79,88,78,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,0
UBC,2006,W,PHIL,314,A,001,PHIL 17TH CENT,"Richardson, Alan Walter",61,75.05,7.14,88,58,56,0,3,0,2,0,0,0,0,0,0,0,1,2,5,13,11,4,13,7,0
UBC,2006,W,PHIL,415,A,001,PHLSPHY I. KANT,"Richardson, Alan Walter",21,79.89,9.03,87,53,18,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2,4,9,0
UBC,2006,W,PHIL,516,A,001,MODERN PHIL,"Richardson, Alan Walter",8,86.2,1.79,87,83,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
UBC,2006,W,PHIL,585,,001,DIRECTED READING,"Richardson, Alan Walter",7,85.29,1.8,88,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
UBC,2010,W,HIST,260,,201,,"Richardson, Alan Walter",19,72.47,5.76,82,59,17,0,1,1,0,0,0,0,0,0,0,0,1,0,1,6,4,2,3,0,0
UBC,2010,W,PHIL,260,A,002,,"Richardson, Alan Walter",26,70.19,9.9,85,45,25,1,0,0,0,0,0,0,0,1,1,1,1,2,3,5,4,3,4,2,0
UBC,2010,W,PHIL,518,A,001,20TH CENT PHIL,"Richardson, Alan Walter",14,82.82,4.05,87,77,11,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0
UBC,2012,W,PHIL,418,A,001,20TH CENT PHIL,"Richardson, Alan Walter",11,74.75,10.82,90,54,8,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0,1
UBC,2012,W,PHIL,518,A,001,20TH CENT PHIL,"Richardson, Alan Walter",5,84.6,2.61,87,81,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
UBC,2015,W,HIST,393,,101,HIST PHIL SCIE,"Richardson, Alan Walter",15,72.8,10.09,87,50,10,0,3,1,1,0,0,0,0,0,0,1,0,0,0,3,2,1,2,1,0
