Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,MEDG,421,,001,GN&CL BIOL CANCR,"Wasserman, Wyeth",37,83.86,4.77,92,71,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,14,11,5
UBC,2009,W,MEDG,421,,001,GN&CL BIOL CANCR,"Jiang, Xiaoyan;Wasserman, Wyeth",33,84.03,6.13,99,73,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12,8,5
UBC,2010,W,MEDG,421,,001,GN&CL BIOL CANCR,"Dunn, Sandra Elaine;Jiang, Xiaoyan;McNagny, Kelly Marshall;Wasserman, Wyeth",32,80.94,5.56,91,69,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,10,7,3
UBC,2011,W,MEDG,421,,001,GN&CL BIOL CANCR,"Jiang, Xiaoyan;McNagny, Kelly Marshall;Wasserman, Wyeth",34,87.47,5.35,95,75,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,13,13
UBC,2012,W,MEDG,421,,001,GN&CL BIOL CANCR,"Jiang, Xiaoyan;McNagny, Kelly Marshall;Wasserman, Wyeth",39,80.92,4.28,90,67,37,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,8,20,4,1
UBC,2013,W,MEDG,421,,001,GN&CL BIOL CANCR,"Dunn, Sandra Elaine;Jiang, Xiaoyan;Wasserman, Wyeth",32,81.03,7.27,92,67,31,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,7,6,9,3
UBC,2014,W,MEDG,421,,001,GN&CL BIOL CANCR,"Pallen, Catherine;Stirling, Peter;Wasserman, Wyeth",24,80.25,17.9,93,7,23,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,3,3,5,8
UBC,2015,W,MEDG,421,,001,GN&CL BIOL CANCR,"Lim, Chinten James;Pallen, Catherine;Stirling, Peter;Wasserman, Wyeth",31,80.45,12.68,89,17,30,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,11,11,0
UBC,2016,W,MEDG,421,,001,GN&CL BIOL CANCR,"Lim, Chinten James;Pallen, Catherine;Stirling, Peter;Wasserman, Wyeth",29,83.28,6.37,93,67,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,9,8,5
UBC,2017,W,MEDG,421,,001,GN&CL BIOL CANCR,"Campbell, Kristin;Cox, Michael;Hirst, Martin;Lim, Chinten James;Maxwell, Christopher;McNagny, Kelly Marshall;Morin, Gregg;Portigal, Cheryl;Reid, Gregor;Roskelley, Calvin;Ross, Colin;Stirling, Peter;Wasserman, Wyeth;Zandstra, Peter",25,86.17,5.17,94,73,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,8
UBC,2018,W,MEDG,421,,001,GN&CL BIOL CANCR,"Lim, Chinten James;Maxwell, Christopher;Stirling, Peter;Wasserman, Wyeth",35,84.88,7.25,95,60,34,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,3,8,12,8
