Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,SOCI,101,,003,Social Interaction and Culture,Alissa Aiello;Emily Cheung-Ismailzai;Emily Truong;Jenny Zheng;Jiaxin Gu;Kiarmin Shaban-Lari;Norma Jean Morgan;Norma Morgan;Siqi Xiao,224,72.075892857,12.886832335,94.0,0.0,8,12,16,13,20,21,32,30,34,30,8
UBCV,2018,W,FMST,316,,201,Human Sexuality,Brandy Wiebe;Siqi Xiao,77,73.142857143,9.723431122,88.0,35.0,2,2,2,4,8,13,12,13,15,6,0
UBCV,2018,W,SOCI,217,,101,Research Methods,Elic Chan;Siqi Xiao,62,70.387096774,12.357190564,88.0,12.0,4,0,1,7,9,5,13,7,9,7,0
UBCV,2019,W,FMST,314,,204,Relationship Development,Robyn Pitman;Siqi Xiao,75,85.146666667,6.185627048,96.0,61.0,0,0,0,1,0,0,2,10,19,24,19
UBCV,2019,W,SOCI,101,,102,Social Interaction and Culture,Emily Cheung-Ismailzai;Emily Truong;Gabriela Markman;Kirsten Tarasoff;Merve Umay Kader;Sinikka Elliott;Siqi Xiao,289,70.460207612,8.938795047,88.0,29.0,9,5,12,27,37,53,58,51,32,5,0
UBCV,2020,S,SOCI,410,C,901,Selected Topics in Canadian Society,Anna Miniaci;Annette Cho;Harriet Moore;Katherine Lyon;Kayonne Christy;Kelsea Perry;Nazanin Khoshnoudian;Siqi Xiao;Tara Jankovic;Xingshu Liu,180,79.45,8.381460653,92.0,26.0,2,1,3,2,5,8,16,29,61,48,5
UBCV,2020,W,SOCI,250,,205,Crime and Society,Elic Chan;Siqi Xiao,92,75.27173913,13.02331237,92.0,0.0,3,2,2,5,2,12,10,18,13,18,7
UBCV,2020,W,SOCI,410,C,101,Selected Topics in Canadian Society,Katherine Lyon;Kayonne Christy;Pengcheng Fang;Siqi Xiao,162,76.697530864,8.612492376,91.0,51.0,0,4,5,3,9,20,21,24,46,25,5
UBCV,2021,S,SOCI,210,,801,Canadian Social Structure,Elic Chan;Siqi Xiao,61,76.459016393,13.895531381,95.0,0.0,3,0,1,1,2,7,4,9,16,15,3
UBCV,2021,W,SOCI,250,,107,Crime and Society,Elic Chan;Kelsea Perry;Siqi Xiao;Tara Jankovic,143,75.517482517,11.485970099,92.0,25.0,7,1,2,5,7,10,22,24,34,23,8
UBCV,2021,W,SOCI,382,,201,Sociological Methods: Qualitative Research,Michela Musto;Siqi Xiao,86,75.38372093,15.371607597,93.0,0.0,4,0,2,1,1,11,7,21,26,10,3
