Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2015,S,CAPS,390,,951,INTR MCR HUM ANT,"Alimohammadi, Majid;Yule, Heather",127,74.06,14.79,96,31,118,7,2,0,0,0,0,0,4,3,7,8,5,6,11,13,11,14,14,18,18,,,
UBC,2015,W,CAPS,200,,001,BIOM RSRCH SKILL,"Moore, Edwin D;Osborne, Salma;Roskelley, Calvin;Yule, Heather",7,84.71,5.06,90,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,,,
UBC,2016,S,CAPS,390,,951,INTR MCR HUM ANT,"Alimohammadi, Majid;Yule, Heather",107,76.41,13.55,98,27,100,3,4,0,0,0,0,1,1,1,3,3,8,6,4,10,3,17,17,17,15,,,
UBC,2016,W,CAPS,390,,001,INTR MCR HUM ANT,"Kopp, Janel;Loewen, Christopher;Moukhles, Hakima;O'Connor, Timothy;Roskelley, Calvin;Tanentzapf, Guy;Viau, Victor;Yule, Heather",407,74.61,14.85,100,17,393,9,4,0,0,0,1,0,4,4,9,33,22,32,32,38,40,28,46,44,78,,,
UBC,2017,W,CAPS,390,,001,INTR MCR HUM ANT,"Loewen, Christopher;Moukhles, Hakima;O'Connor, Timothy;Roskelley, Calvin;Tanentzapf, Guy;Viau, Victor;Vogl, A Wayne;Yule, Heather",366,71.51,14.85,100,15,341,19,3,0,0,0,2,2,4,11,19,29,19,32,36,36,32,25,51,37,44,,,
UBC,2018,W,CAPS,390,,001,INTR MCR HUM ANT,"Kopp, Janel;Loewen, Christopher;Moukhles, Hakima;O'Connor, Timothy;Roskelley, Calvin;Tanentzapf, Guy;Viau, Victor;Vogl, A Wayne;Yule, Heather",250,75.05,14.38,96,14,228,7,6,0,7,0,1,0,3,3,7,11,20,19,15,10,20,22,33,43,35,,,
UBCV,2015,S,CAPS,390,,951,Introduction to Microscopic Human Anatomy,Heather Yule;Majid Alimohammadi,125,74.064,14.79196818,96.0,31.0,,,,,,,,,,,7,8,5,6,11,13,11,14,14,18,18,,,
UBCV,2015,W,CAPS,200,,001,Biomedical Research: Essential Skills and Concepts,Calvin Roskelley;Edwin D Moore;Heather Yule;Salma Osborne,7,84.714285714,5.056820006,90.0,76.0,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,
UBCV,2016,S,CAPS,390,,951,Introduction to Microscopic Human Anatomy,Heather Yule;Majid Alimohammadi,103,76.40776699,13.54617151,98.0,27.0,,,,,,,,,,,3,3,8,6,4,10,3,17,17,17,15,,,
UBCV,2016,W,CAPS,200,,001,Biomedical Research: Essential Skills and Concepts,Calvin Roskelley;Edwin D Moore;Heather Yule;Kurt Haas;Salma Osborne;Shernaz Bamji,18,83.83333333,5.043924709,93.0,70.0,,,,,,,,,,,0,0,0,0,0,1,0,0,10,5,2,,,
UBCV,2016,W,CAPS,390,,001,Introduction to Microscopic Human Anatomy,Calvin Roskelley;Christopher Loewen;Guy Tanentzapf;Hakima Moukhles;Heather Yule;Janel Kopp;Timothy O'Connor;Victor Viau,403,74.57568238,14.84718524,100.0,17.0,,,,,,,,,,,9,33,22,33,32,38,40,28,46,44,78,,,
UBCV,2017,W,CAPS,390,,001,Introduction to Microscopic Human Anatomy,A Wayne Vogl;Calvin Roskelley;Christopher Loewen;Guy Tanentzapf;Hakima Moukhles;Heather Yule;Janel Kopp;Timothy O'Connor;Victor Viau,363,71.479338843,14.813443484,100.0,15.0,,,,,,,,,,,19,29,20,32,36,37,32,26,51,37,44,,,
UBCV,2018,W,CAPS,390,,001,Introduction to Microscopic Human Anatomy,A Wayne Vogl;Calvin Roskelley;Christopher Loewen;Guy Tanentzapf;Hakima Moukhles;Heather Yule;Janel Kopp;Lianna Wat;Timothy O'Connor;Victor Viau,243,74.563786008,14.761990688,96.0,14.0,,,,,,,,,,,8,11,21,21,17,11,20,22,33,44,35,,,
UBCV,2019,W,CAPS,390,,001,Introduction to Microscopic Human Anatomy,A Wayne Vogl;Calvin Roskelley;Christopher Loewen;Guy Tanentzapf;Hakima Moukhles;Heather Yule;Janel Kopp;Timothy O'Connor;Victor Viau,186,75.295698925,13.624845461,99.0,34.0,,,,,,,,,,,6,10,5,14,23,11,18,13,29,27,30,,,
UBCV,2020,W,CAPS,390,,001,Introduction to Microscopic Human Anatomy,A Wayne Vogl;Calvin Roskelley;Christopher Loewen;Guy Tanentzapf;Hakima Moukhles;Heather Yule;Janel Kopp;Timothy O'Connor;Victor Viau,238,83.067226891,10.951547368,99.0,37.0,,,,,,,,,,,2,2,3,7,9,15,18,16,38,49,79,,,
UBCV,2021,W,CAPS,390,,001,Introduction to Microscopic Human Anatomy,A Wayne Vogl;Calvin Roskelley;Christopher Loewen;Guy Tanentzapf;Hakima Moukhles;Heather Yule;Hilla Weidberg;Janel Kopp;Kishore Hari;Shruti Kochhar;Timothy O'Connor;Victor Viau,143,71.937062937,17.29089021,97.0,6.0,,,,,,,,,,,12,8,10,9,9,13,10,11,25,14,22,,,
UBCV,2021,W,CAPS,390,,001,Introduction to Microscopic Human Anatomy,Janel Kopp;Hakima Moukhles;Timothy O'Connor;Calvin Roskelley;Guy Tanentzapf;Victor Viau;A Wayne Vogl;Hilla Weidberg;Heather Yule,142,72.2,,97.0,6.0,,,,,,,,,,,11,8,10,9,9,13,10,11,25,14,22,76.0,84.8,61.3
UBCV,2022,W,CAPS,390,,001,Introduction to Microscopic Human Anatomy,Janel Kopp;Hakima Moukhles;Timothy O'Connor;Calvin Roskelley;Guy Tanentzapf;Victor Viau;A Wayne Vogl;Hilla Weidberg;Heather Yule,118,70.6,,98.0,28.0,,,,,,,,,,,6,10,9,18,8,11,12,4,13,9,18,71.0,82.0,60.0
UBCV,2023,W,CAPS,390,,001,Introduction to Microscopic Human Anatomy,Janel Kopp;Hakima Moukhles;Timothy O'Connor;Calvin Roskelley;Guy Tanentzapf;Victor Viau;A Wayne Vogl;Hilla Weidberg;Heather Yule,113,71.22,,96.0,15.0,,,,,,,,,,,5,7,10,12,10,11,11,4,12,8,19,71.0,83.0,61.0
